,Character,Left,Top,Right,Bottom
0,I,112,70,118,94
1,n,119,70,128,94
2, ,129,70,133,94
3,a,134,70,142,94
4,r,143,70,149,94
5,e,150,70,158,94
6,a,159,70,167,94
7,s,168,70,175,94
8, ,176,70,180,94
9,w,181,70,195,94
10,h,196,70,205,94
11,e,206,70,214,94
12,r,215,70,221,94
13,e,222,70,230,94
14, ,231,70,235,94
15,i,236,70,241,94
16,t,242,70,247,94
17, ,248,70,252,94
18,i,253,70,258,94
19,s,259,70,266,94
20, ,267,70,271,94
21,v,272,70,281,94
22,e,282,70,290,94
23,r,291,70,297,94
24,y,298,70,307,94
25, ,308,70,312,94
26,h,313,70,322,94
27,o,323,70,332,94
28,t,333,70,338,94
29, ,339,70,343,94
30,a,344,70,352,94
31,n,353,70,362,94
32,d,363,70,373,94
33, ,374,70,378,94
34,d,379,70,389,94
35,r,390,70,396,94
36,y,397,70,406,94
37,",",407,70,411,94
38, ,412,70,416,94
39,p,416,70,426,94
40,l,428,70,433,94
41,a,434,70,442,94
42,n,443,70,452,94
43,t,453,70,458,94
44,s,459,70,466,94
45, ,467,70,471,94
46,a,472,70,480,94
47,n,481,70,490,94
48,d,491,70,501,94
49, ,502,70,506,94
50,a,507,70,515,94
51,n,516,70,525,94
52,i,526,70,531,94
53,m,532,70,547,94
54,a,548,70,556,94
55,l,557,70,562,94
56,s,563,70,570,94
57, ,571,70,575,94
58,h,576,70,585,94
59,a,586,70,594,94
60,v,595,70,604,94
61,e,605,70,613,94
62, ,614,70,618,94
63,t,619,70,624,94
64,o,625,70,634,94
65, ,635,70,639,94
66,a,640,70,648,94
67,d,649,70,659,94
68,a,660,70,668,94
69,p,668,70,678,94
70,t,680,70,685,94
71, ,686,70,690,94
72,t,691,70,696,94
73,o,697,70,706,94
74, ,707,70,711,94
75,t,712,70,717,94
76,h,718,70,727,94
77,e,728,70,736,94
78,s,737,70,744,94
79,e,745,70,753,94
80,c,112,95,120,119
81,o,121,95,130,119
82,n,131,95,140,119
83,d,141,95,151,119
84,i,152,95,157,119
85,t,158,95,163,119
86,i,164,95,169,119
87,o,170,95,179,119
88,n,180,95,189,119
89,s,190,95,197,119
90,.,198,95,202,119
91, ,203,95,207,119
92,M,208,95,225,119
93,a,226,95,234,119
94,n,235,95,244,119
95,y,245,95,254,119
96, ,255,95,259,119
97,p,259,95,269,119
98,l,271,95,276,119
99,a,277,95,285,119
100,n,286,95,295,119
101,t,296,95,301,119
102,s,302,95,309,119
103, ,310,95,314,119
104,s,315,95,322,119
105,u,323,95,332,119
106,r,333,95,339,119
107,v,340,95,349,119
108,i,350,95,355,119
109,v,356,95,365,119
110,e,366,95,374,119
111, ,375,95,379,119
112,t,380,95,385,119
113,i,386,95,391,119
114,m,392,95,407,119
115,e,408,95,416,119
116,s,417,95,424,119
117, ,425,95,429,119
118,o,430,95,439,119
119,f,440,95,448,119
120, ,449,95,453,119
121,d,454,95,464,119
122,r,465,95,471,119
123,o,472,95,481,119
124,u,482,95,491,119
125,g,492,95,501,119
126,h,502,95,511,119
127,t,512,95,517,119
128, ,518,95,522,119
129,i,523,95,528,119
130,n,529,95,538,119
131, ,539,95,543,119
132,t,544,95,549,119
133,h,550,95,559,119
134,e,560,95,568,119
135, ,569,95,573,119
136,f,574,95,582,119
137,o,583,95,592,119
138,r,593,95,599,119
139,m,600,95,615,119
140, ,616,95,620,119
141,o,621,95,630,119
142,f,631,95,639,119
143, ,640,95,644,119
144,s,645,95,652,119
145,e,653,95,661,119
146,e,662,95,670,119
147,d,671,95,681,119
148,s,682,95,689,119
149, ,690,95,694,119
150,w,695,95,709,119
151,h,710,95,719,119
152,i,720,95,725,119
153,c,726,95,734,119
154,h,735,95,744,119
155, ,745,95,749,119
156,o,750,95,759,119
157,f,760,95,768,119
158,t,769,95,774,119
159,e,775,95,783,119
160,n,784,95,793,119
161,l,112,120,117,144
162,i,118,120,123,144
163,e,124,120,132,144
164, ,133,120,137,144
165,b,137,120,147,144
166,u,149,120,158,144
167,r,159,120,165,144
168,i,166,120,171,144
169,e,172,120,180,144
170,d,181,120,191,144
171, ,192,120,196,144
172,i,197,120,202,144
173,n,203,120,212,144
174, ,213,120,217,144
175,t,218,120,223,144
176,h,224,120,233,144
177,e,234,120,242,144
178, ,243,120,247,144
179,g,248,120,257,144
180,r,258,120,264,144
181,o,265,120,274,144
182,u,275,120,284,144
183,n,285,120,294,144
184,d,295,120,305,144
185, ,306,120,310,144
186,f,311,120,319,144
187,o,320,120,329,144
188,r,330,120,336,144
189, ,337,120,341,144
190,s,342,120,349,144
191,e,350,120,358,144
192,v,359,120,368,144
193,e,369,120,377,144
194,r,378,120,384,144
195,a,385,120,393,144
196,l,394,120,399,144
197, ,400,120,404,144
198,y,405,120,414,144
199,e,415,120,423,144
200,a,424,120,432,144
201,r,433,120,439,144
202,s,440,120,447,144
203, ,448,120,452,144
204,a,453,120,461,144
205,n,462,120,471,144
206,d,472,120,482,144
207, ,483,120,487,144
208,d,488,120,498,144
209,o,499,120,508,144
210, ,509,120,513,144
211,n,514,120,523,144
212,o,524,120,533,144
213,t,534,120,539,144
214, ,540,120,544,144
215,p,544,120,554,144
216,u,556,120,565,144
