,Character,Left,Top,Right,Bottom
0,T,112,68,123,90
1,r,124,68,130,90
2,e,131,68,138,90
3,e,139,68,146,90
4,s,147,68,153,90
5, ,154,68,158,90
6,g,159,68,168,90
7,r,169,68,175,90
8,o,176,68,185,90
9,w,186,68,199,90
10, ,200,68,204,90
11,a,205,68,213,90
12,l,214,68,218,90
13,m,219,68,233,90
14,o,234,68,243,90
15,s,244,68,250,90
16,t,251,68,256,90
17, ,257,68,261,90
18,e,262,68,269,90
19,v,270,68,279,90
20,e,280,68,287,90
21,r,288,68,294,90
22,y,295,68,304,90
23,w,305,68,318,90
24,h,319,68,328,90
25,e,329,68,336,90
26,r,337,68,343,90
27,e,344,68,351,90
28, ,352,68,356,90
29,e,357,68,364,90
30,x,365,68,374,90
31,c,375,68,382,90
32,e,383,68,390,90
33,p,390,68,400,90
34,t,402,68,407,90
35, ,408,68,412,90
36,i,413,68,417,90
37,n,418,68,427,90
38, ,428,68,432,90
39,p,432,68,442,90
40,e,444,68,451,90
41,r,452,68,458,90
42,m,459,68,473,90
43,a,474,68,482,90
44,n,483,68,492,90
45,e,493,68,500,90
46,n,501,68,510,90
47,t,511,68,516,90
48, ,517,68,521,90
49,i,522,68,526,90
50,c,527,68,534,90
51,e,535,68,542,90
52, ,543,68,547,90
53,a,548,68,556,90
54,n,557,68,566,90
55,d,567,68,576,90
56, ,577,68,581,90
57,s,582,68,588,90
58,n,589,68,598,90
59,o,599,68,608,90
60,w,609,68,622,90
61,",",623,68,627,90
62, ,628,68,632,90
63,o,633,68,642,90
64,n,643,68,652,90
65, ,653,68,657,90
66,t,658,68,663,90
67,h,664,68,673,90
68,e,674,68,681,90
69, ,682,68,686,90
70,t,687,68,692,90
71,o,693,68,702,90
72,p,702,68,712,90
73,s,714,68,720,90
74, ,721,68,725,90
75,o,726,68,735,90
76,f,736,68,744,90
77,h,112,91,121,113
78,i,122,91,126,113
79,g,127,91,136,113
80,h,137,91,146,113
81, ,147,91,151,113
82,m,152,91,166,113
83,o,167,91,176,113
84,u,177,91,186,113
85,n,187,91,196,113
86,t,197,91,202,113
87,a,203,91,211,113
88,i,212,91,216,113
89,n,217,91,226,113
90,s,227,91,233,113
91, ,234,91,238,113
92,a,239,91,247,113
93,n,248,91,257,113
94,d,258,91,267,113
95, ,268,91,272,113
96,i,273,91,277,113
97,n,278,91,287,113
98, ,288,91,292,113
99,d,293,91,302,113
100,e,303,91,310,113
101,s,311,91,317,113
102,e,318,91,325,113
103,r,326,91,332,113
104,t,333,91,338,113
105,s,339,91,345,113
106,.,346,91,350,113
107, ,351,91,355,113
108,I,356,91,361,113
109,f,362,91,370,113
110, ,371,91,375,113
111,a,376,91,384,113
112,n,385,91,394,113
113, ,395,91,399,113
114,e,400,91,407,113
115,m,408,91,422,113
116,p,422,91,432,113
117,t,434,91,439,113
118,y,440,91,449,113
119, ,450,91,454,113
120,p,454,91,464,113
121,i,466,91,470,113
122,e,471,91,478,113
123,c,479,91,486,113
124,e,487,91,494,113
125, ,495,91,499,113
126,o,500,91,509,113
127,f,510,91,518,113
128, ,519,91,523,113
129,l,524,91,528,113
130,a,529,91,537,113
131,n,538,91,547,113
132,d,548,91,557,113
133, ,558,91,562,113
134,i,563,91,567,113
135,s,568,91,574,113
136, ,575,91,579,113
137,l,580,91,584,113
138,e,585,91,592,113
139,f,593,91,601,113
140,t,602,91,607,113
141, ,608,91,612,113
142,t,613,91,618,113
143,o,619,91,628,113
144, ,629,91,633,113
145,i,634,91,638,113
146,t,639,91,644,113
147,s,645,91,651,113
148,e,652,91,659,113
149,l,660,91,664,113
150,f,665,91,673,113
151, ,674,91,678,113
152,f,679,91,687,113
153,o,688,91,697,113
154,r,698,91,704,113
155, ,705,91,709,113
156,l,710,91,714,113
157,o,715,91,724,113
158,n,725,91,734,113
159,g,735,91,744,113
160,e,112,114,119,136
161,n,120,114,129,136
162,o,130,114,139,136
163,u,140,114,149,136
164,g,150,114,159,136
165,h,160,114,169,136
166,",",170,114,174,136
167, ,175,114,179,136
168,a,180,114,188,136
169,f,189,114,197,136
170,t,198,114,203,136
171,e,204,114,211,136
172,r,212,114,218,136
173, ,219,114,223,136
174,s,224,114,230,136
175,o,231,114,240,136
176,m,241,114,255,136
177,e,256,114,263,136
178, ,264,114,268,136
179,t,269,114,274,136
180,i,275,114,279,136
181,m,280,114,294,136
182,e,295,114,302,136
183, ,303,114,307,136
184,t,308,114,313,136
185,r,314,114,320,136
186,e,321,114,328,136
187,e,329,114,336,136
188,s,337,114,343,136
189, ,344,114,348,136
190,w,349,114,362,136
191,i,363,114,367,136
192,l,368,114,372,136
193,l,373,114,377,136
194, ,378,114,382,136
195,s,383,114,389,136
196,t,390,114,395,136
197,a,396,114,404,136
198,r,405,114,411,136
199,t,412,114,417,136
200, ,418,114,422,136
201,t,423,114,428,136
202,o,429,114,438,136
203, ,439,114,443,136
204,g,444,114,453,136
205,r,454,114,460,136
206,o,461,114,470,136
207,w,471,114,484,136
208,.,485,114,489,136
209, ,490,114,494,136
210,A,495,114,508,136
211,t,509,114,514,136
212, ,515,114,519,136
213,f,520,114,528,136
214,i,529,114,533,136
215,r,534,114,540,136
216,s,541,114,547,136
217,t,548,114,553,136
218,",",554,114,558,136
219, ,559,114,563,136
220,t,564,114,569,136
221,h,570,114,579,136
222,e,580,114,587,136
223, ,588,114,592,136
224,g,593,114,602,136
225,r,603,114,609,136
226,o,610,114,619,136
227,u,620,114,629,136
228,n,630,114,639,136
229,d,640,114,649,136
230, ,650,114,654,136
231,i,655,114,659,136
232,s,660,114,666,136
233, ,667,114,671,136
234,c,672,114,679,136
235,o,680,114,689,136
236,v,690,114,699,136
237,e,700,114,707,136
238,r,708,114,714,136
239,e,715,114,722,136
240,d,723,114,732,136
241,w,112,137,125,159
242,i,126,137,130,159
243,t,131,137,136,159
244,h,137,137,146,159
245, ,147,137,151,159
246,l,152,137,156,159
247,o,157,137,166,159
248,w,167,137,180,159
249, ,181,137,185,159
250,p,185,137,195,159
251,l,197,137,201,159
252,a,202,137,210,159
253,n,211,137,220,159
254,t,221,137,226,159
255,s,227,137,233,159
256,.,234,137,238,159
257, ,239,137,243,159
258,L,244,137,255,159
259,a,256,137,264,159
260,t,265,137,270,159
261,e,271,137,278,159
262,r,279,137,285,159
263,",",286,137,290,159
264, ,291,137,295,159
265,b,295,137,305,159
266,u,307,137,316,159
267,s,317,137,323,159
268,h,324,137,333,159
269,e,334,137,341,159
270,s,342,137,348,159
271, ,349,137,353,159
272,g,354,137,363,159
273,r,364,137,370,159
274,o,371,137,380,159
275,w,381,137,394,159
276, ,395,137,399,159
277,a,400,137,408,159
278,n,409,137,418,159
279,d,419,137,428,159
280, ,429,137,433,159
281,i,434,137,438,159
282,n,439,137,448,159
283, ,449,137,453,159
284,t,454,137,459,159
285,h,460,137,469,159
286,e,470,137,477,159
287,i,478,137,482,159
288,r,483,137,489,159
289, ,490,137,494,159
290,s,495,137,501,159
291,h,502,137,511,159
292,a,512,137,520,159
293,d,521,137,530,159
294,e,531,137,538,159
295,",",539,137,543,159
296, ,544,137,548,159
297,s,549,137,555,159
298,o,556,137,565,159
299,m,566,137,580,159
300,e,581,137,588,159
301, ,589,137,593,159
302,o,594,137,603,159
303,f,604,137,612,159
304, ,613,137,617,159
305,t,618,137,623,159
306,h,624,137,633,159
307,e,634,137,641,159
308, ,642,137,646,159
309,l,647,137,651,159
310,o,652,137,661,159
311,w,662,137,675,159
312,e,676,137,683,159
313,r,684,137,690,159
314, ,691,137,695,159
315,p,695,137,705,159
316,l,707,137,711,159
317,a,712,137,720,159
318,n,721,137,730,159
319,t,731,137,736,159
320,s,737,137,743,159
321,t,112,160,117,182
322,h,118,160,127,182
323,a,128,160,136,182
324,t,137,160,142,182
325, ,143,160,147,182
326,h,148,160,157,182
327,a,158,160,166,182
328,d,167,160,176,182
329, ,177,160,181,182
330,e,182,160,189,182
331,s,190,160,196,182
332,t,197,160,202,182
333,a,203,160,211,182
334,b,211,160,221,182
335,l,223,160,227,182
336,i,228,160,232,182
337,s,233,160,239,182
338,h,240,160,249,182
339,e,250,160,257,182
340,d,258,160,267,182
341, ,268,160,272,182
342,t,273,160,278,182
343,h,279,160,288,182
344,e,289,160,296,182
345,m,297,160,311,182
346,s,312,160,318,182
347,e,319,160,326,182
348,l,327,160,331,182
349,v,332,160,341,182
350,e,342,160,349,182
351,s,350,160,356,182
352, ,357,160,361,182
353,f,362,160,370,182
354,i,371,160,375,182
355,r,376,160,382,182
356,s,383,160,389,182
357,t,390,160,395,182
358,",",396,160,400,182
359, ,401,160,405,182
360,t,406,160,411,182
361,h,412,160,421,182
362,e,422,160,429,182
363,n,430,160,439,182
364, ,440,160,444,182
365,d,445,160,454,182
366,i,455,160,459,182
367,e,460,160,467,182
368,.,468,160,472,182
369, ,473,160,477,182
370,W,478,160,495,182
371,h,496,160,505,182
372,e,506,160,513,182
373,n,514,160,523,182
374, ,524,160,528,182
375,s,529,160,535,182
376,t,536,160,541,182
377,i,542,160,546,182
378,l,547,160,551,182
379,l,552,160,556,182
380, ,557,160,561,182
381,m,562,160,576,182
382,o,577,160,586,182
383,r,587,160,593,182
384,e,594,160,601,182
385, ,602,160,606,182
386,t,607,160,612,182
387,i,613,160,617,182
388,m,618,160,632,182
389,e,633,160,640,182
390, ,641,160,645,182
391,h,646,160,655,182
392,a,656,160,664,182
393,s,665,160,671,182
394, ,672,160,676,182
395,p,676,160,686,182
396,a,688,160,696,182
397,s,697,160,703,182
398,s,704,160,710,182
399,e,711,160,718,182
400,d,719,160,728,182
401,",",729,160,733,182
402,t,112,183,117,205
403,r,118,183,124,205
404,e,125,183,132,205
405,e,133,183,140,205
406,s,141,183,147,205
407, ,148,183,152,205
408,s,153,183,159,205
409,t,160,183,165,205
410,a,166,183,174,205
411,r,175,183,181,205
412,t,182,183,187,205
413, ,188,183,192,205
414,t,193,183,198,205
415,o,199,183,208,205
416, ,209,183,213,205
417,g,214,183,223,205
418,r,224,183,230,205
419,o,231,183,240,205
420,w,241,183,254,205
421,.,255,183,259,205
422, ,260,183,264,205
423,A,265,183,278,205
424,s,279,183,285,205
425, ,286,183,290,205
426,t,291,183,296,205
427,h,297,183,306,205
428,e,307,183,314,205
429,y,315,183,324,205
430, ,325,183,329,205
431,g,330,183,339,205
432,r,340,183,346,205
433,o,347,183,356,205
434,w,357,183,370,205
435, ,371,183,375,205
436,b,375,183,385,205
437,i,387,183,391,205
438,g,392,183,401,205
439,g,402,183,411,205
440,e,412,183,419,205
441,r,420,183,426,205
442,",",427,183,431,205
443, ,432,183,436,205
444,s,437,183,443,205
445,o,444,183,453,205
446,m,454,183,468,205
447,e,469,183,476,205
448, ,477,183,481,205
449,o,482,183,491,205
450,f,492,183,500,205
451, ,501,183,505,205
452,t,506,183,511,205
453,h,512,183,521,205
454,e,522,183,529,205
455, ,530,183,534,205
456,b,534,183,544,205
457,u,546,183,555,205
458,s,556,183,562,205
459,h,563,183,572,205
460,e,573,183,580,205
461,s,581,183,587,205
462, ,588,183,592,205
463,a,593,183,601,205
464,r,602,183,608,205
465,e,609,183,616,205
466, ,617,183,621,205
467,c,622,183,629,205
468,a,630,183,638,205
469,u,639,183,648,205
470,g,649,183,658,205
471,h,659,183,668,205
472,t,669,183,674,205
473, ,675,183,679,205
474,i,680,183,684,205
475,n,685,183,694,205
476, ,695,183,699,205
477,t,700,183,705,205
478,h,706,183,715,205
479,e,716,183,723,205
480,s,112,206,118,228
481,h,119,206,128,228
482,a,129,206,137,228
483,d,138,206,147,228
484,e,148,206,155,228
485, ,156,206,160,228
486,o,161,206,170,228
487,f,171,206,179,228
488, ,180,206,184,228
489,t,185,206,190,228
490,h,191,206,200,228
491,e,201,206,208,228
492, ,209,206,213,228
493,b,213,206,223,228
494,i,225,206,229,228
495,g,230,206,239,228
496,g,240,206,249,228
497,e,250,206,257,228
