,Character,Left,Top,Right,Bottom
0,O,112,68,125,90
1,n,126,68,135,90
2,e,136,68,143,90
3, ,144,68,148,90
4,o,149,68,158,90
5,f,159,68,167,90
6, ,168,68,172,90
7,t,173,68,178,90
8,h,179,68,188,90
9,e,189,68,196,90
10, ,197,68,201,90
11,m,202,68,216,90
12,a,217,68,225,90
13,n,226,68,235,90
14,y,236,68,245,90
15, ,246,68,250,90
16,t,251,68,256,90
17,h,257,68,266,90
18,i,267,68,271,90
19,n,272,68,281,90
20,g,282,68,291,90
21,s,292,68,298,90
22, ,299,68,303,90
23,t,304,68,309,90
24,h,310,68,319,90
25,a,320,68,328,90
26,t,329,68,334,90
27, ,335,68,339,90
28,t,340,68,345,90
29,h,346,68,355,90
30,r,356,68,362,90
31,e,363,68,370,90
32,a,371,68,379,90
33,t,380,68,385,90
34,e,386,68,393,90
35,n,394,68,403,90
36, ,404,68,408,90
37,a,409,68,417,90
38,n,418,68,427,90
39,i,428,68,432,90
40,m,433,68,447,90
41,a,448,68,456,90
42,l,457,68,461,90
43,s,462,68,468,90
44, ,469,68,473,90
45,a,474,68,482,90
46,n,483,68,492,90
47,d,493,68,502,90
48, ,503,68,507,90
49,p,507,68,517,90
50,l,519,68,523,90
51,a,524,68,532,90
52,n,533,68,542,90
53,t,543,68,548,90
54,s,549,68,555,90
55, ,556,68,560,90
56,a,561,68,569,90
57,l,570,68,574,90
58,i,575,68,579,90
59,k,580,68,589,90
60,e,590,68,597,90
61, ,598,68,602,90
62,i,603,68,607,90
63,s,608,68,614,90
64, ,615,68,619,90
65,t,620,68,625,90
66,h,626,68,635,90
67,e,636,68,643,90
68, ,644,68,648,90
69,d,649,68,658,90
70,a,659,68,667,90
71,n,668,68,677,90
72,g,678,68,687,90
73,e,688,68,695,90
74,r,696,68,702,90
75, ,703,68,707,90
76,o,708,68,717,90
77,f,718,68,726,90
78,b,111,91,121,113
79,e,123,91,130,113
80,i,131,91,135,113
81,n,136,91,145,113
82,g,146,91,155,113
83, ,156,91,160,113
84,e,161,91,168,113
85,a,169,91,177,113
86,t,178,91,183,113
87,e,184,91,191,113
88,n,192,91,201,113
89,.,202,91,206,113
90, ,207,91,211,113
91,S,212,91,222,113
92,o,223,91,232,113
93,m,233,91,247,113
94,e,248,91,255,113
95, ,256,91,260,113
96,a,261,91,269,113
97,n,270,91,279,113
98,i,280,91,284,113
99,m,285,91,299,113
100,a,300,91,308,113
101,l,309,91,313,113
102,s,314,91,320,113
103, ,321,91,325,113
104,t,326,91,331,113
105,a,332,91,340,113
106,k,341,91,350,113
107,e,351,91,358,113
108, ,359,91,363,113
109,r,364,91,370,113
110,e,371,91,378,113
111,c,379,91,386,113
112,o,387,91,396,113
113,u,397,91,406,113
114,r,407,91,413,113
115,s,414,91,420,113
116,e,421,91,428,113
117, ,429,91,433,113
118,i,434,91,438,113
119,n,439,91,448,113
120, ,449,91,453,113
121,c,454,91,461,113
122,a,462,91,470,113
123,m,471,91,485,113
124,o,486,91,495,113
125,u,496,91,505,113
126,f,506,91,514,113
127,l,515,91,519,113
128,a,520,91,528,113
129,g,529,91,538,113
130,i,539,91,543,113
131,n,544,91,553,113
132,g,554,91,563,113
133, ,564,91,568,113
134,t,569,91,574,113
135,h,575,91,584,113
136,e,585,91,592,113
137,m,593,91,607,113
138,s,608,91,614,113
139,e,615,91,622,113
140,l,623,91,627,113
141,v,628,91,637,113
142,e,638,91,645,113
143,s,646,91,652,113
144,",",653,91,657,113
145, ,658,91,662,113
146,w,663,91,676,113
147,h,677,91,686,113
148,i,687,91,691,113
149,l,692,91,696,113
150,e,697,91,704,113
151,o,112,114,121,136
152,t,122,114,127,136
153,h,128,114,137,136
154,e,138,114,145,136
155,r,146,114,152,136
156,s,153,114,159,136
157, ,160,114,164,136
158,h,165,114,174,136
159,i,175,114,179,136
160,d,180,114,189,136
161,e,190,114,197,136
162, ,198,114,202,136
163,a,203,114,211,136
164,w,212,114,225,136
165,a,226,114,234,136
166,y,235,114,244,136
167,.,245,114,249,136
168, ,250,114,254,136
169,A,255,114,268,136
170, ,269,114,273,136
171,n,274,114,283,136
172,u,284,114,293,136
173,m,294,114,308,136
174,b,308,114,318,136
175,e,320,114,327,136
176,r,328,114,334,136
177, ,335,114,339,136
178,o,340,114,349,136
179,f,350,114,358,136
180, ,359,114,363,136
181,t,364,114,369,136
182,h,370,114,379,136
183,e,380,114,387,136
184,m,388,114,402,136
185, ,403,114,407,136
186,c,408,114,415,136
187,a,416,114,424,136
188,n,425,114,434,136
189, ,435,114,439,136
190,f,440,114,448,136
191,l,449,114,453,136
192,y,454,114,463,136
193,a,464,114,472,136
194,w,473,114,486,136
195,a,487,114,495,136
196,y,496,114,505,136
197, ,506,114,510,136
198,a,511,114,519,136
199,n,520,114,529,136
200,d,530,114,539,136
201, ,540,114,544,136
202,o,545,114,554,136
203,t,555,114,560,136
204,h,561,114,570,136
205,e,571,114,578,136
206,r,579,114,585,136
207,s,586,114,592,136
208, ,593,114,597,136
209,a,598,114,606,136
210,r,607,114,613,136
211,e,614,114,621,136
212, ,622,114,626,136
213,s,627,114,633,136
214,o,634,114,643,136
215, ,644,114,648,136
216,f,649,114,657,136
217,a,658,114,666,136
218,s,667,114,673,136
219,t,674,114,679,136
220, ,680,114,684,136
221,t,685,114,690,136
222,h,691,114,700,136
223,a,701,114,709,136
224,t,710,114,715,136
225, ,716,114,720,136
226,t,721,114,726,136
227,h,727,114,736,136
228,e,737,114,744,136
229,y,745,114,754,136
230,c,112,137,119,159
231,a,120,137,128,159
232,n,129,137,138,159
233, ,139,137,143,159
234,f,144,137,152,159
235,l,153,137,157,159
236,e,158,137,165,159
237,e,166,137,173,159
238, ,174,137,178,159
239,f,179,137,187,159
240,r,188,137,194,159
241,o,195,137,204,159
242,m,205,137,219,159
243, ,220,137,224,159
244,t,225,137,230,159
245,h,231,137,240,159
246,e,241,137,248,159
247,i,249,137,253,159
248,r,254,137,260,159
249, ,261,137,265,159
250,e,266,137,273,159
251,n,274,137,283,159
252,e,284,137,291,159
253,m,292,137,306,159
254,i,307,137,311,159
255,e,312,137,319,159
256,s,320,137,326,159
257,.,327,137,331,159
258, ,332,137,336,159
259,P,337,137,347,159
260,l,348,137,352,159
261,a,353,137,361,159
262,n,362,137,371,159
263,t,372,137,377,159
264,s,378,137,384,159
265,",",385,137,389,159
266, ,390,137,394,159
267,w,395,137,408,159
268,h,409,137,418,159
269,i,419,137,423,159
270,c,424,137,431,159
271,h,432,137,441,159
272, ,442,137,446,159
273,a,447,137,455,159
274,s,456,137,462,159
275, ,463,137,467,159
276,i,468,137,472,159
277,s,473,137,479,159
278, ,480,137,484,159
279,w,485,137,498,159
280,e,499,137,506,159
281,l,507,137,511,159
282,l,512,137,516,159
283, ,517,137,521,159
284,k,522,137,531,159
285,n,532,137,541,159
286,o,542,137,551,159
287,w,552,137,565,159
288,n,566,137,575,159
289, ,576,137,580,159
290,c,581,137,588,159
291,a,589,137,597,159
292,n,598,137,607,159
293,n,608,137,617,159
294,o,618,137,627,159
295,t,628,137,633,159
296, ,634,137,638,159
297,r,639,137,645,159
298,u,646,137,655,159
299,n,656,137,665,159
300, ,666,137,670,159
301,a,671,137,679,159
302,w,680,137,693,159
303,a,694,137,702,159
304,y,703,137,712,159
305,",",713,137,717,159
306, ,718,137,722,159
307,h,723,137,732,159
308,a,733,137,741,159
309,v,742,137,751,159
310,e,752,137,759,159
311,d,112,160,121,182
312,e,122,160,129,182
313,v,130,160,139,182
314,e,140,160,147,182
315,l,148,160,152,182
316,o,153,160,162,182
317,p,162,160,172,182
318,e,174,160,181,182
319,d,182,160,191,182
320, ,192,160,196,182
321,o,197,160,206,182
322,t,207,160,212,182
323,h,213,160,222,182
324,e,223,160,230,182
325,r,231,160,237,182
326, ,238,160,242,182
327,m,243,160,257,182
328,e,258,160,265,182
329,a,266,160,274,182
330,n,275,160,284,182
331,s,285,160,291,182
332, ,292,160,296,182
333,t,297,160,302,182
334,o,303,160,312,182
335, ,313,160,317,182
336,p,317,160,327,182
337,r,329,160,335,182
338,o,336,160,345,182
339,t,346,160,351,182
340,e,352,160,359,182
341,c,360,160,367,182
342,t,368,160,373,182
343, ,374,160,378,182
