,Character,Left,Top,Right,Bottom
0,T,112,76,124,106
1,h,125,76,135,106
2,e,136,76,146,106
3, ,147,76,153,106
4,b,154,76,164,106
5,e,165,76,175,106
6,a,176,76,186,106
7,v,187,76,198,106
8,e,199,76,209,106
9,r,210,76,217,106
10, ,218,76,224,106
11,i,225,76,229,106
12,s,230,76,239,106
13, ,240,76,246,106
14,a,247,76,257,106
15,n,258,76,268,106
16, ,269,76,275,106
17,e,276,76,286,106
18,x,287,76,298,106
19,c,299,76,308,106
20,e,309,76,319,106
21,l,320,76,325,106
22,l,326,76,331,106
23,e,332,76,342,106
24,n,343,76,353,106
25,t,354,76,362,106
26, ,363,76,369,106
27,s,370,76,379,106
28,w,380,76,394,106
29,i,395,76,399,106
30,m,400,76,416,106
31,m,417,76,433,106
32,e,434,76,444,106
33,r,445,76,452,106
34,.,453,76,457,106
35, ,458,76,464,106
36,I,465,76,469,106
37,t,470,76,478,106
38, ,479,76,485,106
39,c,486,76,495,106
40,a,496,76,506,106
41,n,507,76,517,106
42, ,518,76,524,106
43,a,525,76,535,106
44,c,536,76,545,106
45,h,546,76,556,106
46,i,557,76,561,106
47,e,562,76,572,106
48,v,573,76,584,106
49,e,585,76,595,106
50, ,596,76,602,106
51,a,603,76,613,106
52, ,614,76,620,106
53,s,621,76,630,106
54,p,631,76,642,106
55,e,643,76,653,106
56,e,654,76,664,106
57,d,665,76,675,106
58, ,676,76,682,106
59,o,683,76,693,106
60,f,694,76,701,106
61, ,702,76,708,106
62,u,709,76,719,106
63,p,720,76,731,106
64, ,732,76,738,106
65,t,739,76,747,106
66,o,748,76,758,106
67, ,759,76,765,106
68,s,766,76,775,106
69,e,776,76,786,106
70,v,787,76,798,106
71,e,799,76,809,106
72,n,810,76,820,106
73, ,821,76,827,106
74,m,828,76,844,106
75,i,845,76,849,106
76,l,850,76,855,106
77,e,856,76,866,106
78,s,867,76,876,106
79,p,112,107,123,137
80,e,124,107,134,137
81,r,135,107,142,137
82, ,143,107,149,137
83,h,150,107,160,137
84,o,161,107,171,137
85,u,172,107,182,137
86,r,183,107,190,137
87, ,191,107,197,137
88,i,198,107,202,137
89,n,203,107,213,137
90, ,214,107,220,137
91,w,221,107,235,137
92,a,236,107,246,137
93,t,247,107,255,137
94,e,256,107,266,137
95,r,267,107,274,137
96,.,275,107,279,137
97, ,280,107,286,137
98,I,287,107,291,137
99,t,292,107,300,137
100,s,301,107,310,137
101, ,311,107,317,137
102,p,318,107,329,137
103,r,330,107,337,137
104,o,338,107,348,137
105,t,349,107,357,137
106,e,358,107,368,137
107,c,369,107,378,137
108,t,379,107,387,137
109,i,388,107,392,137
110,o,393,107,403,137
111,n,404,107,414,137
112, ,415,107,421,137
113,a,422,107,432,137
114,g,433,107,443,137
115,a,444,107,454,137
116,i,455,107,459,137
117,n,460,107,470,137
118,s,471,107,480,137
119,t,481,107,489,137
120, ,490,107,496,137
121,t,497,107,505,137
122,h,506,107,516,137
123,e,517,107,527,137
124, ,528,107,534,137
125,c,535,107,544,137
126,o,545,107,555,137
127,l,556,107,561,137
128,d,562,107,572,137
129, ,573,107,579,137
130,c,580,107,589,137
131,o,590,107,600,137
132,n,601,107,611,137
133,s,612,107,621,137
134,i,622,107,626,137
135,s,627,107,636,137
136,t,637,107,645,137
137,s,646,107,655,137
138, ,656,107,662,137
139,o,663,107,673,137
140,f,674,107,681,137
141, ,682,107,688,137
142,a,689,107,699,137
143, ,700,107,706,137
144,s,707,107,716,137
145,k,717,107,727,137
146,i,728,107,732,137
147,n,733,107,743,137
148, ,744,107,750,137
149,w,751,107,765,137
150,i,766,107,770,137
151,t,771,107,779,137
152,h,780,107,790,137
153, ,791,107,797,137
154,t,798,107,806,137
155,h,807,107,817,137
156,o,818,107,828,137
157,u,829,107,839,137
158,s,840,107,849,137
159,a,850,107,860,137
160,n,861,107,871,137
161,d,872,107,882,137
162,s,883,107,892,137
163,o,112,138,122,168
164,f,123,138,130,168
165, ,131,138,137,168
166,s,138,138,147,168
167,i,148,138,152,168
168,n,153,138,163,168
169,g,164,138,174,168
170,l,175,138,180,168
171,e,181,138,191,168
172, ,192,138,198,168
173,h,199,138,209,168
