,Character,Left,Top,Right,Bottom
0,O,112,76,125,106
1,n,126,76,136,106
2,e,137,76,147,106
3, ,148,76,154,106
4,o,155,76,165,106
5,f,166,76,173,106
6, ,174,76,180,106
7,t,181,76,189,106
8,h,190,76,200,106
9,e,201,76,211,106
10, ,212,76,218,106
11,m,219,76,235,106
12,a,236,76,246,106
13,n,247,76,257,106
14,y,258,76,269,106
15, ,270,76,276,106
16,t,277,76,285,106
17,h,286,76,296,106
18,i,297,76,301,106
19,n,302,76,312,106
20,g,313,76,323,106
21,s,324,76,333,106
22, ,334,76,340,106
23,t,341,76,349,106
24,h,350,76,360,106
25,a,361,76,371,106
26,t,372,76,380,106
27, ,381,76,387,106
28,t,388,76,396,106
29,h,397,76,407,106
30,r,408,76,415,106
31,e,416,76,426,106
32,a,427,76,437,106
33,t,438,76,446,106
34,e,447,76,457,106
35,n,458,76,468,106
36, ,469,76,475,106
37,a,476,76,486,106
38,n,487,76,497,106
39,i,498,76,502,106
40,m,503,76,519,106
41,a,520,76,530,106
42,l,531,76,536,106
43,s,537,76,546,106
44, ,547,76,553,106
45,a,554,76,564,106
46,n,565,76,575,106
47,d,576,76,586,106
48, ,587,76,593,106
49,p,594,76,605,106
50,l,606,76,611,106
51,a,612,76,622,106
52,n,623,76,633,106
53,t,634,76,642,106
54,s,643,76,652,106
55, ,653,76,659,106
56,a,660,76,670,106
57,l,671,76,676,106
58,i,677,76,681,106
59,k,682,76,692,106
60,e,693,76,703,106
61, ,704,76,710,106
62,i,711,76,715,106
63,s,716,76,725,106
64, ,726,76,732,106
65,t,733,76,741,106
66,h,742,76,752,106
67,e,753,76,763,106
68, ,764,76,770,106
69,d,771,76,781,106
70,a,782,76,792,106
71,n,793,76,803,106
72,g,804,76,814,106
73,e,815,76,825,106
74,r,826,76,833,106
75, ,834,76,840,106
76,o,841,76,851,106
77,f,852,76,859,106
78,b,112,107,122,137
79,e,123,107,133,137
80,i,134,107,138,137
81,n,139,107,149,137
82,g,150,107,160,137
83, ,161,107,167,137
84,e,168,107,178,137
85,a,179,107,189,137
86,t,190,107,198,137
87,e,199,107,209,137
88,n,210,107,220,137
89,.,221,107,225,137
90, ,226,107,232,137
91,S,233,107,244,137
92,o,245,107,255,137
93,m,256,107,272,137
94,e,273,107,283,137
95, ,284,107,290,137
96,a,291,107,301,137
97,n,302,107,312,137
98,i,313,107,317,137
99,m,318,107,334,137
100,a,335,107,345,137
101,l,346,107,351,137
102,s,352,107,361,137
103, ,362,107,368,137
104,t,369,107,377,137
105,a,378,107,388,137
106,k,389,107,399,137
107,e,400,107,410,137
108, ,411,107,417,137
109,r,418,107,425,137
110,e,426,107,436,137
111,c,437,107,446,137
