,Character,Left,Top,Right,Bottom
0,I,112,76,116,106
1,n,117,76,127,106
2, ,128,76,134,106
3,t,135,76,143,106
4,h,144,76,154,106
5,e,155,76,165,106
6, ,166,76,172,106
7,p,173,76,184,106
8,a,185,76,195,106
9,s,196,76,205,106
10,t,206,76,214,106
11,",",215,76,220,106
12, ,221,76,227,106
13,i,228,76,232,106
14,t,233,76,241,106
15, ,242,76,248,106
16,w,249,76,263,106
17,a,264,76,274,106
18,s,275,76,284,106
19, ,285,76,291,106
20,a,292,76,302,106
21,s,303,76,312,106
22,s,313,76,322,106
23,u,323,76,333,106
24,m,334,76,350,106
25,e,351,76,361,106
26,d,362,76,372,106
27, ,373,76,379,106
28,t,380,76,388,106
29,h,389,76,399,106
30,a,400,76,410,106
31,t,411,76,419,106
32, ,420,76,426,106
33,s,427,76,436,106
34,p,437,76,448,106
35,i,449,76,453,106
36,d,454,76,464,106
37,e,465,76,475,106
38,r,476,76,483,106
39,s,484,76,493,106
40, ,494,76,500,106
41,w,501,76,515,106
42,e,516,76,526,106
43,r,527,76,534,106
44,e,535,76,545,106
45, ,546,76,552,106
46,s,553,76,562,106
47,o,563,76,573,106
48,m,574,76,590,106
49,e,591,76,601,106
50,h,602,76,612,106
51,o,613,76,623,106
52,w,624,76,638,106
53, ,639,76,645,106
54,a,646,76,656,106
55,b,657,76,667,106
56,l,668,76,673,106
57,e,674,76,684,106
58, ,685,76,691,106
59,t,692,76,700,106
60,o,701,76,711,106
61, ,712,76,718,106
62,p,719,76,730,106
63,r,731,76,738,106
64,o,739,76,749,106
65,t,750,76,758,106
66,e,759,76,769,106
67,c,770,76,779,106
68,t,780,76,788,106
69,t,112,107,120,137
70,h,121,107,131,137
71,e,132,107,142,137
72,m,143,107,159,137
73,s,160,107,169,137
74,e,170,107,180,137
75,l,181,107,186,137
76,v,187,107,198,137
77,e,199,107,209,137
78,s,210,107,219,137
79, ,220,107,226,137
80,f,227,107,234,137
81,r,235,107,242,137
82,o,243,107,253,137
83,m,254,107,270,137
84, ,271,107,277,137
85,t,278,107,286,137
86,h,287,107,297,137
87,e,298,107,308,137
88, ,309,107,315,137
89,s,316,107,325,137
90,t,326,107,334,137
91,i,335,107,339,137
92,c,340,107,349,137
93,k,350,107,360,137
94,y,361,107,372,137
95, ,373,107,379,137
96,s,380,107,389,137
97,u,390,107,400,137
98,b,401,107,411,137
99,s,412,107,421,137
100,t,422,107,430,137
101,a,431,107,441,137
102,n,442,107,452,137
103,c,453,107,462,137
104,e,463,107,473,137
105, ,474,107,480,137
106,i,481,107,485,137
107,n,486,107,496,137
108, ,497,107,503,137
109,t,504,107,512,137
110,h,513,107,523,137
111,e,524,107,534,137
112,i,535,107,539,137
113,r,540,107,547,137
114, ,548,107,554,137
115,o,555,107,565,137
116,w,566,107,580,137
117,n,581,107,591,137
118, ,592,107,598,137
119,n,599,107,609,137
120,e,610,107,620,137
121,t,621,107,629,137
122,s,630,107,639,137
123,",",640,107,645,137
124, ,646,107,652,137
125,w,653,107,667,137
126,h,668,107,678,137
127,i,679,107,683,137
128,l,684,107,689,137
129,e,690,107,700,137
130, ,701,107,707,137
131,f,708,107,715,137
132,l,716,107,721,137
133,i,722,107,726,137
134,e,727,107,737,137
135,s,738,107,747,137
136, ,748,107,754,137
137,a,755,107,765,137
138,n,766,107,776,137
139,d,777,107,787,137
140, ,788,107,794,137
141,o,795,107,805,137
142,t,806,107,814,137
143,h,815,107,825,137
144,e,826,107,836,137
145,r,837,107,844,137
146,i,112,138,116,168
147,n,117,138,127,168
148,s,128,138,137,168
149,e,138,138,148,168
150,c,149,138,158,168
151,t,159,138,167,168
152,s,168,138,177,168
153, ,178,138,184,168
154,d,185,138,195,168
155,i,196,138,200,168
156,d,201,138,211,168
157, ,212,138,218,168
158,n,219,138,229,168
159,o,230,138,240,168
160,t,241,138,249,168
161, ,250,138,256,168
162,h,257,138,267,168
163,a,268,138,278,168
164,v,279,138,290,168
165,e,291,138,301,168
166, ,302,138,308,168
167,t,309,138,317,168
168,h,318,138,328,168
169,i,329,138,333,168
170,s,334,138,343,168
171, ,344,138,350,168
172,p,351,138,362,168
173,r,363,138,370,168
174,o,371,138,381,168
175,t,382,138,390,168
176,e,391,138,401,168
177,c,402,138,411,168
178,t,412,138,420,168
179,i,421,138,425,168
180,o,426,138,436,168
181,n,437,138,447,168
182,.,448,138,452,168
183, ,453,138,459,168
184,B,460,138,471,168
185,u,472,138,482,168
186,t,483,138,491,168
187, ,492,138,498,168
188,n,499,138,509,168
189,e,510,138,520,168
190,w,521,138,535,168
191, ,536,138,542,168
192,s,543,138,552,168
193,c,553,138,562,168
194,i,563,138,567,168
195,e,568,138,578,168
196,n,579,138,589,168
197,t,590,138,598,168
198,i,599,138,603,168
199,f,604,138,611,168
200,i,612,138,616,168
201,c,617,138,626,168
202, ,627,138,633,168
203,f,634,138,641,168
204,i,642,138,646,168
205,n,647,138,657,168
206,d,658,138,668,168
207,i,669,138,673,168
208,n,674,138,684,168
209,g,685,138,695,168
210,s,696,138,705,168
211, ,706,138,712,168
212,s,713,138,722,168
213,h,723,138,733,168
214,o,734,138,744,168
215,w,745,138,759,168
216, ,760,138,766,168
217,t,767,138,775,168
218,h,776,138,786,168
219,a,787,138,797,168
220,t,798,138,806,168
221, ,807,138,813,168
222,t,814,138,822,168
223,h,823,138,833,168
224,i,834,138,838,168
225,s,839,138,848,168
226, ,849,138,855,168
227,i,856,138,860,168
228,s,861,138,870,168
229,n,112,169,122,199
230,o,123,169,133,199
231,t,134,169,142,199
232, ,143,169,149,199
233,t,150,169,158,199
234,r,159,169,166,199
235,u,167,169,177,199
236,e,178,169,188,199
237,.,189,169,193,199
238, ,194,169,200,199
239,A,201,169,214,199
240, ,215,169,221,199
241,s,222,169,231,199
242,p,232,169,243,199
243,i,244,169,248,199
244,d,249,169,259,199
245,e,260,169,270,199
246,r,271,169,278,199
247, ,279,169,285,199
248,w,286,169,300,199
249,o,301,169,311,199
250,u,312,169,322,199
251,l,323,169,328,199
252,d,329,169,339,199
253, ,340,169,346,199
254,a,347,169,357,199
255,l,358,169,363,199
256,s,364,169,373,199
257,o,374,169,384,199
258, ,385,169,391,199
259,g,392,169,402,199
260,e,403,169,413,199
261,t,414,169,422,199
262, ,423,169,429,199
263,c,430,169,439,199
264,a,440,169,450,199
265,u,451,169,461,199
266,g,462,169,472,199
267,h,473,169,483,199
268,t,484,169,492,199
269, ,493,169,499,199
270,i,500,169,504,199
271,n,505,169,515,199
272, ,516,169,522,199
273,i,523,169,527,199
274,t,528,169,536,199
275,s,537,169,546,199
276, ,547,169,553,199
277,n,554,169,564,199
278,e,565,169,575,199
279,t,576,169,584,199
280, ,585,169,591,199
281,i,592,169,596,199
282,f,597,169,604,199
283, ,605,169,611,199
284,i,612,169,616,199
285,t,617,169,625,199
286, ,626,169,632,199
287,d,633,169,643,199
288,i,644,169,648,199
289,d,649,169,659,199
290, ,660,169,666,199
291,n,667,169,677,199
292,o,678,169,688,199
293,t,689,169,697,199
294, ,698,169,704,199
295,m,705,169,721,199
296,a,722,169,732,199
297,k,733,169,743,199
298,e,744,169,754,199
299, ,755,169,761,199
300,u,762,169,772,199
301,s,773,169,782,199
302,e,783,169,793,199
303, ,794,169,800,199
304,o,801,169,811,199
305,f,812,169,819,199
306, ,820,169,826,199
307,a,827,169,837,199
308,c,112,200,121,230
309,l,122,200,127,230
310,e,128,200,138,230
311,v,139,200,150,230
312,e,151,200,161,230
313,r,162,200,169,230
314, ,170,200,176,230
315,t,177,200,185,230
316,r,186,200,193,230
317,i,194,200,198,230
318,c,199,200,208,230
319,k,209,200,219,230
320,.,220,200,224,230
321, ,225,200,231,230
322,S,232,200,243,230
323,p,244,200,255,230
324,i,256,200,260,230
325,d,261,200,271,230
326,e,272,200,282,230
327,r,283,200,290,230
328,s,291,200,300,230
329, ,301,200,307,230
330,c,308,200,317,230
331,a,318,200,328,230
332,n,329,200,339,230
333, ,340,200,346,230
334,p,347,200,358,230
335,r,359,200,366,230
336,o,367,200,377,230
337,d,378,200,388,230
338,u,389,200,399,230
339,c,400,200,409,230
340,e,410,200,420,230
341, ,421,200,427,230
342,t,428,200,436,230
343,w,437,200,451,230
344,o,452,200,462,230
345, ,463,200,469,230
346,d,470,200,480,230
347,i,481,200,485,230
348,f,486,200,493,230
349,f,494,200,501,230
350,e,502,200,512,230
351,r,513,200,520,230
352,e,521,200,531,230
353,n,532,200,542,230
354,t,543,200,551,230
355, ,552,200,558,230
356,k,559,200,569,230
357,i,570,200,574,230
358,n,575,200,585,230
359,d,586,200,596,230
360,s,597,200,606,230
361, ,607,200,613,230
362,o,614,200,624,230
363,f,625,200,632,230
364, ,633,200,639,230
365,t,640,200,648,230
366,h,649,200,659,230
367,r,660,200,667,230
368,e,668,200,678,230
369,a,679,200,689,230
370,d,690,200,700,230
371,s,701,200,710,230
372,.,711,200,715,230
373, ,716,200,722,230
374,T,723,200,735,230
375,h,736,200,746,230
376,u,747,200,757,230
377,s,758,200,767,230
378,",",768,200,773,230
379, ,774,200,780,230
380,s,781,200,790,230
381,p,791,200,802,230
382,i,803,200,807,230
383,d,808,200,818,230
384,e,819,200,829,230
385,r,830,200,837,230
386,s,838,200,847,230
387,f,112,231,119,261
388,i,120,231,124,261
389,r,125,231,132,261
390,s,133,231,142,261
391,t,143,231,151,261
392, ,152,231,158,261
393,b,159,231,169,261
394,u,170,231,180,261
395,i,181,231,185,261
396,l,186,231,191,261
397,d,192,231,202,261
398, ,203,231,209,261
399,a,210,231,220,261
400, ,221,231,227,261
401,n,228,231,238,261
402,e,239,231,249,261
403,t,250,231,258,261
404, ,259,231,265,261
405,o,266,231,276,261
406,u,277,231,287,261
407,t,288,231,296,261
408, ,297,231,303,261
409,o,304,231,314,261
410,f,315,231,322,261
411, ,323,231,329,261
412,d,330,231,340,261
413,r,341,231,348,261
414,y,349,231,360,261
415, ,361,231,367,261
416,t,368,231,376,261
417,h,377,231,387,261
418,r,388,231,395,261
419,e,396,231,406,261
420,a,407,231,417,261
421,d,418,231,428,261
422,s,429,231,438,261
423, ,439,231,445,261
424,w,446,231,460,261
425,h,461,231,471,261
426,i,472,231,476,261
427,c,477,231,486,261
428,h,487,231,497,261
429, ,498,231,504,261
430,d,505,231,515,261
431,o,516,231,526,261
432, ,527,231,533,261
433,n,534,231,544,261
434,o,545,231,555,261
435,t,556,231,564,261
436, ,565,231,571,261
437,s,572,231,581,261
438,t,582,231,590,261
439,i,591,231,595,261
440,c,596,231,605,261
441,k,606,231,616,261
442,.,617,231,621,261
443, ,622,231,628,261
444,W,629,231,647,261
445,h,648,231,658,261
446,e,659,231,669,261
447,n,670,231,680,261
448, ,681,231,687,261
449,t,688,231,696,261
450,h,697,231,707,261
451,i,708,231,712,261
452,s,713,231,722,261
453, ,723,231,729,261
454,n,730,231,740,261
455,e,741,231,751,261
456,t,752,231,760,261
457, ,761,231,767,261
458,i,768,231,772,261
459,s,773,231,782,261
460, ,783,231,789,261
461,f,790,231,797,261
462,i,798,231,802,261
463,n,803,231,813,261
464,i,814,231,818,261
465,s,819,231,828,261
466,h,829,231,839,261
467,e,840,231,850,261
468,d,851,231,861,261
469,",",862,231,867,261
470,t,112,262,120,292
471,h,121,262,131,292
472,e,132,262,142,292
473, ,143,262,149,292
474,s,150,262,159,292
475,p,160,262,171,292
476,i,172,262,176,292
477,d,177,262,187,292
478,e,188,262,198,292
479,r,199,262,206,292
480, ,207,262,213,292
481,s,214,262,223,292
482,p,224,262,235,292
483,i,236,262,240,292
484,n,241,262,251,292
485,s,252,262,261,292
486, ,262,262,268,292
487,t,269,262,277,292
488,h,278,262,288,292
489,e,289,262,299,292
490, ,300,262,306,292
491,s,307,262,316,292
492,t,317,262,325,292
493,i,326,262,330,292
494,c,331,262,340,292
495,k,341,262,351,292
496,y,352,262,363,292
497, ,364,262,370,292
498,m,371,262,387,292
499,a,388,262,398,292
500,t,399,262,407,292
501,e,408,262,418,292
502,r,419,262,426,292
503,i,427,262,431,292
504,a,432,262,442,292
505,l,443,262,448,292
506, ,449,262,455,292
507,o,456,262,466,292
508,n,467,262,477,292
509, ,478,262,484,292
510,t,485,262,493,292
511,o,494,262,504,292
512,p,505,262,516,292
513, ,517,262,523,292
514,o,524,262,534,292
515,f,535,262,542,292
516, ,543,262,549,292
517,i,550,262,554,292
518,t,555,262,563,292
519,.,564,262,568,292
520, ,569,262,575,292
521,O,576,262,589,292
522,n,590,262,600,292
523,l,601,262,606,292
524,y,607,262,618,292
525, ,619,262,625,292
526,t,626,262,634,292
527,h,635,262,645,292
528,i,646,262,650,292
529,s,651,262,660,292
530, ,661,262,667,292
531,n,668,262,678,292
532,e,679,262,689,292
533,t,690,262,698,292
534, ,699,262,705,292
535,o,706,262,716,292
536,n,717,262,727,292
537, ,728,262,734,292
538,t,735,262,743,292
539,o,744,262,754,292
540,p,755,262,766,292
541, ,767,262,773,292
542,o,774,262,784,292
543,f,785,262,792,292
544, ,793,262,799,292
545,t,800,262,808,292
546,h,809,262,819,292
547,e,820,262,830,292
548, ,831,262,837,292
549,n,838,262,848,292
550,e,849,262,859,292
551,t,860,262,868,292
552,c,112,293,121,323
553,a,122,293,132,323
