,Character,Left,Top,Right,Bottom
0,A,112,76,125,106
1,n,126,76,136,106
2,i,137,76,141,106
3,m,142,76,158,106
4,a,159,76,169,106
5,l,170,76,175,106
6,s,176,76,185,106
7, ,186,76,192,106
8,a,193,76,203,106
9,n,204,76,214,106
10,d,215,76,225,106
11, ,226,76,232,106
12,p,233,76,244,106
13,l,245,76,250,106
14,a,251,76,261,106
15,n,262,76,272,106
16,t,273,76,281,106
17,s,282,76,291,106
18, ,292,76,298,106
19,t,299,76,307,106
20,h,308,76,318,106
21,a,319,76,329,106
22,t,330,76,338,106
23, ,339,76,345,106
24,l,346,76,351,106
25,i,352,76,356,106
26,v,357,76,368,106
27,e,369,76,379,106
28, ,380,76,386,106
29,i,387,76,391,106
30,n,392,76,402,106
31, ,403,76,409,106
32,a,410,76,420,106
33,r,421,76,428,106
34,e,429,76,439,106
35,a,440,76,450,106
36,s,451,76,460,106
37, ,461,76,467,106
38,w,468,76,482,106
39,i,483,76,487,106
40,t,488,76,496,106
41,h,497,76,507,106
42, ,508,76,514,106
43,a,515,76,525,106
44, ,526,76,532,106
45,c,533,76,542,106
46,o,543,76,553,106
47,l,554,76,559,106
48,d,560,76,570,106
49, ,571,76,577,106
50,o,578,76,588,106
51,r,589,76,596,106
52, ,597,76,603,106
53,t,604,76,612,106
54,e,613,76,623,106
55,m,624,76,640,106
56,p,641,76,652,106
57,e,653,76,663,106
58,r,664,76,671,106
59,a,672,76,682,106
60,t,683,76,691,106
61,e,692,76,702,106
62, ,703,76,709,106
63,c,710,76,719,106
64,l,720,76,725,106
65,i,726,76,730,106
66,m,731,76,747,106
67,a,748,76,758,106
68,t,759,76,767,106
69,e,768,76,778,106
70, ,779,76,785,106
71,h,786,76,796,106
72,a,797,76,807,106
73,v,808,76,819,106
74,e,820,76,830,106
75, ,831,76,837,106
76,t,838,76,846,106
77,o,847,76,857,106
78, ,858,76,864,106
79,f,865,76,872,106
80,i,873,76,877,106
81,n,878,76,888,106
82,d,889,76,899,106
83,w,112,107,126,137
84,a,127,107,137,137
85,y,138,107,149,137
86,s,150,107,159,137
87, ,160,107,166,137
88,a,167,107,177,137
89,n,178,107,188,137
90,d,189,107,199,137
91, ,200,107,206,137
92,m,207,107,223,137
93,e,224,107,234,137
94,a,235,107,245,137
95,n,246,107,256,137
96,s,257,107,266,137
97, ,267,107,273,137
98,t,274,107,282,137
99,o,283,107,293,137
100, ,294,107,300,137
101,s,301,107,310,137
102,u,311,107,321,137
103,r,322,107,329,137
104,v,330,107,341,137
105,i,342,107,346,137
106,v,347,107,358,137
107,e,359,107,369,137
108, ,370,107,376,137
109,t,377,107,385,137
110,h,386,107,396,137
111,e,397,107,407,137
112, ,408,107,414,137
113,w,415,107,429,137
114,i,430,107,434,137
115,n,435,107,445,137
116,t,446,107,454,137
117,e,455,107,465,137
118,r,466,107,473,137
119, ,474,107,480,137
120,m,481,107,497,137
121,o,498,107,508,137
122,n,509,107,519,137
123,t,520,107,528,137
124,h,529,107,539,137
125,s,540,107,549,137
126,.,550,107,554,137
127, ,555,107,561,137
