,Character,Left,Top,Right,Bottom
0,T,112,68,123,90
1,h,124,68,133,90
2,e,134,68,141,90
3, ,142,68,146,90
4,b,146,68,156,90
5,e,158,68,165,90
6,a,166,68,174,90
7,v,175,68,184,90
8,e,185,68,192,90
9,r,193,68,199,90
10, ,200,68,204,90
11,i,205,68,209,90
12,s,210,68,216,90
13, ,217,68,221,90
14,a,222,68,230,90
15,n,231,68,240,90
16, ,241,68,245,90
17,e,246,68,253,90
18,x,254,68,263,90
19,c,264,68,271,90
20,e,272,68,279,90
21,l,280,68,284,90
22,l,285,68,289,90
23,e,290,68,297,90
24,n,298,68,307,90
25,t,308,68,313,90
26, ,314,68,318,90
27,s,319,68,325,90
28,w,326,68,339,90
29,i,340,68,344,90
30,m,345,68,359,90
31,m,360,68,374,90
32,e,375,68,382,90
33,r,383,68,389,90
34,.,390,68,394,90
35, ,395,68,399,90
36,I,400,68,405,90
37,t,406,68,411,90
38, ,412,68,416,90
39,c,417,68,424,90
40,a,425,68,433,90
41,n,434,68,443,90
42, ,444,68,448,90
43,a,449,68,457,90
44,c,458,68,465,90
45,h,466,68,475,90
46,i,476,68,480,90
47,e,481,68,488,90
48,v,489,68,498,90
49,e,499,68,506,90
50, ,507,68,511,90
51,a,512,68,520,90
52, ,521,68,525,90
53,s,526,68,532,90
54,p,532,68,542,90
55,e,544,68,551,90
56,e,552,68,559,90
57,d,560,68,569,90
58, ,570,68,574,90
59,o,575,68,584,90
60,f,585,68,593,90
61, ,594,68,598,90
62,u,599,68,608,90
63,p,608,68,618,90
64, ,620,68,624,90
65,t,625,68,630,90
66,o,631,68,640,90
67, ,641,68,645,90
68,s,646,68,652,90
69,e,653,68,660,90
70,v,661,68,670,90
71,e,671,68,678,90
72,n,679,68,688,90
73, ,689,68,693,90
74,m,694,68,708,90
75,i,709,68,713,90
76,l,714,68,718,90
77,e,719,68,726,90
78,s,727,68,733,90
79,p,111,91,121,113
80,e,123,91,130,113
81,r,131,91,137,113
82, ,138,91,142,113
83,h,143,91,152,113
84,o,153,91,162,113
85,u,163,91,172,113
86,r,173,91,179,113
87, ,180,91,184,113
88,i,185,91,189,113
89,n,190,91,199,113
90, ,200,91,204,113
91,w,205,91,218,113
92,a,219,91,227,113
93,t,228,91,233,113
94,e,234,91,241,113
95,r,242,91,248,113
96,.,249,91,253,113
97, ,254,91,258,113
98,I,259,91,264,113
99,t,265,91,270,113
100,s,271,91,277,113
101, ,278,91,282,113
102,p,282,91,292,113
103,r,294,91,300,113
104,o,301,91,310,113
105,t,311,91,316,113
106,e,317,91,324,113
107,c,325,91,332,113
108,t,333,91,338,113
109,i,339,91,343,113
110,o,344,91,353,113
111,n,354,91,363,113
112, ,364,91,368,113
113,a,369,91,377,113
114,g,378,91,387,113
115,a,388,91,396,113
116,i,397,91,401,113
117,n,402,91,411,113
118,s,412,91,418,113
119,t,419,91,424,113
120, ,425,91,429,113
121,t,430,91,435,113
122,h,436,91,445,113
123,e,446,91,453,113
124, ,454,91,458,113
125,c,459,91,466,113
126,o,467,91,476,113
127,l,477,91,481,113
128,d,482,91,491,113
129, ,492,91,496,113
130,c,497,91,504,113
131,o,505,91,514,113
132,n,515,91,524,113
133,s,525,91,531,113
134,i,532,91,536,113
135,s,537,91,543,113
136,t,544,91,549,113
137,s,550,91,556,113
138, ,557,91,561,113
139,o,562,91,571,113
140,f,572,91,580,113
141, ,581,91,585,113
142,a,586,91,594,113
143, ,595,91,599,113
144,s,600,91,606,113
145,k,607,91,616,113
146,i,617,91,621,113
147,n,622,91,631,113
148, ,632,91,636,113
149,w,637,91,650,113
150,i,651,91,655,113
151,t,656,91,661,113
152,h,662,91,671,113
153, ,672,91,676,113
154,t,677,91,682,113
155,h,683,91,692,113
156,o,693,91,702,113
157,u,703,91,712,113
158,s,713,91,719,113
159,a,720,91,728,113
160,n,729,91,738,113
161,d,739,91,748,113
162,s,749,91,755,113
163,o,112,114,121,136
164,f,122,114,130,136
165, ,131,114,135,136
166,s,136,114,142,136
167,i,143,114,147,136
168,n,148,114,157,136
169,g,158,114,167,136
170,l,168,114,172,136
171,e,173,114,180,136
172, ,181,114,185,136
173,h,186,114,195,136
174,a,196,114,204,136
175,i,205,114,209,136
176,r,210,114,216,136
177,s,217,114,223,136
178, ,224,114,228,136
179,a,229,114,237,136
180,n,238,114,247,136
181,d,248,114,257,136
182, ,258,114,262,136
183,a,263,114,271,136
184, ,272,114,276,136
185,t,277,114,282,136
186,h,283,114,292,136
187,i,293,114,297,136
188,c,298,114,305,136
189,k,306,114,315,136
190, ,316,114,320,136
191,l,321,114,325,136
192,a,326,114,334,136
193,y,335,114,344,136
194,e,345,114,352,136
195,r,353,114,359,136
196, ,360,114,364,136
197,o,365,114,374,136
198,f,375,114,383,136
199, ,384,114,388,136
200,f,389,114,397,136
201,a,398,114,406,136
202,t,407,114,412,136
203,.,413,114,417,136
204, ,418,114,422,136
205,W,423,114,440,136
206,i,441,114,445,136
207,t,446,114,451,136
208,h,452,114,461,136
209, ,462,114,466,136
210,i,467,114,471,136
211,t,472,114,477,136
212,s,478,114,484,136
213, ,485,114,489,136
214,b,489,114,499,136
215,i,501,114,505,136
216,g,506,114,515,136
217, ,516,114,520,136
218,l,521,114,525,136
219,u,526,114,535,136
220,n,536,114,545,136
221,g,546,114,555,136
222,s,556,114,562,136
223, ,563,114,567,136
224,i,568,114,572,136
225,t,573,114,578,136
226, ,579,114,583,136
227,c,584,114,591,136
228,a,592,114,600,136
229,n,601,114,610,136
230, ,611,114,615,136
231,e,616,114,623,136
232,a,624,114,632,136
233,s,633,114,639,136
234,i,640,114,644,136
235,l,645,114,649,136
236,y,650,114,659,136
237, ,660,114,664,136
238,s,665,114,671,136
239,t,672,114,677,136
240,a,678,114,686,136
241,y,687,114,696,136
242, ,697,114,701,136
243,u,702,114,711,136
244,n,712,114,721,136
245,d,722,114,731,136
246,e,732,114,739,136
247,r,740,114,746,136
248,w,112,137,125,159
249,a,126,137,134,159
250,t,135,137,140,159
251,e,141,137,148,159
252,r,149,137,155,159
253, ,156,137,160,159
254,f,161,137,169,159
255,o,170,137,179,159
256,r,180,137,186,159
257, ,187,137,191,159
258,m,192,137,206,159
259,o,207,137,216,159
260,r,217,137,223,159
261,e,224,137,231,159
262, ,232,137,236,159
263,t,237,137,242,159
264,h,243,137,252,159
265,a,253,137,261,159
266,n,262,137,271,159
267, ,272,137,276,159
268,t,277,137,282,159
269,w,283,137,296,159
270,e,297,137,304,159
271,n,305,137,314,159
272,t,315,137,320,159
273,y,321,137,330,159
274, ,331,137,335,159
275,m,336,137,350,159
276,i,351,137,355,159
277,n,356,137,365,159
278,u,366,137,375,159
279,t,376,137,381,159
280,e,382,137,389,159
281,s,390,137,396,159
282,.,397,137,401,159
283, ,402,137,406,159
284,T,407,137,418,159
285,h,419,137,428,159
286,e,429,137,436,159
287, ,437,137,441,159
288,b,441,137,451,159
289,e,453,137,460,159
290,a,461,137,469,159
291,v,470,137,479,159
292,e,480,137,487,159
293,r,488,137,494,159
294, ,495,137,499,159
295,i,500,137,504,159
