,Character,Left,Top,Right,Bottom
0,A,112,76,125,106
1,l,126,76,131,106
2,l,132,76,137,106
3, ,138,76,144,106
4,a,145,76,155,106
5,n,156,76,166,106
6,i,167,76,171,106
7,m,172,76,188,106
8,a,189,76,199,106
9,l,200,76,205,106
10,s,206,76,215,106
11, ,216,76,222,106
12,t,223,76,231,106
13,h,232,76,242,106
14,a,243,76,253,106
15,t,254,76,262,106
16, ,263,76,269,106
17,l,270,76,275,106
18,i,276,76,280,106
19,v,281,76,292,106
20,e,293,76,303,106
21, ,304,76,310,106
22,o,311,76,321,106
23,n,322,76,332,106
24, ,333,76,339,106
25,o,340,76,350,106
26,t,351,76,359,106
27,h,360,76,370,106
28,e,371,76,381,106
29,r,382,76,389,106
30, ,390,76,396,106
31,a,397,76,407,106
32,n,408,76,418,106
33,i,419,76,423,106
34,m,424,76,440,106
35,a,441,76,451,106
36,l,452,76,457,106
37,s,458,76,467,106
38, ,468,76,474,106
39,f,475,76,482,106
40,a,483,76,493,106
41,c,494,76,503,106
42,e,504,76,514,106
43, ,515,76,521,106
44,t,522,76,530,106
45,h,531,76,541,106
46,e,542,76,552,106
47, ,553,76,559,106
48,p,560,76,571,106
49,r,572,76,579,106
50,o,580,76,590,106
51,b,591,76,601,106
52,l,602,76,607,106
53,e,608,76,618,106
54,m,619,76,635,106
55, ,636,76,642,106
56,o,643,76,653,106
57,f,654,76,661,106
58, ,662,76,668,106
59,h,669,76,679,106
60,o,680,76,690,106
61,w,691,76,705,106
62, ,706,76,712,106
63,t,713,76,721,106
64,o,722,76,732,106
65, ,733,76,739,106
66,g,740,76,750,106
67,e,751,76,761,106
68,t,762,76,770,106
69, ,771,76,777,106
70,h,778,76,788,106
71,o,789,76,799,106
72,l,800,76,805,106
73,d,806,76,816,106
74, ,817,76,823,106
75,o,824,76,834,106
76,f,835,76,842,106
77,t,112,107,120,137
78,h,121,107,131,137
79,e,132,107,142,137
80,i,143,107,147,137
81,r,148,107,155,137
82, ,156,107,162,137
83,p,163,107,174,137
84,r,175,107,182,137
85,e,183,107,193,137
86,y,194,107,205,137
87,.,206,107,210,137
88, ,211,107,217,137
89,M,218,107,232,137
90,a,233,107,243,137
91,n,244,107,254,137
92,y,255,107,266,137
93, ,267,107,273,137
94,a,274,107,284,137
95,n,285,107,295,137
96,i,296,107,300,137
97,m,301,107,317,137
98,a,318,107,328,137
99,l,329,107,334,137
100,s,335,107,344,137
101, ,345,107,351,137
102,s,352,107,361,137
103,e,362,107,372,137
104,e,373,107,383,137
105,k,384,107,394,137
106, ,395,107,401,137
107,a,402,107,412,137
108,n,413,107,423,137
109,d,424,107,434,137
110, ,435,107,441,137
111,h,442,107,452,137
112,u,453,107,463,137
113,n,464,107,474,137
114,t,475,107,483,137
115, ,484,107,490,137
116,t,491,107,499,137
117,h,500,107,510,137
118,e,511,107,521,137
119,i,522,107,526,137
120,r,527,107,534,137
121, ,535,107,541,137
122,p,542,107,553,137
123,r,554,107,561,137
124,e,562,107,572,137
125,y,573,107,584,137
126,",",585,107,590,137
127, ,591,107,597,137
128,w,598,107,612,137
129,h,613,107,623,137
130,i,624,107,628,137
131,l,629,107,634,137
132,e,635,107,645,137
133, ,646,107,652,137
134,o,653,107,663,137
135,t,664,107,672,137
136,h,673,107,683,137
137,e,684,107,694,137
138,r,695,107,702,137
139,s,703,107,712,137
140, ,713,107,719,137
141,s,720,107,729,137
142,i,730,107,734,137
143,t,735,107,743,137
144, ,744,107,750,137
145,s,751,107,760,137
146,t,761,107,769,137
147,i,770,107,774,137
148,l,775,107,780,137
149,l,781,107,786,137
150, ,787,107,793,137
151,a,794,107,804,137
152,n,805,107,815,137
153,d,816,107,826,137
154, ,827,107,833,137
155,w,834,107,848,137
156,a,849,107,859,137
157,i,860,107,864,137
158,t,865,107,873,137
159,f,112,138,119,168
