,Character,Left,Top,Right,Bottom
0,I,112,76,116,106
1,n,117,76,127,106
2, ,128,76,134,106
3,a,135,76,145,106
4,r,146,76,153,106
5,e,154,76,164,106
6,a,165,76,175,106
7,s,176,76,185,106
8, ,186,76,192,106
9,w,193,76,207,106
10,h,208,76,218,106
11,e,219,76,229,106
12,r,230,76,237,106
13,e,238,76,248,106
14, ,249,76,255,106
15,i,256,76,260,106
16,t,261,76,269,106
17, ,270,76,276,106
18,i,277,76,281,106
19,s,282,76,291,106
20, ,292,76,298,106
21,v,299,76,310,106
22,e,311,76,321,106
23,r,322,76,329,106
24,y,330,76,341,106
25, ,342,76,348,106
26,h,349,76,359,106
27,o,360,76,370,106
28,t,371,76,379,106
29, ,380,76,386,106
30,a,387,76,397,106
31,n,398,76,408,106
32,d,409,76,419,106
33, ,420,76,426,106
34,d,427,76,437,106
35,r,438,76,445,106
36,y,446,76,457,106
37,",",458,76,463,106
38, ,464,76,470,106
39,p,471,76,482,106
40,l,483,76,488,106
41,a,489,76,499,106
42,n,500,76,510,106
43,t,511,76,519,106
44,s,520,76,529,106
45, ,530,76,536,106
46,a,537,76,547,106
47,n,548,76,558,106
48,d,559,76,569,106
49, ,570,76,576,106
50,a,577,76,587,106
51,n,588,76,598,106
52,i,599,76,603,106
53,m,604,76,620,106
54,a,621,76,631,106
55,l,632,76,637,106
56,s,638,76,647,106
57, ,648,76,654,106
58,h,655,76,665,106
59,a,666,76,676,106
60,v,677,76,688,106
61,e,689,76,699,106
62, ,700,76,706,106
63,t,707,76,715,106
64,o,716,76,726,106
65, ,727,76,733,106
66,a,734,76,744,106
67,d,745,76,755,106
68,a,756,76,766,106
69,p,767,76,778,106
70,t,779,76,787,106
71, ,788,76,794,106
72,t,795,76,803,106
73,o,804,76,814,106
74, ,815,76,821,106
75,t,822,76,830,106
76,h,831,76,841,106
77,e,842,76,852,106
78,s,853,76,862,106
79,e,863,76,873,106
80,c,112,107,121,137
81,o,122,107,132,137
82,n,133,107,143,137
83,d,144,107,154,137
84,i,155,107,159,137
85,t,160,107,168,137
86,i,169,107,173,137
87,o,174,107,184,137
88,n,185,107,195,137
89,s,196,107,205,137
90,.,206,107,210,137
91, ,211,107,217,137
92,M,218,107,232,137
93,a,233,107,243,137
94,n,244,107,254,137
95,y,255,107,266,137
96, ,267,107,273,137
97,p,274,107,285,137
98,l,286,107,291,137
99,a,292,107,302,137
100,n,303,107,313,137
101,t,314,107,322,137
102,s,323,107,332,137
103, ,333,107,339,137
104,s,340,107,349,137
105,u,350,107,360,137
106,r,361,107,368,137
107,v,369,107,380,137
108,i,381,107,385,137
109,v,386,107,397,137
110,e,398,107,408,137
111, ,409,107,415,137
112,t,416,107,424,137
113,i,425,107,429,137
114,m,430,107,446,137
115,e,447,107,457,137
116,s,458,107,467,137
117, ,468,107,474,137
118,o,475,107,485,137
119,f,486,107,493,137
120, ,494,107,500,137
121,d,501,107,511,137
122,r,512,107,519,137
123,o,520,107,530,137
124,u,531,107,541,137
125,g,542,107,552,137
126,h,553,107,563,137
127,t,564,107,572,137
128, ,573,107,579,137
129,i,580,107,584,137
130,n,585,107,595,137
131, ,596,107,602,137
132,t,603,107,611,137
133,h,612,107,622,137
134,e,623,107,633,137
135, ,634,107,640,137
136,f,641,107,648,137
137,o,649,107,659,137
138,r,660,107,667,137
139,m,668,107,684,137
140, ,685,107,691,137
141,o,692,107,702,137
142,f,703,107,710,137
143, ,711,107,717,137
144,s,718,107,727,137
145,e,728,107,738,137
146,e,739,107,749,137
147,d,750,107,760,137
148,s,761,107,770,137
149, ,771,107,777,137
150,w,778,107,792,137
151,h,793,107,803,137
152,i,804,107,808,137
153,c,809,107,818,137
154,h,819,107,829,137
155, ,830,107,836,137
156,o,837,107,847,137
157,f,848,107,855,137
158,t,856,107,864,137
159,e,865,107,875,137
160,n,876,107,886,137
161,l,112,138,117,168
162,i,118,138,122,168
163,e,123,138,133,168
164, ,134,138,140,168
165,b,141,138,151,168
166,u,152,138,162,168
167,r,163,138,170,168
168,i,171,138,175,168
169,e,176,138,186,168
170,d,187,138,197,168
171, ,198,138,204,168
172,i,205,138,209,168
173,n,210,138,220,168
174, ,221,138,227,168
175,t,228,138,236,168
176,h,237,138,247,168
177,e,248,138,258,168
178, ,259,138,265,168
179,g,266,138,276,168
180,r,277,138,284,168
181,o,285,138,295,168
182,u,296,138,306,168
183,n,307,138,317,168
184,d,318,138,328,168
185, ,329,138,335,168
186,f,336,138,343,168
187,o,344,138,354,168
188,r,355,138,362,168
189, ,363,138,369,168
190,s,370,138,379,168
191,e,380,138,390,168
192,v,391,138,402,168
193,e,403,138,413,168
194,r,414,138,421,168
195,a,422,138,432,168
196,l,433,138,438,168
197, ,439,138,445,168
198,y,446,138,457,168
199,e,458,138,468,168
200,a,469,138,479,168
201,r,480,138,487,168
202,s,488,138,497,168
203, ,498,138,504,168
204,a,505,138,515,168
205,n,516,138,526,168
206,d,527,138,537,168
207, ,538,138,544,168
208,d,545,138,555,168
209,o,556,138,566,168
210, ,567,138,573,168
211,n,574,138,584,168
212,o,585,138,595,168
213,t,596,138,604,168
214, ,605,138,611,168
215,p,612,138,623,168
216,u,624,138,634,168
217,t,635,138,643,168
218, ,644,138,650,168
219,o,651,138,661,168
220,u,662,138,672,168
221,t,673,138,681,168
222, ,682,138,688,168
223,s,689,138,698,168
224,h,699,138,709,168
225,o,710,138,720,168
226,o,721,138,731,168
227,t,732,138,740,168
228,s,741,138,750,168
229, ,751,138,757,168
230,b,758,138,768,168
231,e,769,138,779,168
232,f,780,138,787,168
233,o,788,138,798,168
234,r,799,138,806,168
235,e,807,138,817,168
236, ,818,138,824,168
237,i,825,138,829,168
238,t,830,138,838,168
239, ,839,138,845,168
240,r,846,138,853,168
241,a,854,138,864,168
242,i,865,138,869,168
243,n,870,138,880,168
244,s,881,138,890,168
245,.,891,138,895,168
246,W,112,169,130,199
247,h,131,169,141,199
248,e,142,169,152,199
249,n,153,169,163,199
250, ,164,169,170,199
251,t,171,169,179,199
252,h,180,169,190,199
253,a,191,169,201,199
254,t,202,169,210,199
255, ,211,169,217,199
256,h,218,169,228,199
257,a,229,169,239,199
258,p,240,169,251,199
259,p,252,169,263,199
260,e,264,169,274,199
261,n,275,169,285,199
262,s,286,169,295,199
263,",",296,169,301,199
264, ,302,169,308,199
265,t,309,169,317,199
266,h,318,169,328,199
267,e,329,169,339,199
268, ,340,169,346,199
269,p,347,169,358,199
270,l,359,169,364,199
271,a,365,169,375,199
272,n,376,169,386,199
273,t,387,169,395,199
274,s,396,169,405,199
275, ,406,169,412,199
276,g,413,169,423,199
277,r,424,169,431,199
278,o,432,169,442,199
279,w,443,169,457,199
280, ,458,169,464,199
281,v,465,169,476,199
282,e,477,169,487,199
283,r,488,169,495,199
284,y,496,169,507,199
285, ,508,169,514,199
286,q,515,169,527,199
287,u,528,169,538,199
288,i,539,169,543,199
289,c,544,169,553,199
290,k,554,169,564,199
291,l,565,169,570,199
292,y,571,169,582,199
293, ,583,169,589,199
294,a,590,169,600,199
295,n,601,169,611,199
296,d,612,169,622,199
297, ,623,169,629,199
298,f,630,169,637,199
299,o,638,169,648,199
300,r,649,169,656,199
301,m,657,169,673,199
302, ,674,169,680,199
303,f,681,169,688,199
304,l,689,169,694,199
305,o,695,169,705,199
306,w,706,169,720,199
307,e,721,169,731,199
308,r,732,169,739,199
309,s,740,169,749,199
310, ,750,169,756,199
311,a,757,169,767,199
312,n,768,169,778,199
313,d,779,169,789,199
314, ,790,169,796,199
315,s,797,169,806,199
316,e,807,169,817,199
317,e,818,169,828,199
318,d,829,169,839,199
319,s,840,169,849,199
320,",",850,169,855,199
321,w,112,200,126,230
322,h,127,200,137,230
323,i,138,200,142,230
324,c,143,200,152,230
325,h,153,200,163,230
326, ,164,200,170,230
327,i,171,200,175,230
328,n,176,200,186,230
329, ,187,200,193,230
330,d,194,200,204,230
331,u,205,200,215,230
332,e,216,200,226,230
333, ,227,200,233,230
334,t,234,200,242,230
335,i,243,200,247,230
336,m,248,200,264,230
337,e,265,200,275,230
338, ,276,200,282,230
339,d,283,200,293,230
340,e,294,200,304,230
341,v,305,200,316,230
342,e,317,200,327,230
343,l,328,200,333,230
344,o,334,200,344,230
345,p,345,200,356,230
346, ,357,200,363,230
347,i,364,200,368,230
348,n,369,200,379,230
349,t,380,200,388,230
350,o,389,200,399,230
351, ,400,200,406,230
352,t,407,200,415,230
353,h,416,200,426,230
354,e,427,200,437,230
355, ,438,200,444,230
356,n,445,200,455,230
357,e,456,200,466,230
358,x,467,200,478,230
359,t,479,200,487,230
360, ,488,200,494,230
361,g,495,200,505,230
362,e,506,200,516,230
363,n,517,200,527,230
364,e,528,200,538,230
365,r,539,200,546,230
366,a,547,200,557,230
367,t,558,200,566,230
368,i,567,200,571,230
369,o,572,200,582,230
370,n,583,200,593,230
371,.,594,200,598,230
372, ,599,200,605,230
373,S,606,200,617,230
374,o,618,200,628,230
375,m,629,200,645,230
376,e,646,200,656,230
377, ,657,200,663,230
378,a,664,200,674,230
379,n,675,200,685,230
380,i,686,200,690,230
381,m,691,200,707,230
382,a,708,200,718,230
383,l,719,200,724,230
384,s,725,200,734,230
385, ,735,200,741,230
386,b,742,200,752,230
387,e,753,200,763,230
388,h,764,200,774,230
389,a,775,200,785,230
390,v,786,200,797,230
391,e,798,200,808,230
392, ,809,200,815,230
393,i,816,200,820,230
394,n,821,200,831,230
395, ,832,200,838,230
396,a,839,200,849,230
397,s,112,231,121,261
398,i,122,231,126,261
399,m,127,231,143,261
400,i,144,231,148,261
401,l,149,231,154,261
402,a,155,231,165,261
403,r,166,231,173,261
404, ,174,231,180,261
405,w,181,231,195,261
406,a,196,231,206,261
407,y,207,231,218,261
408,.,219,231,223,261
409, ,224,231,230,261
410,T,231,231,243,261
411,h,244,231,254,261
412,e,255,231,265,261
413,r,266,231,273,261
414,e,274,231,284,261
415, ,285,231,291,261
416,a,292,231,302,261
417,r,303,231,310,261
418,e,311,231,321,261
419, ,322,231,328,261
420,f,329,231,336,261
421,r,337,231,344,261
422,o,345,231,355,261
423,g,356,231,366,261
424,s,367,231,376,261
425, ,377,231,383,261
426,t,384,231,392,261
427,h,393,231,403,261
428,a,404,231,414,261
429,t,415,231,423,261
430, ,424,231,430,261
431,b,431,231,441,261
432,u,442,231,452,261
433,r,453,231,460,261
434,y,461,231,472,261
435, ,473,231,479,261
436,t,480,231,488,261
437,h,489,231,499,261
438,e,500,231,510,261
439,m,511,231,527,261
440,s,528,231,537,261
441,e,538,231,548,261
442,l,549,231,554,261
443,v,555,231,566,261
444,e,567,231,577,261
445,s,578,231,587,261
446, ,588,231,594,261
447,i,595,231,599,261
448,n,600,231,610,261
449, ,611,231,617,261
450,t,618,231,626,261
451,h,627,231,637,261
452,e,638,231,648,261
453, ,649,231,655,261
454,g,656,231,666,261
455,r,667,231,674,261
456,o,675,231,685,261
457,u,686,231,696,261
458,n,697,231,707,261
459,d,708,231,718,261
460, ,719,231,725,261
461,a,726,231,736,261
462,n,737,231,747,261
463,d,748,231,758,261
464, ,759,231,765,261
465,f,766,231,773,261
466,o,774,231,784,261
467,r,785,231,792,261
468,m,793,231,809,261
469, ,810,231,816,261
470,a,817,231,827,261
471, ,828,231,834,261
472,c,835,231,844,261
473,a,845,231,855,261
474,p,856,231,867,261
475,s,868,231,877,261
476,u,878,231,888,261
477,l,889,231,894,261
478,e,895,231,905,261
479,w,112,262,126,292
480,h,127,262,137,292
481,i,138,262,142,292
482,c,143,262,152,292
483,h,153,262,163,292
484, ,164,262,170,292
485,p,171,262,182,292
486,r,183,262,190,292
487,e,191,262,201,292
488,v,202,262,213,292
489,e,214,262,224,292
490,n,225,262,235,292
491,t,236,262,244,292
492,s,245,262,254,292
493, ,255,262,261,292
494,t,262,262,270,292
495,h,271,262,281,292
496,e,282,262,292,292
497,m,293,262,309,292
498, ,310,262,316,292
499,f,317,262,324,292
500,r,325,262,332,292
501,o,333,262,343,292
502,m,344,262,360,292
503, ,361,262,367,292
504,d,368,262,378,292
505,r,379,262,386,292
506,y,387,262,398,292
507,i,399,262,403,292
508,n,404,262,414,292
509,g,415,262,425,292
510, ,426,262,432,292
511,o,433,262,443,292
512,u,444,262,454,292
513,t,455,262,463,292
514,.,464,262,468,292
515, ,469,262,475,292
516,T,476,262,488,292
517,h,489,262,499,292
518,e,500,262,510,292
519,s,511,262,520,292
520,e,521,262,531,292
521, ,532,262,538,292
522,f,539,262,546,292
523,r,547,262,554,292
524,o,555,262,565,292
525,g,566,262,576,292
526,s,577,262,586,292
527, ,587,262,593,292
528,o,594,262,604,292
529,n,605,262,615,292
530,l,616,262,621,292
531,y,622,262,633,292
532, ,634,262,640,292
533,c,641,262,650,292
534,o,651,262,661,292
535,m,662,262,678,292
536,e,679,262,689,292
537, ,690,262,696,292
538,t,697,262,705,292
539,o,706,262,716,292
540, ,717,262,723,292
541,t,724,262,732,292
542,h,733,262,743,292
543,e,744,262,754,292
544, ,755,262,761,292
545,s,762,262,771,292
546,u,772,262,782,292
547,r,783,262,790,292
548,f,791,262,798,292
549,a,799,262,809,292
550,c,810,262,819,292
551,e,820,262,830,292
552, ,831,262,837,292
553,w,838,262,852,292
