,Character,Left,Top,Right,Bottom
0,T,112,68,123,90
1,h,124,68,133,90
2,e,134,68,141,90
3, ,142,68,146,90
4,w,147,68,160,90
5,o,161,68,170,90
6,r,171,68,177,90
7,d,178,68,187,90
8, ,188,68,192,90
9,i,193,68,197,90
10,s,198,68,204,90
11,l,205,68,209,90
12,a,210,68,218,90
13,n,219,68,228,90
14,d,229,68,238,90
15, ,239,68,243,90
16,d,244,68,253,90
17,e,254,68,261,90
18,s,262,68,268,90
19,c,269,68,276,90
20,r,277,68,283,90
21,i,284,68,288,90
22,b,288,68,298,90
23,e,300,68,307,90
24,s,308,68,314,90
25, ,315,68,319,90
26,a,320,68,328,90
27,r,329,68,335,90
28,e,336,68,343,90
29,a,344,68,352,90
30,s,353,68,359,90
31, ,360,68,364,90
32,t,365,68,370,90
33,h,371,68,380,90
34,a,381,68,389,90
35,t,390,68,395,90
36, ,396,68,400,90
37,a,401,68,409,90
38,r,410,68,416,90
39,e,417,68,424,90
40, ,425,68,429,90
41,c,430,68,437,90
42,u,438,68,447,90
43,t,448,68,453,90
44, ,454,68,458,90
45,o,459,68,468,90
46,f,469,68,477,90
47,f,478,68,486,90
48, ,487,68,491,90
49,f,492,68,500,90
50,r,501,68,507,90
51,o,508,68,517,90
52,m,518,68,532,90
53, ,533,68,537,90
54,l,538,68,542,90
55,a,543,68,551,90
56,n,552,68,561,90
57,d,562,68,571,90
58, ,572,68,576,90
59,a,577,68,585,90
60,n,586,68,595,90
61,d,596,68,605,90
62, ,606,68,610,90
63,a,611,68,619,90
64,r,620,68,626,90
65,e,627,68,634,90
66, ,635,68,639,90
67,s,640,68,646,90
68,u,647,68,656,90
69,r,657,68,663,90
70,r,664,68,670,90
71,o,671,68,680,90
72,u,681,68,690,90
73,n,691,68,700,90
74,d,701,68,710,90
75,e,711,68,718,90
76,d,719,68,728,90
77, ,729,68,733,90
78,b,733,68,743,90
79,y,745,68,754,90
80,t,112,91,117,113
81,h,118,91,127,113
82,e,128,91,135,113
83, ,136,91,140,113
84,s,141,91,147,113
85,e,148,91,155,113
86,a,156,91,164,113
87, ,165,91,169,113
88,o,170,91,179,113
89,n,180,91,189,113
90, ,190,91,194,113
91,a,195,91,203,113
92,l,204,91,208,113
93,l,209,91,213,113
94, ,214,91,218,113
95,s,219,91,225,113
96,i,226,91,230,113
97,d,231,91,240,113
98,e,241,91,248,113
99,s,249,91,255,113
100,.,256,91,260,113
101, ,261,91,265,113
102,I,266,91,271,113
103,s,272,91,278,113
104,l,279,91,283,113
105,a,284,91,292,113
106,n,293,91,302,113
107,d,303,91,312,113
108,s,313,91,319,113
109, ,320,91,324,113
110,c,325,91,332,113
111,a,333,91,341,113
112,n,342,91,351,113
113, ,352,91,356,113
114,c,357,91,364,113
115,o,365,91,374,113
116,m,375,91,389,113
117,e,390,91,397,113
118, ,398,91,402,113
119,i,403,91,407,113
120,n,408,91,417,113
121,t,418,91,423,113
122,o,424,91,433,113
123, ,434,91,438,113
124,e,439,91,446,113
125,x,447,91,456,113
126,i,457,91,461,113
127,s,462,91,468,113
128,t,469,91,474,113
129,e,475,91,482,113
130,n,483,91,492,113
131,c,493,91,500,113
132,e,501,91,508,113
133, ,509,91,513,113
134,w,514,91,527,113
135,h,528,91,537,113
136,e,538,91,545,113
137,n,546,91,555,113
138, ,556,91,560,113
139,v,561,91,570,113
140,o,571,91,580,113
141,l,581,91,585,113
142,c,586,91,593,113
143,a,594,91,602,113
144,n,603,91,612,113
145,o,613,91,622,113
146,e,623,91,630,113
147,s,631,91,637,113
148, ,638,91,642,113
149,r,643,91,649,113
150,i,650,91,654,113
151,s,655,91,661,113
152,e,662,91,669,113
153, ,670,91,674,113
154,f,675,91,683,113
155,r,684,91,690,113
156,o,691,91,700,113
157,m,701,91,715,113
158, ,716,91,720,113
159,t,721,91,726,113
160,h,727,91,736,113
161,e,737,91,744,113
162,f,112,114,120,136
163,l,121,114,125,136
164,o,126,114,135,136
165,o,136,114,145,136
166,r,146,114,152,136
167, ,153,114,157,136
168,o,158,114,167,136
169,f,168,114,176,136
170, ,177,114,181,136
171,t,182,114,187,136
172,h,188,114,197,136
173,e,198,114,205,136
174, ,206,114,210,136
175,s,211,114,217,136
176,e,218,114,225,136
177,a,226,114,234,136
178, ,235,114,239,136
179,o,240,114,249,136
180,r,250,114,256,136
181, ,257,114,261,136
182,w,262,114,275,136
183,h,276,114,285,136
184,e,286,114,293,136
185,n,294,114,303,136
186, ,304,114,308,136
187,t,309,114,314,136
188,h,315,114,324,136
189,e,325,114,332,136
190, ,333,114,337,136
191,w,338,114,351,136
192,a,352,114,360,136
193,t,361,114,366,136
194,e,367,114,374,136
195,r,375,114,381,136
196, ,382,114,386,136
197,l,387,114,391,136
198,e,392,114,399,136
199,v,400,114,409,136
200,e,410,114,417,136
201,l,418,114,422,136
202, ,423,114,427,136
203,r,428,114,434,136
204,i,435,114,439,136
205,s,440,114,446,136
206,e,447,114,454,136
207,s,455,114,461,136
208, ,462,114,466,136
209,o,467,114,476,136
210,r,477,114,483,136
211, ,484,114,488,136
212,f,489,114,497,136
213,a,498,114,506,136
214,l,507,114,511,136
215,l,512,114,516,136
216,s,517,114,523,136
217,.,524,114,528,136
218, ,529,114,533,136
219,A,534,114,547,136
220, ,548,114,552,136
221,n,553,114,562,136
222,u,563,114,572,136
223,m,573,114,587,136
224,b,587,114,597,136
225,e,599,114,606,136
226,r,607,114,613,136
227, ,614,114,618,136
228,o,619,114,628,136
229,f,629,114,637,136
230, ,638,114,642,136
231,i,643,114,647,136
232,s,648,114,654,136
233,l,655,114,659,136
234,a,660,114,668,136
235,n,669,114,678,136
236,d,679,114,688,136
237,s,689,114,695,136
238, ,696,114,700,136
239,c,701,114,708,136
240,a,709,114,717,136
241,m,718,114,732,136
242,e,733,114,740,136
243,i,112,137,116,159
244,n,117,137,126,159
245,t,127,137,132,159
246,o,133,137,142,159
247, ,143,137,147,159
248,e,148,137,155,159
249,x,156,137,165,159
250,i,166,137,170,159
251,s,171,137,177,159
252,t,178,137,183,159
253,e,184,137,191,159
254,n,192,137,201,159
255,c,202,137,209,159
256,e,210,137,217,159
257, ,218,137,222,159
258,a,223,137,231,159
259,t,232,137,237,159
260, ,238,137,242,159
261,t,243,137,248,159
262,h,249,137,258,159
263,e,259,137,266,159
264, ,267,137,271,159
265,e,272,137,279,159
266,n,280,137,289,159
267,d,290,137,299,159
268, ,300,137,304,159
269,o,305,137,314,159
270,f,315,137,323,159
271, ,324,137,328,159
272,t,329,137,334,159
273,h,335,137,344,159
274,e,345,137,352,159
275, ,353,137,357,159
276,l,358,137,362,159
277,a,363,137,371,159
278,s,372,137,378,159
279,t,379,137,384,159
280, ,385,137,389,159
281,i,390,137,394,159
282,c,395,137,402,159
283,e,403,137,410,159
284, ,411,137,415,159
285,a,416,137,424,159
286,g,425,137,434,159
287,e,435,137,442,159
288,.,443,137,447,159
289, ,448,137,452,159
290,A,453,137,466,159
291,s,467,137,473,159
292, ,474,137,478,159
293,t,479,137,484,159
294,h,485,137,494,159
295,e,495,137,502,159
