,Character,Left,Top,Right,Bottom
0,T,112,76,124,106
1,h,125,76,135,106
2,e,136,76,146,106
3, ,147,76,153,106
4,c,154,76,163,106
5,o,164,76,174,106
6,l,175,76,180,106
7,o,181,76,191,106
8,u,192,76,202,106
9,r,203,76,210,106
10,s,211,76,220,106
11, ,221,76,227,106
12,o,228,76,238,106
13,f,239,76,246,106
14, ,247,76,253,106
15,a,254,76,264,106
16,n,265,76,275,106
17, ,276,76,282,106
18,a,283,76,293,106
19,n,294,76,304,106
20,i,305,76,309,106
21,m,310,76,326,106
22,a,327,76,337,106
23,l,338,76,343,106
24, ,344,76,350,106
25,o,351,76,361,106
26,r,362,76,369,106
27, ,370,76,376,106
28,a,377,76,387,106
29, ,388,76,394,106
30,p,395,76,406,106
31,l,407,76,412,106
32,a,413,76,423,106
33,n,424,76,434,106
34,t,435,76,443,106
35, ,444,76,450,106
36,a,451,76,461,106
37,r,462,76,469,106
38,e,470,76,480,106
39, ,481,76,487,106
40,g,488,76,498,106
41,e,499,76,509,106
42,n,510,76,520,106
43,e,521,76,531,106
44,r,532,76,539,106
45,a,540,76,550,106
46,l,551,76,556,106
47,l,557,76,562,106
48,y,563,76,574,106
49, ,575,76,581,106
50,t,582,76,590,106
51,h,591,76,601,106
52,e,602,76,612,106
53,r,613,76,620,106
54,e,621,76,631,106
55, ,632,76,638,106
56,f,639,76,646,106
57,o,647,76,657,106
58,r,658,76,665,106
59, ,666,76,672,106
60,s,673,76,682,106
61,o,683,76,693,106
62,m,694,76,710,106
63,e,711,76,721,106
64, ,722,76,728,106
65,p,729,76,740,106
66,u,741,76,751,106
67,r,752,76,759,106
68,p,760,76,771,106
69,o,772,76,782,106
70,s,783,76,792,106
71,e,793,76,803,106
72,.,804,76,808,106
73, ,809,76,815,106
74,T,816,76,828,106
75,h,829,76,839,106
76,e,840,76,850,106
77,v,112,107,123,137
78,i,124,107,128,137
79,s,129,107,138,137
80,u,139,107,149,137
81,a,150,107,160,137
82,l,161,107,166,137
83, ,167,107,173,137
84,p,174,107,185,137
85,e,186,107,196,137
86,r,197,107,204,137
87,c,205,107,214,137
88,e,215,107,225,137
89,p,226,107,237,137
90,t,238,107,246,137
91,i,247,107,251,137
92,o,252,107,262,137
93,n,263,107,273,137
94, ,274,107,280,137
95,o,281,107,291,137
96,f,292,107,299,137
97, ,300,107,306,137
98,c,307,107,316,137
99,o,317,107,327,137
100,l,328,107,333,137
101,o,334,107,344,137
102,u,345,107,355,137
103,r,356,107,363,137
104,s,364,107,373,137
105, ,374,107,380,137
106,i,381,107,385,137
107,s,386,107,395,137
108, ,396,107,402,137
109,w,403,107,417,137
110,e,418,107,428,137
111,l,429,107,434,137
112,l,435,107,440,137
113, ,441,107,447,137
114,d,448,107,458,137
115,e,459,107,469,137
116,v,470,107,481,137
117,e,482,107,492,137
118,l,493,107,498,137
119,o,499,107,509,137
120,p,510,107,521,137
121,e,522,107,532,137
122,d,533,107,543,137
123, ,544,107,550,137
124,i,551,107,555,137
125,n,556,107,566,137
126, ,567,107,573,137
127,t,574,107,582,137
128,h,583,107,593,137
129,e,594,107,604,137
130, ,605,107,611,137
131,c,612,107,621,137
132,a,622,107,632,137
133,s,633,107,642,137
134,e,643,107,653,137
135, ,654,107,660,137
136,o,661,107,671,137
137,f,672,107,679,137
138, ,680,107,686,137
139,b,687,107,697,137
140,i,698,107,702,137
141,r,703,107,710,137
142,d,711,107,721,137
143,s,722,107,731,137
144,",",732,107,737,137
145, ,738,107,744,137
146,a,745,107,755,137
147,n,756,107,766,137
148,d,767,107,777,137
149, ,778,107,784,137
150,a,785,107,795,137
151,m,796,107,812,137
152,o,813,107,823,137
153,n,824,107,834,137
154,g,835,107,845,137
155, ,846,107,852,137
156,a,853,107,863,137
157, ,864,107,870,137
158,l,871,107,876,137
159,o,877,107,887,137
160,t,888,107,896,137
161,o,112,138,122,168
162,f,123,138,130,168
163, ,131,138,137,168
164,s,138,138,147,168
165,p,148,138,159,168
166,e,160,138,170,168
167,c,171,138,180,168
168,i,181,138,185,168
169,e,186,138,196,168
170,s,197,138,206,168
171, ,207,138,213,168
172,t,214,138,222,168
173,h,223,138,233,168
