,Character,Left,Top,Right,Bottom
0,T,112,76,124,106
1,h,125,76,135,106
2,e,136,76,146,106
3, ,147,76,153,106
4,w,154,76,168,106
5,o,169,76,179,106
6,r,180,76,187,106
7,d,188,76,198,106
8, ,199,76,205,106
9,i,206,76,210,106
10,s,211,76,220,106
11,l,221,76,226,106
12,a,227,76,237,106
13,n,238,76,248,106
14,d,249,76,259,106
15, ,260,76,266,106
16,d,267,76,277,106
17,e,278,76,288,106
18,s,289,76,298,106
19,c,299,76,308,106
20,r,309,76,316,106
21,i,317,76,321,106
22,b,322,76,332,106
23,e,333,76,343,106
24,s,344,76,353,106
25, ,354,76,360,106
26,a,361,76,371,106
27,r,372,76,379,106
28,e,380,76,390,106
29,a,391,76,401,106
30,s,402,76,411,106
31, ,412,76,418,106
32,t,419,76,427,106
33,h,428,76,438,106
34,a,439,76,449,106
35,t,450,76,458,106
36, ,459,76,465,106
37,a,466,76,476,106
38,r,477,76,484,106
39,e,485,76,495,106
40, ,496,76,502,106
41,c,503,76,512,106
42,u,513,76,523,106
43,t,524,76,532,106
44, ,533,76,539,106
45,o,540,76,550,106
46,f,551,76,558,106
47,f,559,76,566,106
48, ,567,76,573,106
49,f,574,76,581,106
50,r,582,76,589,106
51,o,590,76,600,106
52,m,601,76,617,106
53, ,618,76,624,106
54,l,625,76,630,106
55,a,631,76,641,106
56,n,642,76,652,106
57,d,653,76,663,106
58, ,664,76,670,106
59,a,671,76,681,106
60,n,682,76,692,106
61,d,693,76,703,106
62, ,704,76,710,106
63,a,711,76,721,106
64,r,722,76,729,106
65,e,730,76,740,106
66, ,741,76,747,106
67,s,748,76,757,106
68,u,758,76,768,106
69,r,769,76,776,106
70,r,777,76,784,106
71,o,785,76,795,106
72,u,796,76,806,106
73,n,807,76,817,106
74,d,818,76,828,106
75,e,829,76,839,106
76,d,840,76,850,106
77, ,851,76,857,106
78,b,858,76,868,106
79,y,869,76,880,106
80,t,112,107,120,137
81,h,121,107,131,137
82,e,132,107,142,137
83, ,143,107,149,137
84,s,150,107,159,137
85,e,160,107,170,137
86,a,171,107,181,137
87, ,182,107,188,137
88,o,189,107,199,137
89,n,200,107,210,137
90, ,211,107,217,137
91,a,218,107,228,137
92,l,229,107,234,137
93,l,235,107,240,137
94, ,241,107,247,137
95,s,248,107,257,137
96,i,258,107,262,137
97,d,263,107,273,137
98,e,274,107,284,137
99,s,285,107,294,137
100,.,295,107,299,137
101, ,300,107,306,137
102,I,307,107,311,137
103,s,312,107,321,137
104,l,322,107,327,137
105,a,328,107,338,137
106,n,339,107,349,137
107,d,350,107,360,137
108,s,361,107,370,137
109, ,371,107,377,137
110,c,378,107,387,137
111,a,388,107,398,137
112,n,399,107,409,137
113, ,410,107,416,137
114,c,417,107,426,137
115,o,427,107,437,137
116,m,438,107,454,137
117,e,455,107,465,137
118, ,466,107,472,137
119,i,473,107,477,137
120,n,478,107,488,137
121,t,489,107,497,137
122,o,498,107,508,137
123, ,509,107,515,137
124,e,516,107,526,137
125,x,527,107,538,137
126,i,539,107,543,137
127,s,544,107,553,137
128,t,554,107,562,137
129,e,563,107,573,137
130,n,574,107,584,137
131,c,585,107,594,137
132,e,595,107,605,137
133, ,606,107,612,137
134,w,613,107,627,137
135,h,628,107,638,137
136,e,639,107,649,137
137,n,650,107,660,137
138, ,661,107,667,137
139,v,668,107,679,137
140,o,680,107,690,137
141,l,691,107,696,137
142,c,697,107,706,137
143,a,707,107,717,137
144,n,718,107,728,137
145,o,729,107,739,137
146,e,740,107,750,137
147,s,751,107,760,137
148, ,761,107,767,137
149,r,768,107,775,137
150,i,776,107,780,137
151,s,781,107,790,137
152,e,791,107,801,137
153, ,802,107,808,137
154,f,809,107,816,137
155,r,817,107,824,137
156,o,825,107,835,137
157,m,836,107,852,137
158, ,853,107,859,137
159,t,860,107,868,137
160,h,869,107,879,137
161,e,880,107,890,137
162,f,112,138,119,168
163,l,120,138,125,168
164,o,126,138,136,168
165,o,137,138,147,168
166,r,148,138,155,168
167, ,156,138,162,168
168,o,163,138,173,168
169,f,174,138,181,168
170, ,182,138,188,168
171,t,189,138,197,168
172,h,198,138,208,168
173,e,209,138,219,168
