,Character,Left,Top,Right,Bottom
0,A,112,68,125,90
1,n,126,68,135,90
2,i,136,68,140,90
3,m,141,68,155,90
4,a,156,68,164,90
5,l,165,68,169,90
6,s,170,68,176,90
7, ,177,68,181,90
8,a,182,68,190,90
9,n,191,68,200,90
10,d,201,68,210,90
11, ,211,68,215,90
12,p,215,68,225,90
13,l,227,68,231,90
14,a,232,68,240,90
15,n,241,68,250,90
16,t,251,68,256,90
17,s,257,68,263,90
18, ,264,68,268,90
19,t,269,68,274,90
20,h,275,68,284,90
21,a,285,68,293,90
22,t,294,68,299,90
23, ,300,68,304,90
24,l,305,68,309,90
25,i,310,68,314,90
26,v,315,68,324,90
27,e,325,68,332,90
28, ,333,68,337,90
29,i,338,68,342,90
30,n,343,68,352,90
31, ,353,68,357,90
32,a,358,68,366,90
33,r,367,68,373,90
34,e,374,68,381,90
35,a,382,68,390,90
36,s,391,68,397,90
37, ,398,68,402,90
38,w,403,68,416,90
39,i,417,68,421,90
40,t,422,68,427,90
41,h,428,68,437,90
42, ,438,68,442,90
43,a,443,68,451,90
44, ,452,68,456,90
45,c,457,68,464,90
46,o,465,68,474,90
47,l,475,68,479,90
48,d,480,68,489,90
49, ,490,68,494,90
50,o,495,68,504,90
51,r,505,68,511,90
52, ,512,68,516,90
53,t,517,68,522,90
54,e,523,68,530,90
55,m,531,68,545,90
56,p,545,68,555,90
57,e,557,68,564,90
58,r,565,68,571,90
59,a,572,68,580,90
60,t,581,68,586,90
61,e,587,68,594,90
62, ,595,68,599,90
63,c,600,68,607,90
64,l,608,68,612,90
65,i,613,68,617,90
66,m,618,68,632,90
67,a,633,68,641,90
68,t,642,68,647,90
69,e,648,68,655,90
70, ,656,68,660,90
71,h,661,68,670,90
72,a,671,68,679,90
73,v,680,68,689,90
74,e,690,68,697,90
75, ,698,68,702,90
76,t,703,68,708,90
77,o,709,68,718,90
78, ,719,68,723,90
79,f,724,68,732,90
80,i,733,68,737,90
81,n,738,68,747,90
82,d,748,68,757,90
83,w,112,91,125,113
84,a,126,91,134,113
85,y,135,91,144,113
86,s,145,91,151,113
87, ,152,91,156,113
88,a,157,91,165,113
89,n,166,91,175,113
90,d,176,91,185,113
91, ,186,91,190,113
92,m,191,91,205,113
93,e,206,91,213,113
94,a,214,91,222,113
95,n,223,91,232,113
96,s,233,91,239,113
97, ,240,91,244,113
98,t,245,91,250,113
99,o,251,91,260,113
100, ,261,91,265,113
101,s,266,91,272,113
102,u,273,91,282,113
103,r,283,91,289,113
104,v,290,91,299,113
105,i,300,91,304,113
106,v,305,91,314,113
107,e,315,91,322,113
108, ,323,91,327,113
109,t,328,91,333,113
110,h,334,91,343,113
111,e,344,91,351,113
112, ,352,91,356,113
113,w,357,91,370,113
114,i,371,91,375,113
115,n,376,91,385,113
116,t,386,91,391,113
117,e,392,91,399,113
118,r,400,91,406,113
119, ,407,91,411,113
120,m,412,91,426,113
121,o,427,91,436,113
122,n,437,91,446,113
123,t,447,91,452,113
124,h,453,91,462,113
125,s,463,91,469,113
126,.,470,91,474,113
127, ,475,91,479,113
128,M,480,91,496,113
129,a,497,91,505,113
130,n,506,91,515,113
131,y,516,91,525,113
132, ,526,91,530,113
133,p,530,91,540,113
134,l,542,91,546,113
135,a,547,91,555,113
136,n,556,91,565,113
137,t,566,91,571,113
138,s,572,91,578,113
139, ,579,91,583,113
140,h,584,91,593,113
141,i,594,91,598,113
142,b,598,91,608,113
143,e,610,91,617,113
144,r,618,91,624,113
145,n,625,91,634,113
146,a,635,91,643,113
147,t,644,91,649,113
148,e,650,91,657,113
149, ,658,91,662,113
150,i,663,91,667,113
151,n,668,91,677,113
152, ,678,91,682,113
153,t,683,91,688,113
154,h,689,91,698,113
155,e,699,91,706,113
156, ,707,91,711,113
157,f,712,91,720,113
158,o,721,91,730,113
159,r,731,91,737,113
160,m,738,91,752,113
161,o,112,114,121,136
162,f,122,114,130,136
163, ,131,114,135,136
164,s,136,114,142,136
165,e,143,114,150,136
166,e,151,114,158,136
167,d,159,114,168,136
168,s,169,114,175,136
169, ,176,114,180,136
170,w,181,114,194,136
171,h,195,114,204,136
172,i,205,114,209,136
173,c,210,114,217,136
174,h,218,114,227,136
175, ,228,114,232,136
176,w,233,114,246,136
177,i,247,114,251,136
