,Character,Left,Top,Right,Bottom
0,I,112,68,117,90
1,n,118,68,127,90
2, ,128,68,132,90
3,t,133,68,138,90
4,h,139,68,148,90
5,e,149,68,156,90
6, ,157,68,161,90
7,p,161,68,171,90
8,a,173,68,181,90
9,s,182,68,188,90
10,t,189,68,194,90
11,",",195,68,199,90
12, ,200,68,204,90
13,i,205,68,209,90
14,t,210,68,215,90
15, ,216,68,220,90
16,w,221,68,234,90
17,a,235,68,243,90
18,s,244,68,250,90
19, ,251,68,255,90
20,a,256,68,264,90
21,s,265,68,271,90
22,s,272,68,278,90
23,u,279,68,288,90
24,m,289,68,303,90
25,e,304,68,311,90
26,d,312,68,321,90
27, ,322,68,326,90
28,t,327,68,332,90
29,h,333,68,342,90
30,a,343,68,351,90
31,t,352,68,357,90
32, ,358,68,362,90
33,s,363,68,369,90
34,p,369,68,379,90
35,i,381,68,385,90
36,d,386,68,395,90
37,e,396,68,403,90
38,r,404,68,410,90
39,s,411,68,417,90
40, ,418,68,422,90
41,w,423,68,436,90
42,e,437,68,444,90
43,r,445,68,451,90
44,e,452,68,459,90
45, ,460,68,464,90
46,s,465,68,471,90
47,o,472,68,481,90
48,m,482,68,496,90
49,e,497,68,504,90
50,h,505,68,514,90
51,o,515,68,524,90
52,w,525,68,538,90
53, ,539,68,543,90
54,a,544,68,552,90
55,b,552,68,562,90
56,l,564,68,568,90
57,e,569,68,576,90
58, ,577,68,581,90
59,t,582,68,587,90
60,o,588,68,597,90
61, ,598,68,602,90
62,p,602,68,612,90
63,r,614,68,620,90
64,o,621,68,630,90
65,t,631,68,636,90
66,e,637,68,644,90
67,c,645,68,652,90
68,t,653,68,658,90
69,t,112,91,117,113
70,h,118,91,127,113
71,e,128,91,135,113
72,m,136,91,150,113
73,s,151,91,157,113
74,e,158,91,165,113
75,l,166,91,170,113
76,v,171,91,180,113
77,e,181,91,188,113
78,s,189,91,195,113
79, ,196,91,200,113
80,f,201,91,209,113
81,r,210,91,216,113
82,o,217,91,226,113
83,m,227,91,241,113
