,Character,Left,Top,Right,Bottom
0,T,112,68,123,90
1,h,124,68,133,90
2,e,134,68,141,90
3, ,142,68,146,90
4,c,147,68,154,90
5,o,155,68,164,90
6,l,165,68,169,90
7,o,170,68,179,90
8,u,180,68,189,90
9,r,190,68,196,90
10,s,197,68,203,90
11, ,204,68,208,90
12,o,209,68,218,90
13,f,219,68,227,90
14, ,228,68,232,90
15,a,233,68,241,90
16,n,242,68,251,90
17, ,252,68,256,90
18,a,257,68,265,90
19,n,266,68,275,90
20,i,276,68,280,90
21,m,281,68,295,90
22,a,296,68,304,90
23,l,305,68,309,90
24, ,310,68,314,90
25,o,315,68,324,90
26,r,325,68,331,90
27, ,332,68,336,90
28,a,337,68,345,90
29, ,346,68,350,90
30,p,350,68,360,90
31,l,362,68,366,90
32,a,367,68,375,90
33,n,376,68,385,90
34,t,386,68,391,90
35, ,392,68,396,90
36,a,397,68,405,90
37,r,406,68,412,90
38,e,413,68,420,90
39, ,421,68,425,90
40,g,426,68,435,90
41,e,436,68,443,90
42,n,444,68,453,90
43,e,454,68,461,90
44,r,462,68,468,90
45,a,469,68,477,90
46,l,478,68,482,90
47,l,483,68,487,90
48,y,488,68,497,90
49, ,498,68,502,90
50,t,503,68,508,90
51,h,509,68,518,90
52,e,519,68,526,90
53,r,527,68,533,90
54,e,534,68,541,90
55, ,542,68,546,90
56,f,547,68,555,90
57,o,556,68,565,90
58,r,566,68,572,90
59, ,573,68,577,90
60,s,578,68,584,90
61,o,585,68,594,90
62,m,595,68,609,90
63,e,610,68,617,90
64, ,618,68,622,90
65,p,622,68,632,90
66,u,634,68,643,90
67,r,644,68,650,90
68,p,650,68,660,90
69,o,662,68,671,90
70,s,672,68,678,90
71,e,679,68,686,90
72,.,687,68,691,90
73, ,692,68,696,90
74,T,697,68,708,90
75,h,709,68,718,90
76,e,719,68,726,90
77,v,112,91,121,113
78,i,122,91,126,113
79,s,127,91,133,113
80,u,134,91,143,113
81,a,144,91,152,113
82,l,153,91,157,113
83, ,158,91,162,113
84,p,162,91,172,113
85,e,174,91,181,113
86,r,182,91,188,113
87,c,189,91,196,113
88,e,197,91,204,113
89,p,204,91,214,113
90,t,216,91,221,113
91,i,222,91,226,113
92,o,227,91,236,113
93,n,237,91,246,113
94, ,247,91,251,113
95,o,252,91,261,113
96,f,262,91,270,113
97, ,271,91,275,113
98,c,276,91,283,113
99,o,284,91,293,113
100,l,294,91,298,113
101,o,299,91,308,113
102,u,309,91,318,113
103,r,319,91,325,113
104,s,326,91,332,113
105, ,333,91,337,113
106,i,338,91,342,113
107,s,343,91,349,113
108, ,350,91,354,113
109,w,355,91,368,113
110,e,369,91,376,113
111,l,377,91,381,113
112,l,382,91,386,113
113, ,387,91,391,113
114,d,392,91,401,113
115,e,402,91,409,113
116,v,410,91,419,113
117,e,420,91,427,113
118,l,428,91,432,113
119,o,433,91,442,113
120,p,442,91,452,113
121,e,454,91,461,113
122,d,462,91,471,113
123, ,472,91,476,113
124,i,477,91,481,113
125,n,482,91,491,113
126, ,492,91,496,113
127,t,497,91,502,113
128,h,503,91,512,113
129,e,513,91,520,113
130, ,521,91,525,113
131,c,526,91,533,113
132,a,534,91,542,113
133,s,543,91,549,113
134,e,550,91,557,113
135, ,558,91,562,113
136,o,563,91,572,113
137,f,573,91,581,113
138, ,582,91,586,113
139,b,586,91,596,113
140,i,598,91,602,113
141,r,603,91,609,113
142,d,610,91,619,113
143,s,620,91,626,113
144,",",627,91,631,113
145, ,632,91,636,113
146,a,637,91,645,113
147,n,646,91,655,113
148,d,656,91,665,113
149, ,666,91,670,113
150,a,671,91,679,113
151,m,680,91,694,113
152,o,695,91,704,113
153,n,705,91,714,113
154,g,715,91,724,113
155, ,725,91,729,113
156,a,730,91,738,113
157, ,739,91,743,113
158,l,744,91,748,113
159,o,749,91,758,113
160,t,759,91,764,113
161,o,112,114,121,136
162,f,122,114,130,136
163, ,131,114,135,136
164,s,136,114,142,136
165,p,142,114,152,136
166,e,154,114,161,136
167,c,162,114,169,136
168,i,170,114,174,136
169,e,175,114,182,136
170,s,183,114,189,136
171, ,190,114,194,136
172,t,195,114,200,136
173,h,201,114,210,136
174,e,211,114,218,136
175, ,219,114,223,136
176,m,224,114,238,136
177,a,239,114,247,136
178,l,248,114,252,136
179,e,253,114,260,136
180,s,261,114,267,136
181, ,268,114,272,136
182,w,273,114,286,136
183,e,287,114,294,136
184,a,295,114,303,136
185,r,304,114,310,136
186, ,311,114,315,136
187,a,316,114,324,136
188, ,325,114,329,136
189,c,330,114,337,136
190,o,338,114,347,136
191,l,348,114,352,136
192,o,353,114,362,136
193,u,363,114,372,136
194,r,373,114,379,136
195,f,380,114,388,136
196,u,389,114,398,136
197,l,399,114,403,136
198, ,404,114,408,136
199,o,409,114,418,136
200,u,419,114,428,136
201,t,429,114,434,136
202,f,435,114,443,136
203,i,444,114,448,136
204,t,449,114,454,136
205, ,455,114,459,136
206,t,460,114,465,136
207,o,466,114,475,136
208, ,476,114,480,136
209,p,480,114,490,136
210,l,492,114,496,136
211,e,497,114,504,136
212,a,505,114,513,136
213,s,514,114,520,136
214,e,521,114,528,136
215, ,529,114,533,136
216,t,534,114,539,136
217,h,540,114,549,136
218,e,550,114,557,136
219, ,558,114,562,136
220,f,563,114,571,136
221,e,572,114,579,136
222,m,580,114,594,136
223,a,595,114,603,136
224,l,604,114,608,136
225,e,609,114,616,136
226,s,617,114,623,136
227,.,624,114,628,136
228, ,629,114,633,136
229,P,634,114,644,136
230,l,645,114,649,136
231,a,650,114,658,136
232,n,659,114,668,136
233,t,669,114,674,136
234,s,675,114,681,136
235, ,682,114,686,136
236,o,687,114,696,136
237,f,697,114,705,136
238,t,706,114,711,136
239,e,712,114,719,136
240,n,720,114,729,136
241,h,112,137,121,159
242,a,122,137,130,159
243,v,131,137,140,159
244,e,141,137,148,159
245, ,149,137,153,159
246,c,154,137,161,159
247,o,162,137,171,159
248,l,172,137,176,159
249,o,177,137,186,159
250,u,187,137,196,159
251,r,197,137,203,159
252,e,204,137,211,159
253,d,212,137,221,159
254, ,222,137,226,159
255,f,227,137,235,159
256,l,236,137,240,159
257,o,241,137,250,159
258,w,251,137,264,159
259,e,265,137,272,159
260,r,273,137,279,159
261,s,280,137,286,159
262, ,287,137,291,159
263,t,292,137,297,159
264,o,298,137,307,159
265, ,308,137,312,159
266,a,313,137,321,159
267,t,322,137,327,159
268,t,328,137,333,159
269,r,334,137,340,159
270,a,341,137,349,159
271,c,350,137,357,159
272,t,358,137,363,159
273, ,364,137,368,159
274,i,369,137,373,159
275,n,374,137,383,159
276,s,384,137,390,159
277,e,391,137,398,159
278,c,399,137,406,159
279,t,407,137,412,159
280,s,413,137,419,159
281,",",420,137,424,159
282, ,425,137,429,159
283,w,430,137,443,159
284,h,444,137,453,159
285,i,454,137,458,159
286,c,459,137,466,159
287,h,467,137,476,159
288, ,477,137,481,159
289,h,482,137,491,159
290,e,492,137,499,159
291,l,500,137,504,159
292,p,504,137,514,159
293, ,516,137,520,159
294,t,521,137,526,159
295,h,527,137,536,159
