,Character,Left,Top,Right,Bottom
0,I,112,76,116,106
1,n,117,76,127,106
2, ,128,76,134,106
3,a,135,76,145,106
4, ,146,76,152,106
5,s,153,76,162,106
6,m,163,76,179,106
7,a,180,76,190,106
8,l,191,76,196,106
9,l,197,76,202,106
10, ,203,76,209,106
11,t,210,76,218,106
12,o,219,76,229,106
13,w,230,76,244,106
14,n,245,76,255,106
15, ,256,76,262,106
16,a,263,76,273,106
17, ,274,76,280,106
18,g,281,76,291,106
19,r,292,76,299,106
20,e,300,76,310,106
21,e,311,76,321,106
22,n,322,76,332,106
23,g,333,76,343,106
24,r,344,76,351,106
25,o,352,76,362,106
26,c,363,76,372,106
27,e,373,76,383,106
28,r,384,76,391,106
29, ,392,76,398,106
30,h,399,76,409,106
31,a,410,76,420,106
32,d,421,76,431,106
33, ,432,76,438,106
34,o,439,76,449,106
35,p,450,76,461,106
36,e,462,76,472,106
37,n,473,76,483,106
38,e,484,76,494,106
39,d,495,76,505,106
40, ,506,76,512,106
41,a,513,76,523,106
42, ,524,76,530,106
43,s,531,76,540,106
44,h,541,76,551,106
45,o,552,76,562,106
46,p,563,76,574,106
47, ,575,76,581,106
48,t,582,76,590,106
49,h,591,76,601,106
50,a,602,76,612,106
51,t,613,76,621,106
52, ,622,76,628,106
53,w,629,76,643,106
54,a,644,76,654,106
55,s,655,76,664,106
56, ,665,76,671,106
57,l,672,76,677,106
58,o,678,76,688,106
59,c,689,76,698,106
60,a,699,76,709,106
61,t,710,76,718,106
62,e,719,76,729,106
63,d,730,76,740,106
64, ,741,76,747,106
65,a,748,76,758,106
66,b,759,76,769,106
67,o,770,76,780,106
68,v,781,76,792,106
69,e,793,76,803,106
70, ,804,76,810,106
71,a,811,76,821,106
72, ,822,76,828,106
73,d,829,76,839,106
74,e,840,76,850,106
75,e,851,76,861,106
76,p,862,76,873,106
77,c,112,107,121,137
78,e,122,107,132,137
79,l,133,107,138,137
80,l,139,107,144,137
81,a,145,107,155,137
82,r,156,107,163,137
83,.,164,107,168,137
84, ,169,107,175,137
85,E,176,107,186,137
86,v,187,107,198,137
87,e,199,107,209,137
88,r,210,107,217,137
89,y,218,107,229,137
90, ,230,107,236,137
91,n,237,107,247,137
92,i,248,107,252,137
93,g,253,107,263,137
94,h,264,107,274,137
95,t,275,107,283,137
96,",",284,107,289,137
97, ,290,107,296,137
98,m,297,107,313,137
99,i,314,107,318,137
100,c,319,107,328,137
101,e,329,107,339,137
102, ,340,107,346,137
103,c,347,107,356,137
104,a,357,107,367,137
105,m,368,107,384,137
106,e,385,107,395,137
107, ,396,107,402,137
108,i,403,107,407,137
109,n,408,107,418,137
110, ,419,107,425,137
111,d,426,107,436,137
112,r,437,107,444,137
113,o,445,107,455,137
114,v,456,107,467,137
115,e,468,107,478,137
116,s,479,107,488,137
117, ,489,107,495,137
118,o,496,107,506,137
119,u,507,107,517,137
120,t,518,107,526,137
121, ,527,107,533,137
122,o,534,107,544,137
123,f,545,107,552,137
124, ,553,107,559,137
125,t,560,107,568,137
126,h,569,107,579,137
127,i,580,107,584,137
128,s,585,107,594,137
129, ,595,107,601,137
130,c,602,107,611,137
131,e,612,107,622,137
132,l,623,107,628,137
133,l,629,107,634,137
134,a,635,107,645,137
135,r,646,107,653,137
136, ,654,107,660,137
137,i,661,107,665,137
138,n,666,107,676,137
139,t,677,107,685,137
140,o,686,107,696,137
141, ,697,107,703,137
142,t,704,107,712,137
143,h,713,107,723,137
144,e,724,107,734,137
145, ,735,107,741,137
146,s,742,107,751,137
147,h,752,107,762,137
148,o,763,107,773,137
149,p,774,107,785,137
150,.,786,107,790,137
151, ,791,107,797,137
152,T,798,107,810,137
153,h,811,107,821,137
154,e,822,107,832,137
155,y,833,107,844,137
156, ,845,107,851,137
157,a,852,107,862,137
158,t,863,107,871,137
159,e,872,107,882,137
160,a,112,138,122,168
161,p,123,138,134,168
162,p,135,138,146,168
163,l,147,138,152,168
164,e,153,138,163,168
165,s,164,138,173,168
166, ,174,138,180,168
167,a,181,138,191,168
168,n,192,138,202,168
169,d,203,138,213,168
170, ,214,138,220,168
171,p,221,138,232,168
172,e,233,138,243,168
173,a,244,138,254,168
174,r,255,138,262,168
175,s,263,138,272,168
176,",",273,138,278,168
177, ,279,138,285,168
178,g,286,138,296,168
179,r,297,138,304,168
180,a,305,138,315,168
181,p,316,138,327,168
182,e,328,138,338,168
183,s,339,138,348,168
184, ,349,138,355,168
185,a,356,138,366,168
186,n,367,138,377,168
187,d,378,138,388,168
188, ,389,138,395,168
189,n,396,138,406,168
190,u,407,138,417,168
191,t,418,138,426,168
192,s,427,138,436,168
193, ,437,138,443,168
194,a,444,138,454,168
195,n,455,138,465,168
196,d,466,138,476,168
197, ,477,138,483,168
198,d,484,138,494,168
199,i,495,138,499,168
200,d,500,138,510,168
201, ,511,138,517,168
202,n,518,138,528,168
203,o,529,138,539,168
204,t,540,138,548,168
205, ,549,138,555,168
206,s,556,138,565,168
207,p,566,138,577,168
208,a,578,138,588,168
209,r,589,138,596,168
210,e,597,138,607,168
211, ,608,138,614,168
212,t,615,138,623,168
213,h,624,138,634,168
214,e,635,138,645,168
215, ,646,138,652,168
216,v,653,138,664,168
217,e,665,138,675,168
218,g,676,138,686,168
219,e,687,138,697,168
220,t,698,138,706,168
221,a,707,138,717,168
222,b,718,138,728,168
223,l,729,138,734,168
224,e,735,138,745,168
225,s,746,138,755,168
226, ,756,138,762,168
227,a,763,138,773,168
228,n,774,138,784,168
229,d,785,138,795,168
230, ,796,138,802,168
231,p,803,138,814,168
232,o,815,138,825,168
233,t,826,138,834,168
234,a,835,138,845,168
235,t,846,138,854,168
236,o,855,138,865,168
237,e,866,138,876,168
238,s,877,138,886,168
239,e,112,169,122,199
240,i,123,169,127,199
241,t,128,169,136,199
242,h,137,169,147,199
243,e,148,169,158,199
244,r,159,169,166,199
245,.,167,169,171,199
246, ,172,169,178,199
247,N,179,169,190,199
248,o,191,169,201,199
249, ,202,169,208,199
250,g,209,169,219,199
251,o,220,169,230,199
252,o,231,169,241,199
253,d,242,169,252,199
254,s,253,169,262,199
255, ,263,169,269,199
256,t,270,169,278,199
257,h,279,169,289,199
258,a,290,169,300,199
259,t,301,169,309,199
260, ,310,169,316,199
261,w,317,169,331,199
262,e,332,169,342,199
263,r,343,169,350,199
264,e,351,169,361,199
265, ,362,169,368,199
266,i,369,169,373,199
267,n,374,169,384,199
268, ,385,169,391,199
269,t,392,169,400,199
270,h,401,169,411,199
271,e,412,169,422,199
272, ,423,169,429,199
273,s,430,169,439,199
274,h,440,169,450,199
275,o,451,169,461,199
276,p,462,169,473,199
277, ,474,169,480,199
278,w,481,169,495,199
279,e,496,169,506,199
280,r,507,169,514,199
281,e,515,169,525,199
282, ,526,169,532,199
283,s,533,169,542,199
284,a,543,169,553,199
285,f,554,169,561,199
286,e,562,169,572,199
287, ,573,169,579,199
288,f,580,169,587,199
289,r,588,169,595,199
290,o,596,169,606,199
291,m,607,169,623,199
292, ,624,169,630,199
293,t,631,169,639,199
294,h,640,169,650,199
295,e,651,169,661,199
296, ,662,169,668,199
297,s,669,169,678,199
298,m,679,169,695,199
299,a,696,169,706,199
300,l,707,169,712,199
301,l,713,169,718,199
302, ,719,169,725,199
303,i,726,169,730,199
304,n,731,169,741,199
305,t,742,169,750,199
306,r,751,169,758,199
307,u,759,169,769,199
308,s,770,169,779,199
309,i,780,169,784,199
310,v,785,169,796,199
311,e,797,169,807,199
312, ,808,169,814,199
313,r,815,169,822,199
314,o,823,169,833,199
315,d,834,169,844,199
316,e,845,169,855,199
317,n,856,169,866,199
318,t,867,169,875,199
319,s,876,169,885,199
320,b,112,200,122,230
321,e,123,200,133,230
322,t,134,200,142,230
323,w,143,200,157,230
324,e,158,200,168,230
325,e,169,200,179,230
326,n,180,200,190,230
327, ,191,200,197,230
328,m,198,200,214,230
329,i,215,200,219,230
330,d,220,200,230,230
331,n,231,200,241,230
332,i,242,200,246,230
333,g,247,200,257,230
334,h,258,200,268,230
335,t,269,200,277,230
336, ,278,200,284,230
337,a,285,200,295,230
338,n,296,200,306,230
339,d,307,200,317,230
340, ,318,200,324,230
341,s,325,200,334,230
342,u,335,200,345,230
343,n,346,200,356,230
344,r,357,200,364,230
345,i,365,200,369,230
346,s,370,200,379,230
347,e,380,200,390,230
348,.,391,200,395,230
349, ,396,200,402,230
350,A,403,200,416,230
351,s,417,200,426,230
352, ,427,200,433,230
353,l,434,200,439,230
354,o,440,200,450,230
355,n,451,200,461,230
356,g,462,200,472,230
357, ,473,200,479,230
358,a,480,200,490,230
359,s,491,200,500,230
360, ,501,200,507,230
361,t,508,200,516,230
362,h,517,200,527,230
363,e,528,200,538,230
364,r,539,200,546,230
365,e,547,200,557,230
366, ,558,200,564,230
367,w,565,200,579,230
368,a,580,200,590,230
369,s,591,200,600,230
370, ,601,200,607,230
371,n,608,200,618,230
372,o,619,200,629,230
373,i,630,200,634,230
374,s,635,200,644,230
375,e,645,200,655,230
376, ,656,200,662,230
377,i,663,200,667,230
378,n,668,200,678,230
379, ,679,200,685,230
380,t,686,200,694,230
381,h,695,200,705,230
382,e,706,200,716,230
383, ,717,200,723,230
384,s,724,200,733,230
385,t,734,200,742,230
386,r,743,200,750,230
387,e,751,200,761,230
388,e,762,200,772,230
389,t,773,200,781,230
390,s,782,200,791,230
391, ,792,200,798,230
392,a,799,200,809,230
393,t,810,200,818,230
394, ,819,200,825,230
395,n,826,200,836,230
396,i,837,200,841,230
397,g,842,200,852,230
398,h,853,200,863,230
399,t,864,200,872,230
400,a,112,231,122,261
401,n,123,231,133,261
402,d,134,231,144,261
403, ,145,231,151,261
404,c,152,231,161,261
405,a,162,231,172,261
406,r,173,231,180,261
407,s,181,231,190,261
408, ,191,231,197,261
409,w,198,231,212,261
410,e,213,231,223,261
411,r,224,231,231,261
412,e,232,231,242,261
413, ,243,231,249,261
414,d,250,231,260,261
415,r,261,231,268,261
416,i,269,231,273,261
417,v,274,231,285,261
418,i,286,231,290,261
419,n,291,231,301,261
420,g,302,231,312,261
421, ,313,231,319,261
422,b,320,231,330,261
423,y,331,231,342,261
424,",",343,231,348,261
425, ,349,231,355,261
426,t,356,231,364,261
427,h,365,231,375,261
428,e,376,231,386,261
429, ,387,231,393,261
430,m,394,231,410,261
431,i,411,231,415,261
432,c,416,231,425,261
433,e,426,231,436,261
434, ,437,231,443,261
435,s,444,231,453,261
436,t,454,231,462,261
437,i,463,231,467,261
438,l,468,231,473,261
439,l,474,231,479,261
440, ,480,231,486,261
441,s,487,231,496,261
442,t,497,231,505,261
443,a,506,231,516,261
444,y,517,231,528,261
445,e,529,231,539,261
446,d,540,231,550,261
447, ,551,231,557,261
448,q,558,231,570,261
449,u,571,231,581,261
450,i,582,231,586,261
451,e,587,231,597,261
452,t,598,231,606,261
453,l,607,231,612,261
454,y,613,231,624,261
455, ,625,231,631,261
456,i,632,231,636,261
457,n,637,231,647,261
458, ,648,231,654,261
459,t,655,231,663,261
460,h,664,231,674,261
461,e,675,231,685,261
462, ,686,231,692,261
463,c,693,231,702,261
464,e,703,231,713,261
465,l,714,231,719,261
466,l,720,231,725,261
467,a,726,231,736,261
468,r,737,231,744,261
469,.,745,231,749,261
470, ,750,231,756,261
471,B,757,231,768,261
472,u,769,231,779,261
473,t,780,231,788,261
474, ,789,231,795,261
475,a,796,231,806,261
476,s,807,231,816,261
477, ,817,231,823,261
478,s,824,231,833,261
479,o,834,231,844,261
480,o,845,231,855,261
481,n,856,231,866,261
482, ,867,231,873,261
483,a,874,231,884,261
484,s,885,231,894,261
485,t,112,262,120,292
486,h,121,262,131,292
487,e,132,262,142,292
488, ,143,262,149,292
489,o,150,262,160,292
490,l,161,262,166,292
491,d,167,262,177,292
492, ,178,262,184,292
493,c,185,262,194,292
494,l,195,262,200,292
495,o,201,262,211,292
496,c,212,262,221,292
497,k,222,262,232,292
498, ,233,262,239,292
499,o,240,262,250,292
500,n,251,262,261,292
501, ,262,262,268,292
502,t,269,262,277,292
503,h,278,262,288,292
504,e,289,262,299,292
505, ,300,262,306,292
506,t,307,262,315,292
507,o,316,262,326,292
508,w,327,262,341,292
509,n,342,262,352,292
510, ,353,262,359,292
511,h,360,262,370,292
512,a,371,262,381,292
513,l,382,262,387,292
514,l,388,262,393,292
515, ,394,262,400,292
516,h,401,262,411,292
517,a,412,262,422,292
518,d,423,262,433,292
519, ,434,262,440,292
520,s,441,262,450,292
521,t,451,262,459,292
522,r,460,262,467,292
523,u,468,262,478,292
524,c,479,262,488,292
525,k,489,262,499,292
526, ,500,262,506,292
527,m,507,262,523,292
528,i,524,262,528,292
529,d,529,262,539,292
530,n,540,262,550,292
531,i,551,262,555,292
532,g,556,262,566,292
533,h,567,262,577,292
534,t,578,262,586,292
535, ,587,262,593,292
536,a,594,262,604,292
537,n,605,262,615,292
538,d,616,262,626,292
539, ,627,262,633,292
540,i,634,262,638,292
541,t,639,262,647,292
542, ,648,262,654,292
543,b,655,262,665,292
544,e,666,262,676,292
545,c,677,262,686,292
546,a,687,262,697,292
547,m,698,262,714,292
548,e,715,262,725,292
549, ,726,262,732,292
550,q,733,262,745,292
551,u,746,262,756,292
552,i,757,262,761,292
553,e,762,262,772,292
