x: 375, y: 256, width: 3, height: 7
x: 369, y: 256, width: 3, height: 7
x: 280, y: 256, width: 7, height: 8
x: 251, y: 256, width: 3, height: 8
x: 203, y: 256, width: 3, height: 3
x: 683, y: 255, width: 3, height: 3
x: 625, y: 255, width: 3, height: 10
x: 620, y: 255, width: 3, height: 9
x: 609, y: 255, width: 3, height: 3
x: 603, y: 255, width: 3, height: 10
x: 583, y: 255, width: 3, height: 3
x: 568, y: 255, width: 3, height: 3
x: 537, y: 255, width: 6, height: 9
x: 511, y: 255, width: 3, height: 10
x: 492, y: 255, width: 3, height: 3
x: 455, y: 255, width: 3, height: 3
x: 439, y: 255, width: 3, height: 3
x: 430, y: 255, width: 5, height: 9
x: 394, y: 255, width: 3, height: 10
x: 385, y: 255, width: 5, height: 9
x: 300, y: 255, width: 3, height: 10
x: 270, y: 255, width: 3, height: 10
x: 265, y: 255, width: 3, height: 10
x: 240, y: 255, width: 3, height: 10
x: 174, y: 255, width: 5, height: 9
x: 132, y: 255, width: 3, height: 5
x: 124, y: 255, width: 3, height: 4
x: 711, y: 254, width: 5, height: 5
x: 687, y: 254, width: 5, height: 11
x: 674, y: 254, width: 7, height: 11
x: 655, y: 254, width: 6, height: 9
x: 649, y: 254, width: 4, height: 5
x: 639, y: 254, width: 4, height: 6
x: 629, y: 254, width: 4, height: 4
x: 577, y: 254, width: 3, height: 11
x: 556, y: 254, width: 13, height: 15
x: 546, y: 254, width: 8, height: 11
x: 527, y: 254, width: 8, height: 11
x: 516, y: 254, width: 6, height: 5
x: 504, y: 254, width: 3, height: 3
x: 478, y: 254, width: 4, height: 4
x: 444, y: 254, width: 4, height: 3
x: 424, y: 254, width: 5, height: 9
x: 413, y: 254, width: 6, height: 11
x: 406, y: 254, width: 5, height: 4
x: 398, y: 254, width: 3, height: 3
x: 358, y: 254, width: 5, height: 5
x: 346, y: 254, width: 3, height: 4
x: 319, y: 254, width: 4, height: 4
x: 274, y: 254, width: 4, height: 4
x: 258, y: 254, width: 4, height: 5
x: 244, y: 254, width: 3, height: 3
x: 231, y: 254, width: 7, height: 5
x: 224, y: 254, width: 6, height: 4
x: 210, y: 254, width: 8, height: 11
x: 168, y: 254, width: 3, height: 4
x: 151, y: 254, width: 6, height: 10
x: 340, y: 253, width: 3, height: 11
x: 145, y: 253, width: 4, height: 12
x: 698, y: 250, width: 4, height: 15
x: 664, y: 250, width: 4, height: 7
x: 470, y: 250, width: 4, height: 8
x: 450, y: 250, width: 3, height: 15
x: 345, y: 250, width: 4, height: 3
x: 330, y: 250, width: 4, height: 8
x: 311, y: 250, width: 3, height: 15
x: 305, y: 250, width: 3, height: 3
x: 183, y: 250, width: 3, height: 15
x: 620, y: 249, width: 3, height: 3
x: 511, y: 249, width: 3, height: 3
x: 439, y: 249, width: 3, height: 3
x: 293, y: 249, width: 9, height: 16
x: 265, y: 249, width: 3, height: 3
x: 113, y: 249, width: 7, height: 9
x: 384, y: 243, width: 4, height: 3
x: 401, y: 242, width: 5, height: 4
x: 190, y: 242, width: 5, height: 4
x: 662, y: 239, width: 4, height: 3
x: 622, y: 239, width: 4, height: 3
x: 498, y: 239, width: 4, height: 3
x: 453, y: 239, width: 4, height: 3
x: 357, y: 239, width: 4, height: 4
x: 241, y: 239, width: 4, height: 3
x: 184, y: 239, width: 4, height: 3
x: 156, y: 239, width: 4, height: 4
x: 135, y: 239, width: 4, height: 3
x: 699, y: 238, width: 3, height: 3
x: 629, y: 238, width: 3, height: 3
x: 567, y: 238, width: 3, height: 3
x: 545, y: 238, width: 3, height: 3
x: 309, y: 238, width: 3, height: 4
x: 294, y: 238, width: 4, height: 3
x: 263, y: 238, width: 4, height: 4
x: 172, y: 238, width: 3, height: 3
x: 126, y: 238, width: 3, height: 3
x: 121, y: 238, width: 3, height: 3
x: 645, y: 237, width: 4, height: 5
x: 562, y: 237, width: 4, height: 5
x: 522, y: 237, width: 3, height: 5
x: 487, y: 237, width: 6, height: 5
x: 475, y: 237, width: 3, height: 4
x: 435, y: 237, width: 4, height: 4
x: 353, y: 237, width: 3, height: 3
x: 214, y: 237, width: 4, height: 5
x: 516, y: 236, width: 3, height: 6
x: 404, y: 236, width: 4, height: 4
x: 333, y: 236, width: 4, height: 5
x: 193, y: 236, width: 4, height: 4
x: 391, y: 235, width: 4, height: 6
x: 132, y: 235, width: 3, height: 3
x: 668, y: 234, width: 5, height: 8
x: 303, y: 234, width: 5, height: 8
x: 252, y: 234, width: 4, height: 7
x: 577, y: 233, width: 3, height: 8
x: 397, y: 233, width: 3, height: 3
x: 326, y: 233, width: 3, height: 3
x: 320, y: 233, width: 4, height: 8
x: 177, y: 233, width: 3, height: 9
x: 703, y: 232, width: 3, height: 5
x: 649, y: 232, width: 3, height: 5
x: 624, y: 232, width: 3, height: 3
x: 572, y: 232, width: 3, height: 3
x: 539, y: 232, width: 3, height: 3
x: 534, y: 232, width: 3, height: 9
x: 478, y: 232, width: 5, height: 8
x: 473, y: 232, width: 3, height: 3
x: 465, y: 232, width: 6, height: 9
x: 402, y: 232, width: 3, height: 3
x: 376, y: 232, width: 3, height: 10
x: 331, y: 232, width: 3, height: 3
x: 314, y: 232, width: 3, height: 10
x: 289, y: 232, width: 3, height: 10
x: 284, y: 232, width: 3, height: 10
x: 268, y: 232, width: 3, height: 9
x: 263, y: 232, width: 3, height: 3
x: 229, y: 232, width: 3, height: 10
x: 218, y: 232, width: 3, height: 5
x: 191, y: 232, width: 3, height: 3
x: 113, y: 232, width: 6, height: 9
x: 690, y: 231, width: 8, height: 11
x: 684, y: 231, width: 5, height: 11
x: 662, y: 231, width: 5, height: 4
x: 639, y: 231, width: 5, height: 11
x: 605, y: 231, width: 8, height: 11
x: 596, y: 231, width: 7, height: 11
x: 562, y: 231, width: 6, height: 4
x: 550, y: 231, width: 7, height: 10
x: 522, y: 231, width: 11, height: 11
x: 496, y: 231, width: 7, height: 5
x: 487, y: 231, width: 7, height: 5
x: 451, y: 231, width: 8, height: 5
x: 435, y: 231, width: 4, height: 3
x: 411, y: 231, width: 8, height: 11
x: 380, y: 231, width: 4, height: 4
x: 366, y: 231, width: 8, height: 11
x: 340, y: 231, width: 8, height: 11
x: 293, y: 231, width: 4, height: 4
x: 241, y: 231, width: 6, height: 5
x: 233, y: 231, width: 4, height: 4
x: 205, y: 231, width: 8, height: 11
x: 197, y: 231, width: 3, height: 3
x: 184, y: 231, width: 5, height: 4
x: 141, y: 231, width: 8, height: 11
x: 136, y: 231, width: 4, height: 4
x: 126, y: 231, width: 6, height: 4
x: 654, y: 230, width: 4, height: 4
x: 544, y: 230, width: 4, height: 4
x: 516, y: 230, width: 4, height: 5
x: 505, y: 230, width: 4, height: 12
x: 273, y: 230, width: 4, height: 12
x: 166, y: 230, width: 4, height: 12
x: 151, y: 230, width: 3, height: 11
x: 121, y: 230, width: 3, height: 4
x: 708, y: 227, width: 4, height: 15
x: 674, y: 227, width: 3, height: 15
x: 628, y: 227, width: 4, height: 8
x: 614, y: 227, width: 4, height: 15
x: 581, y: 227, width: 9, height: 15
x: 441, y: 227, width: 3, height: 14
x: 420, y: 227, width: 9, height: 15
x: 309, y: 227, width: 3, height: 8
x: 172, y: 227, width: 3, height: 8
x: 539, y: 226, width: 3, height: 3
x: 520, y: 226, width: 3, height: 3
x: 387, y: 226, width: 3, height: 3
x: 284, y: 226, width: 3, height: 3
x: 720, y: 216, width: 4, height: 3
x: 664, y: 216, width: 4, height: 3
x: 648, y: 216, width: 3, height: 3
x: 625, y: 216, width: 4, height: 3
x: 411, y: 216, width: 3, height: 3
x: 389, y: 216, width: 3, height: 3
x: 264, y: 216, width: 4, height: 3
x: 708, y: 215, width: 3, height: 3
x: 687, y: 215, width: 3, height: 3
x: 613, y: 215, width: 3, height: 3
x: 598, y: 215, width: 3, height: 3
x: 535, y: 215, width: 3, height: 3
x: 469, y: 215, width: 4, height: 4
x: 454, y: 215, width: 3, height: 3
x: 365, y: 215, width: 3, height: 3
x: 355, y: 215, width: 3, height: 4
x: 335, y: 215, width: 3, height: 3
x: 330, y: 215, width: 3, height: 3
x: 320, y: 215, width: 4, height: 4
x: 276, y: 215, width: 3, height: 3
x: 252, y: 215, width: 3, height: 3
x: 231, y: 215, width: 3, height: 4
x: 163, y: 215, width: 4, height: 4
x: 158, y: 215, width: 3, height: 3
x: 153, y: 215, width: 3, height: 3
x: 124, y: 215, width: 3, height: 3
x: 520, y: 214, width: 4, height: 5
x: 491, y: 214, width: 3, height: 4
x: 480, y: 214, width: 3, height: 4
x: 393, y: 214, width: 3, height: 3
x: 293, y: 214, width: 3, height: 4
x: 298, y: 213, width: 4, height: 5
x: 281, y: 213, width: 3, height: 4
x: 717, y: 212, width: 3, height: 3
x: 580, y: 212, width: 6, height: 7
x: 261, y: 212, width: 3, height: 3
x: 636, y: 211, width: 3, height: 6
x: 539, y: 211, width: 3, height: 5
x: 464, y: 211, width: 3, height: 5
x: 429, y: 211, width: 8, height: 8
x: 374, y: 211, width: 3, height: 6
x: 287, y: 211, width: 3, height: 5
x: 227, y: 211, width: 3, height: 4
x: 206, y: 211, width: 9, height: 8
x: 193, y: 211, width: 10, height: 8
x: 187, y: 211, width: 3, height: 5
x: 148, y: 211, width: 3, height: 5
x: 713, y: 210, width: 3, height: 9
x: 490, y: 210, width: 3, height: 3
x: 389, y: 210, width: 3, height: 3
x: 361, y: 210, width: 3, height: 8
x: 326, y: 210, width: 3, height: 8
x: 257, y: 210, width: 3, height: 9
x: 220, y: 210, width: 4, height: 7
x: 141, y: 210, width: 4, height: 7
x: 687, y: 209, width: 3, height: 3
x: 682, y: 209, width: 3, height: 10
x: 657, y: 209, width: 3, height: 9
x: 652, y: 209, width: 3, height: 9
x: 613, y: 209, width: 3, height: 3
x: 607, y: 209, width: 3, height: 3
x: 602, y: 209, width: 3, height: 5
x: 555, y: 209, width: 3, height: 10
x: 495, y: 209, width: 3, height: 4
x: 485, y: 209, width: 3, height: 9
x: 459, y: 209, width: 3, height: 3
x: 449, y: 209, width: 3, height: 10
x: 443, y: 209, width: 3, height: 10
x: 415, y: 209, width: 3, height: 3
x: 306, y: 209, width: 3, height: 3
x: 231, y: 209, width: 3, height: 3
x: 720, y: 208, width: 6, height: 5
x: 691, y: 208, width: 5, height: 11
x: 665, y: 208, width: 4, height: 4
x: 641, y: 208, width: 4, height: 15
x: 625, y: 208, width: 6, height: 5
x: 617, y: 208, width: 4, height: 11
x: 589, y: 208, width: 8, height: 11
x: 583, y: 208, width: 5, height: 4
x: 520, y: 208, width: 7, height: 5
x: 453, y: 208, width: 3, height: 3
