Character,Left,Top,Right,Bottom
T,112,69,124,81
r,124,72,131,81
e,131,72,139,81
e,139,72,147,81
s,147,72,154,81
 ,154,81,159,81
g,159,72,169,85
r,169,72,176,81
o,176,72,186,81
w,186,72,200,81
 ,200,81,205,81
a,205,72,214,81
l,214,68,219,81
m,219,72,234,81
o,234,72,244,81
s,244,72,251,81
t,251,69,257,81
 ,257,81,262,81
e,262,72,270,81
v,270,72,280,81
e,280,72,288,81
r,288,72,295,81
y,295,72,305,85
w,305,72,319,81
h,319,68,329,81
e,329,72,337,81
r,337,72,344,81
e,344,72,352,81
 ,352,81,357,81
e,357,72,365,81
x,365,72,375,81
c,375,72,383,81
e,383,72,391,81
p,390,72,401,85
t,402,69,408,81
 ,408,81,413,81
i,413,68,418,81
n,418,72,428,81
 ,428,81,433,81
p,432,72,443,85
e,444,72,452,81
r,452,72,459,81
m,459,72,474,81
a,474,72,483,81
n,483,72,493,81
e,493,72,501,81
n,501,72,511,81
t,511,69,517,81
 ,517,81,522,81
i,522,68,527,81
c,527,72,535,81
e,535,72,543,81
 ,543,81,548,81
a,548,72,557,81
n,557,72,567,81
d,567,68,577,81
 ,577,81,582,81
s,582,72,589,81
n,589,72,599,81
o,599,72,609,81
w,609,72,623,81
",",623,79,628,84
 ,628,81,633,81
o,633,72,643,81
n,643,72,653,81
 ,653,81,658,81
t,658,69,664,81
h,664,68,674,81
e,674,72,682,81
 ,682,81,687,81
t,687,69,693,81
o,693,72,703,81
p,702,72,713,85
s,714,72,721,81
 ,721,81,726,81
o,726,72,736,81
f,736,68,745,81
h,112,91,122,104
i,122,91,127,104
g,127,95,137,108
h,137,91,147,104
 ,147,104,152,104
m,152,95,167,104
o,167,95,177,104
u,177,95,187,104
n,187,95,197,104
t,197,92,203,104
a,203,95,212,104
i,212,91,217,104
n,217,95,227,104
s,227,95,234,104
 ,234,104,239,104
a,239,95,248,104
n,248,95,258,104
d,258,91,268,104
 ,268,104,273,104
i,273,91,278,104
n,278,95,288,104
 ,288,104,293,104
d,293,91,303,104
e,303,95,311,104
s,311,95,318,104
e,318,95,326,104
r,326,95,333,104
t,333,92,339,104
s,339,95,346,104
.,346,101,351,104
 ,351,104,356,104
I,356,92,362,104
f,362,91,371,104
 ,371,104,376,104
a,376,95,385,104
n,385,95,395,104
 ,395,104,400,104
e,400,95,408,104
m,408,95,423,104
p,422,95,433,108
t,434,92,440,104
y,440,95,450,108
 ,450,104,455,104
p,454,95,465,108
i,466,91,471,104
e,471,95,479,104
c,479,95,487,104
e,487,95,495,104
 ,495,104,500,104
o,500,95,510,104
f,510,91,519,104
 ,519,104,524,104
l,524,91,529,104
a,529,95,538,104
n,538,95,548,104
d,548,91,558,104
 ,558,104,563,104
i,563,91,568,104
s,568,95,575,104
 ,575,104,580,104
l,580,91,585,104
e,585,95,593,104
f,593,91,602,104
t,602,92,608,104
 ,608,104,613,104
t,613,92,619,104
o,619,95,629,104
 ,629,104,634,104
i,634,91,639,104
t,639,92,645,104
s,645,95,652,104
e,652,95,660,104
l,660,91,665,104
f,665,91,674,104
 ,674,104,679,104
f,679,91,688,104
o,688,95,698,104
r,698,95,705,104
 ,705,104,710,104
l,710,91,715,104
o,715,95,725,104
n,725,95,735,104
g,735,95,745,108
e,112,118,120,127
n,120,118,130,127
o,130,118,140,127
u,140,118,150,127
g,150,118,160,131
h,160,114,170,127
",",170,125,175,130
 ,175,127,180,127
a,180,118,189,127
f,189,114,198,127
t,198,115,204,127
e,204,118,212,127
r,212,118,219,127
 ,219,127,224,127
s,224,118,231,127
o,231,118,241,127
m,241,118,256,127
e,256,118,264,127
 ,264,127,269,127
t,269,115,275,127
i,275,114,280,127
m,280,118,295,127
e,295,118,303,127
 ,303,127,308,127
t,308,115,314,127
r,314,118,321,127
e,321,118,329,127
e,329,118,337,127
s,337,118,344,127
 ,344,127,349,127
w,349,118,363,127
i,363,114,368,127
l,368,114,373,127
l,373,114,378,127
 ,378,127,383,127
s,383,118,390,127
t,390,115,396,127
a,396,118,405,127
r,405,118,412,127
t,412,115,418,127
 ,418,127,423,127
t,423,115,429,127
o,429,118,439,127
 ,439,127,444,127
g,444,118,454,131
r,454,118,461,127
o,461,118,471,127
w,471,118,485,127
.,485,124,490,127
 ,490,127,495,127
A,495,115,509,127
t,509,115,515,127
 ,515,127,520,127
f,520,114,529,127
i,529,114,534,127
r,534,118,541,127
s,541,118,548,127
t,548,115,554,127
",",554,125,559,130
 ,559,127,564,127
t,564,115,570,127
h,570,114,580,127
e,580,118,588,127
 ,588,127,593,127
g,593,118,603,131
r,603,118,610,127
o,610,118,620,127
u,620,118,630,127
n,630,118,640,127
d,640,114,650,127
 ,650,127,655,127
i,655,114,660,127
s,660,118,667,127
 ,667,127,672,127
c,672,118,680,127
o,680,118,690,127
v,690,118,700,127
e,700,118,708,127
r,708,118,715,127
e,715,118,723,127
d,723,114,733,127
w,112,141,126,150
i,126,137,131,150
t,131,138,137,150
h,137,137,147,150
 ,147,150,152,150
l,152,137,157,150
o,157,141,167,150
w,167,141,181,150
 ,181,150,186,150
p,185,141,196,154
l,197,137,202,150
a,202,141,211,150
n,211,141,221,150
t,221,138,227,150
s,227,141,234,150
.,234,147,239,150
 ,239,150,244,150
L,244,138,256,150
a,256,141,265,150
t,265,138,271,150
e,271,141,279,150
r,279,141,286,150
",",286,148,291,153
 ,291,150,296,150
b,295,137,306,150
u,307,141,317,150
s,317,141,324,150
h,324,137,334,150
e,334,141,342,150
s,342,141,349,150
 ,349,150,354,150
g,354,141,364,154
r,364,141,371,150
o,371,141,381,150
w,381,141,395,150
 ,395,150,400,150
a,400,141,409,150
n,409,141,419,150
d,419,137,429,150
 ,429,150,434,150
i,434,137,439,150
n,439,141,449,150
 ,449,150,454,150
t,454,138,460,150
h,460,137,470,150
e,470,141,478,150
i,478,137,483,150
r,483,141,490,150
 ,490,150,495,150
s,495,141,502,150
h,502,137,512,150
a,512,141,521,150
d,521,137,531,150
e,531,141,539,150
",",539,148,544,153
 ,544,150,549,150
s,549,141,556,150
o,556,141,566,150
m,566,141,581,150
e,581,141,589,150
 ,589,150,594,150
o,594,141,604,150
f,604,137,613,150
 ,613,150,618,150
t,618,138,624,150
h,624,137,634,150
e,634,141,642,150
 ,642,150,647,150
l,647,137,652,150
o,652,141,662,150
w,662,141,676,150
e,676,141,684,150
r,684,141,691,150
 ,691,150,696,150
p,695,141,706,154
l,707,137,712,150
a,712,141,721,150
n,721,141,731,150
t,731,138,737,150
s,737,141,744,150
t,112,161,118,173
h,118,160,128,173
a,128,164,137,173
t,137,161,143,173
 ,143,173,148,173
h,148,160,158,173
a,158,164,167,173
d,167,160,177,173
 ,177,173,182,173
e,182,164,190,173
s,190,164,197,173
t,197,161,203,173
a,203,164,212,173
b,211,160,222,173
l,223,160,228,173
i,228,160,233,173
s,233,164,240,173
h,240,160,250,173
e,250,164,258,173
d,258,160,268,173
 ,268,173,273,173
t,273,161,279,173
h,279,160,289,173
e,289,164,297,173
m,297,164,312,173
s,312,164,319,173
e,319,164,327,173
l,327,160,332,173
v,332,164,342,173
e,342,164,350,173
s,350,164,357,173
 ,357,173,362,173
f,362,160,371,173
i,371,160,376,173
r,376,164,383,173
s,383,164,390,173
t,390,161,396,173
",",396,171,401,176
 ,401,173,406,173
t,406,161,412,173
h,412,160,422,173
e,422,164,430,173
n,430,164,440,173
 ,440,173,445,173
d,445,160,455,173
i,455,160,460,173
e,460,164,468,173
.,468,170,473,173
 ,473,173,478,173
W,478,161,496,173
h,496,160,506,173
e,506,164,514,173
n,514,164,524,173
 ,524,173,529,173
s,529,164,536,173
t,536,161,542,173
i,542,160,547,173
l,547,160,552,173
l,552,160,557,173
 ,557,173,562,173
m,562,164,577,173
o,577,164,587,173
r,587,164,594,173
e,594,164,602,173
 ,602,173,607,173
t,607,161,613,173
i,613,160,618,173
m,618,164,633,173
e,633,164,641,173
 ,641,173,646,173
h,646,160,656,173
a,656,164,665,173
s,665,164,672,173
 ,672,173,677,173
p,676,164,687,177
a,688,164,697,173
s,697,164,704,173
s,704,164,711,173
e,711,164,719,173
d,719,160,729,173
",",729,171,734,176
t,112,184,118,196
r,118,187,125,196
e,125,187,133,196
e,133,187,141,196
s,141,187,148,196
 ,148,196,153,196
s,153,187,160,196
t,160,184,166,196
a,166,187,175,196
r,175,187,182,196
t,182,184,188,196
 ,188,196,193,196
t,193,184,199,196
o,199,187,209,196
 ,209,196,214,196
g,214,187,224,200
r,224,187,231,196
o,231,187,241,196
w,241,187,255,196
.,255,193,260,196
 ,260,196,265,196
A,265,184,279,196
s,279,187,286,196
 ,286,196,291,196
t,291,184,297,196
h,297,183,307,196
e,307,187,315,196
y,315,187,325,200
 ,325,196,330,196
g,330,187,340,200
r,340,187,347,196
o,347,187,357,196
w,357,187,371,196
 ,371,196,376,196
b,375,183,386,196
i,387,183,392,196
g,392,187,402,200
g,402,187,412,200
e,412,187,420,196
r,420,187,427,196
",",427,194,432,199
 ,432,196,437,196
s,437,187,444,196
o,444,187,454,196
m,454,187,469,196
e,469,187,477,196
 ,477,196,482,196
o,482,187,492,196
f,492,183,501,196
 ,501,196,506,196
t,506,184,512,196
h,512,183,522,196
e,522,187,530,196
 ,530,196,535,196
b,534,183,545,196
u,546,187,556,196
s,556,187,563,196
h,563,183,573,196
e,573,187,581,196
s,581,187,588,196
 ,588,196,593,196
a,593,187,602,196
r,602,187,609,196
e,609,187,617,196
 ,617,196,622,196
c,622,187,630,196
a,630,187,639,196
u,639,187,649,196
g,649,187,659,200
h,659,183,669,196
t,669,184,675,196
 ,675,196,680,196
