Character,Left,Top,Right,Bottom
I,112,69,118,81
n,118,72,128,81
 ,128,81,133,81
a,133,72,142,81
 ,142,81,147,81
s,147,72,154,81
m,154,72,169,81
a,169,72,178,81
l,178,68,183,81
l,183,68,188,81
 ,188,81,193,81
t,193,69,199,81
o,199,72,209,81
w,209,72,223,81
n,223,72,233,81
 ,233,81,238,81
a,238,72,247,81
 ,247,81,252,81
g,252,72,262,85
r,262,72,269,81
e,269,72,277,81
e,277,72,285,81
n,285,72,295,81
g,295,72,305,85
r,305,72,312,81
o,312,72,322,81
c,322,72,330,81
e,330,72,338,81
r,338,72,345,81
 ,345,81,350,81
h,350,68,360,81
a,360,72,369,81
d,369,68,379,81
 ,379,81,384,81
o,384,72,394,81
p,393,72,404,85
e,405,72,413,81
n,413,72,423,81
e,423,72,431,81
d,431,68,441,81
 ,441,81,446,81
a,446,72,455,81
 ,455,81,460,81
s,460,72,467,81
h,467,68,477,81
o,477,72,487,81
p,486,72,497,85
 ,498,81,503,81
t,503,69,509,81
h,509,68,519,81
a,519,72,528,81
t,528,69,534,81
 ,534,81,539,81
w,539,72,553,81
a,553,72,562,81
s,562,72,569,81
 ,569,81,574,81
l,574,68,579,81
o,579,72,589,81
c,589,72,597,81
a,597,72,606,81
t,606,69,612,81
e,612,72,620,81
d,620,68,630,81
 ,630,81,635,81
a,635,72,644,81
b,643,68,654,81
o,655,72,665,81
v,665,72,675,81
e,675,72,683,81
 ,683,81,688,81
a,688,72,697,81
 ,697,81,702,81
d,702,68,712,81
e,712,72,720,81
e,720,72,728,81
p,727,72,738,85
c,112,95,120,104
e,120,95,128,104
l,128,91,133,104
l,133,91,138,104
a,138,95,147,104
r,147,95,154,104
.,154,101,159,104
 ,159,104,164,104
E,164,92,176,104
v,176,95,186,104
e,186,95,194,104
r,194,95,201,104
y,201,95,211,108
 ,211,104,216,104
n,216,95,226,104
i,226,91,231,104
g,231,95,241,108
h,241,91,251,104
t,251,92,257,104
",",257,102,262,107
 ,262,104,267,104
m,267,95,282,104
i,282,91,287,104
c,287,95,295,104
e,295,95,303,104
 ,303,104,308,104
c,308,95,316,104
a,316,95,325,104
m,325,95,340,104
e,340,95,348,104
 ,348,104,353,104
i,353,91,358,104
n,358,95,368,104
 ,368,104,373,104
d,373,91,383,104
r,383,95,390,104
o,390,95,400,104
v,400,95,410,104
e,410,95,418,104
s,418,95,425,104
 ,425,104,430,104
o,430,95,440,104
u,440,95,450,104
t,450,92,456,104
 ,456,104,461,104
o,461,95,471,104
f,471,91,480,104
 ,480,104,485,104
t,485,92,491,104
h,491,91,501,104
i,501,91,506,104
s,506,95,513,104
 ,513,104,518,104
c,518,95,526,104
e,526,95,534,104
l,534,91,539,104
l,539,91,544,104
a,544,95,553,104
r,553,95,560,104
 ,560,104,565,104
i,565,91,570,104
n,570,95,580,104
t,580,92,586,104
o,586,95,596,104
 ,596,104,601,104
t,601,92,607,104
h,607,91,617,104
e,617,95,625,104
 ,625,104,630,104
s,630,95,637,104
h,637,91,647,104
o,647,95,657,104
p,656,95,667,108
.,668,101,673,104
 ,673,104,678,104
T,678,92,690,104
h,690,91,700,104
e,700,95,708,104
y,708,95,718,108
 ,718,104,723,104
a,723,95,732,104
t,732,92,738,104
e,738,95,746,104
a,112,118,121,127
p,120,118,131,131
p,131,118,142,131
l,143,114,148,127
e,148,118,156,127
s,156,118,163,127
 ,163,127,168,127
a,168,118,177,127
n,177,118,187,127
d,187,114,197,127
 ,197,127,202,127
p,201,118,212,131
e,213,118,221,127
a,221,118,230,127
r,230,118,237,127
s,237,118,244,127
",",244,125,249,130
 ,249,127,254,127
g,254,118,264,131
r,264,118,271,127
a,271,118,280,127
p,279,118,290,131
e,291,118,299,127
s,299,118,306,127
 ,306,127,311,127
a,311,118,320,127
n,320,118,330,127
d,330,114,340,127
 ,340,127,345,127
n,345,118,355,127
u,355,118,365,127
t,365,115,371,127
s,371,118,378,127
 ,378,127,383,127
a,383,118,392,127
n,392,118,402,127
d,402,114,412,127
 ,412,127,417,127
d,417,114,427,127
i,427,114,432,127
d,432,114,442,127
 ,442,127,447,127
n,447,118,457,127
o,457,118,467,127
t,467,115,473,127
 ,473,127,478,127
