Character,Left,Top,Right,Bottom
I,112,72,117,85
n,117,75,128,85
 ,128,85,135,85
a,135,75,146,86
 ,146,85,153,85
s,153,74,163,85
m,163,75,180,85
a,180,75,191,86
l,191,72,197,85
l,197,72,203,85
 ,203,85,210,85
t,210,73,219,85
o,219,74,230,85
w,230,75,245,85
n,245,75,256,85
 ,256,85,263,85
a,263,75,274,86
 ,274,85,281,85
g,281,75,292,90
r,292,75,300,85
e,300,75,311,86
e,311,75,322,86
n,322,75,333,85
g,333,75,344,90
r,344,75,352,85
o,352,74,363,85
c,363,74,373,85
e,373,75,384,86
r,384,75,392,85
 ,392,85,399,85
h,399,71,410,85
a,410,75,421,86
d,421,71,432,85
 ,432,85,439,85
o,439,74,450,85
p,450,75,462,89
e,462,75,473,86
n,473,75,484,85
e,484,75,495,86
d,495,71,506,85
 ,506,85,513,85
a,513,75,524,86
 ,524,85,531,85
s,531,74,541,85
h,541,71,552,85
o,552,74,563,85
p,563,75,575,89
 ,575,85,582,85
t,582,73,591,85
h,591,71,602,85
a,602,75,613,86
t,613,73,622,85
 ,622,85,629,85
w,629,75,644,85
a,644,75,655,86
s,655,74,665,85
 ,665,85,672,85
l,672,72,678,85
o,678,74,689,85
c,689,74,699,85
a,699,75,710,86
t,710,73,719,85
e,719,75,730,86
d,730,71,741,85
 ,741,85,748,85
a,748,75,759,86
b,759,71,770,86
o,770,74,781,85
v,781,75,793,85
e,793,75,804,86
 ,804,85,811,85
a,811,75,822,86
 ,822,85,829,85
d,829,71,840,85
e,840,75,851,86
e,851,75,862,86
p,862,75,874,89
c,112,105,122,116
e,122,106,133,117
l,133,103,139,116
l,139,103,145,116
a,145,106,156,117
r,156,106,164,116
.,164,113,169,116
 ,169,116,176,116
E,176,103,187,117
v,187,106,199,116
e,199,106,210,117
r,210,106,218,116
y,218,106,230,120
 ,230,116,237,116
n,237,106,248,116
i,248,103,253,117
g,253,106,264,121
h,264,102,275,116
t,275,104,284,116
",",284,114,290,119
 ,290,116,297,116
m,297,106,314,116
i,314,103,319,117
c,319,105,329,116
e,329,106,340,117
 ,340,116,347,116
c,347,105,357,116
a,357,106,368,117
m,368,106,385,116
e,385,106,396,117
 ,396,116,403,116
i,403,103,408,117
n,408,106,419,116
 ,419,116,426,116
d,426,102,437,116
r,437,106,445,116
o,445,105,456,116
v,456,106,468,116
e,468,106,479,117
s,479,105,489,116
 ,489,116,496,116
o,496,105,507,116
u,507,106,518,116
t,518,104,527,116
 ,527,116,534,116
o,534,105,545,116
f,545,102,553,116
 ,553,116,560,116
t,560,104,569,116
h,569,102,580,116
i,580,103,585,117
s,585,105,595,116
 ,595,116,602,116
c,602,105,612,116
e,612,106,623,117
l,623,103,629,116
l,629,103,635,116
a,635,106,646,117
r,646,106,654,116
 ,654,116,661,116
i,661,103,666,117
n,666,106,677,116
t,677,104,686,116
o,686,105,697,116
 ,697,116,704,116
t,704,104,713,116
h,713,102,724,116
e,724,106,735,117
 ,735,116,742,116
s,742,105,752,116
h,752,102,763,116
o,763,105,774,116
p,774,106,786,120
.,786,113,791,116
 ,791,116,798,116
T,798,103,811,116
h,811,102,822,116
e,822,106,833,117
y,833,106,845,120
 ,845,116,852,116
a,852,106,863,117
t,863,104,872,116
e,872,106,883,117
a,112,137,123,148
p,123,137,135,151
p,135,137,147,151
l,147,134,153,147
e,153,137,164,148
s,164,136,174,147
 ,174,147,181,147
a,181,137,192,148
n,192,137,203,147
d,203,133,214,147
 ,214,147,221,147
p,221,137,233,151
e,233,137,244,148
a,244,137,255,148
r,255,137,263,147
s,263,136,273,147
",",273,145,279,150
 ,279,147,286,147
g,286,137,297,152
r,297,137,305,147
a,305,137,316,148
p,316,137,328,151
e,328,137,339,148
s,339,136,349,147
 ,349,147,356,147
a,356,137,367,148
n,367,137,378,147
d,378,133,389,147
 ,389,147,396,147
n,396,137,407,147
u,407,137,418,147
t,418,135,427,147
s,427,136,437,147
 ,437,147,444,147
a,444,137,455,148
n,455,137,466,147
d,466,133,477,147
 ,477,147,484,147
d,484,133,495,147
i,495,134,500,148
d,500,133,511,147
 ,511,147,518,147
n,518,137,529,147
o,529,136,540,147
t,540,135,549,147
 ,549,147,556,147
s,556,136,566,147
p,566,137,578,151
a,578,137,589,148
r,589,137,597,147
e,597,137,608,148
 ,608,147,615,147
t,615,135,624,147
h,624,133,635,147
e,635,137,646,148
 ,646,147,653,147
v,653,137,665,147
e,665,137,676,148
g,676,137,687,152
e,687,137,698,148
t,698,135,707,147
a,707,137,718,148
b,718,133,729,148
l,729,134,735,147
e,735,137,746,148
s,746,136,756,147
 ,756,147,763,147
a,763,137,774,148
n,774,137,785,147
d,785,133,796,147
 ,796,147,803,147
p,803,137,815,151
o,815,136,826,147
t,826,135,835,147
a,835,137,846,148
t,846,135,855,147
o,855,136,866,147
e,866,137,877,148
s,877,136,887,147
e,112,168,123,179
i,123,165,128,179
t,128,166,137,178
h,137,164,148,178
e,148,168,159,179
r,159,168,167,178
.,167,175,172,178
 ,172,178,179,178
N,179,165,191,178
o,191,167,202,178
 ,202,178,209,178
g,209,168,220,183
o,220,167,231,178
o,231,167,242,178
d,242,164,253,178
s,253,167,263,178
 ,263,178,270,178
t,270,166,279,178
h,279,164,290,178
a,290,168,301,179
t,301,166,310,178
 ,310,178,317,178
w,317,168,332,178
e,332,168,343,179
r,343,168,351,178
e,351,168,362,179
 ,362,178,369,178
i,369,165,374,179
n,374,168,385,178
 ,385,178,392,178
t,392,166,401,178
h,401,164,412,178
e,412,168,423,179
 ,423,178,430,178
s,430,167,440,178
h,440,164,451,178
o,451,167,462,178
p,462,168,474,182
 ,474,178,481,178
w,481,168,496,178
e,496,168,507,179
r,507,168,515,178
e,515,168,526,179
 ,526,178,533,178
s,533,167,543,178
a,543,168,554,179
f,554,164,562,178
e,562,168,573,179
 ,573,178,580,178
f,580,164,588,178
r,588,168,596,178
o,596,167,607,178
m,607,168,624,178
 ,624,178,631,178
t,631,166,640,178
h,640,164,651,178
e,651,168,662,179
 ,662,178,669,178
s,669,167,679,178
m,679,168,696,178
a,696,168,707,179
l,707,165,713,178
l,713,165,719,178
 ,719,178,726,178
i,726,165,731,179
n,731,168,742,178
t,742,166,751,178
r,751,168,759,178
u,759,168,770,178
s,770,167,780,178
i,780,165,785,179
v,785,168,797,178
e,797,168,808,179
 ,808,178,815,178
r,815,168,823,178
o,823,167,834,178
d,834,164,845,178
e,845,168,856,179
n,856,168,867,178
t,867,166,876,178
s,876,167,886,178
b,112,195,123,210
e,123,199,134,210
t,134,197,143,209
w,143,199,158,209
e,158,199,169,210
e,169,199,180,210
n,180,199,191,209
 ,191,209,198,209
m,198,199,215,209
i,215,196,220,210
d,220,195,231,209
n,231,199,242,209
i,242,196,247,210
g,247,199,258,214
h,258,195,269,209
t,269,197,278,209
 ,278,209,285,209
a,285,199,296,210
n,296,199,307,209
d,307,195,318,209
 ,318,209,325,209
s,325,198,335,209
u,335,199,346,209
n,346,199,357,209
r,357,199,365,209
i,365,196,370,210
s,370,198,380,209
e,380,199,391,210
.,391,206,396,209
 ,396,209,403,209
A,403,196,417,209
s,417,198,427,209
 ,427,209,434,209
l,434,196,440,209
o,440,198,451,209
n,451,199,462,209
g,462,199,473,214
 ,473,209,480,209
a,480,199,491,210
s,491,198,501,209
 ,501,209,508,209
t,508,197,517,209
h,517,195,528,209
e,528,199,539,210
r,539,199,547,209
e,547,199,558,210
 ,558,209,565,209
w,565,199,580,209
a,580,199,591,210
s,591,198,601,209
 ,601,209,608,209
n,608,199,619,209
o,619,198,630,209
i,630,196,635,210
s,635,198,645,209
e,645,199,656,210
 ,656,209,663,209
i,663,196,668,210
n,668,199,679,209
