Character,Left,Top,Right,Bottom
O,112,71,126,85
n,126,75,137,85
e,137,75,148,86
 ,148,85,155,85
o,155,74,166,85
f,166,71,174,85
 ,174,85,181,85
t,181,73,190,85
h,190,71,201,85
e,201,75,212,86
 ,212,85,219,85
m,219,75,236,85
a,236,75,247,86
n,247,75,258,85
y,258,75,270,89
 ,270,85,277,85
t,277,73,286,85
h,286,71,297,85
i,297,72,302,86
n,302,75,313,85
g,313,75,324,90
s,324,74,334,85
 ,334,85,341,85
t,341,73,350,85
h,350,71,361,85
a,361,75,372,86
t,372,73,381,85
 ,381,85,388,85
t,388,73,397,85
h,397,71,408,85
r,408,75,416,85
e,416,75,427,86
a,427,75,438,86
t,438,73,447,85
e,447,75,458,86
n,458,75,469,85
 ,469,85,476,85
a,476,75,487,86
n,487,75,498,85
i,498,72,503,86
m,503,75,520,85
a,520,75,531,86
l,531,72,537,85
s,537,74,547,85
 ,547,85,554,85
a,554,75,565,86
n,565,75,576,85
d,576,71,587,85
 ,587,85,594,85
p,594,75,606,89
l,606,72,612,85
a,612,75,623,86
n,623,75,634,85
t,634,73,643,85
s,643,74,653,85
 ,653,85,660,85
a,660,75,671,86
l,671,72,677,85
i,677,72,682,86
k,682,71,693,85
e,693,75,704,86
 ,704,85,711,85
i,711,72,716,86
s,716,74,726,85
 ,726,85,733,85
t,733,73,742,85
h,742,71,753,85
e,753,75,764,86
 ,764,85,771,85
d,771,71,782,85
a,782,75,793,86
n,793,75,804,85
g,804,75,815,90
e,815,75,826,86
r,826,75,834,85
 ,834,85,841,85
o,841,74,852,85
f,852,71,860,85
b,112,102,123,117
e,123,106,134,117
i,134,103,139,117
n,139,106,150,116
g,150,106,161,121
 ,161,116,168,116
e,168,106,179,117
a,179,106,190,117
t,190,104,199,116
e,199,106,210,117
n,210,106,221,116
.,221,113,226,116
 ,226,116,233,116
S,233,102,245,116
o,245,105,256,116
m,256,106,273,116
e,273,106,284,117
 ,284,116,291,116
a,291,106,302,117
n,302,106,313,116
i,313,103,318,117
m,318,106,335,116
a,335,106,346,117
l,346,103,352,116
s,352,105,362,116
 ,362,116,369,116
t,369,104,378,116
a,378,106,389,117
k,389,102,400,116
e,400,106,411,117
 ,411,116,418,116
r,418,106,426,116
e,426,106,437,117
c,437,105,447,116
o,447,105,458,116
u,458,106,469,116
r,469,106,477,116
s,477,105,487,116
e,487,106,498,117
 ,498,116,505,116
i,505,103,510,117
n,510,106,521,116
 ,521,116,528,116
c,528,105,538,116
a,538,106,549,117
m,549,106,566,116
o,566,105,577,116
u,577,106,588,116
f,588,102,596,116
l,596,103,602,116
a,602,106,613,117
g,613,106,624,121
i,624,103,629,117
n,629,106,640,116
g,640,106,651,121
 ,651,116,658,116
t,658,104,667,116
h,667,102,678,116
e,678,106,689,117
m,689,106,706,116
s,706,105,716,116
e,716,106,727,117
l,727,103,733,116
v,733,106,745,116
e,745,106,756,117
s,756,105,766,116
",",766,114,772,119
 ,772,116,779,116
w,779,106,794,116
h,794,102,805,116
i,805,103,810,117
l,810,103,816,116
e,816,106,827,117
o,112,136,123,147
t,123,135,132,147
h,132,133,143,147
e,143,137,154,148
r,154,137,162,147
s,162,136,172,147
 ,172,147,179,147
h,179,133,190,147
i,190,134,195,148
d,195,133,206,147
e,206,137,217,148
