Character,Left,Top,Right,Bottom
T,112,72,125,85
r,125,75,133,85
e,133,75,144,86
e,144,75,155,86
s,155,74,165,85
 ,165,85,172,85
g,172,75,183,90
r,183,75,191,85
o,191,74,202,85
w,202,75,217,85
 ,217,85,224,85
a,224,75,235,86
l,235,72,241,85
m,241,75,258,85
o,258,74,269,85
s,269,74,279,85
t,279,73,288,85
 ,288,85,295,85
e,295,75,306,86
v,306,75,318,85
e,318,75,329,86
r,329,75,337,85
y,337,75,349,89
w,349,75,364,85
h,364,71,375,85
e,375,75,386,86
r,386,75,394,85
e,394,75,405,86
 ,405,85,412,85
e,412,75,423,86
x,423,75,435,85
c,435,74,445,85
e,445,75,456,86
p,456,75,468,89
t,468,73,477,85
 ,477,85,484,85
i,484,72,489,86
n,489,75,500,85
 ,500,85,507,85
p,507,75,519,89
e,519,75,530,86
r,530,75,538,85
m,538,75,555,85
a,555,75,566,86
n,566,75,577,85
e,577,75,588,86
n,588,75,599,85
t,599,73,608,85
 ,608,85,615,85
i,615,72,620,86
c,620,74,630,85
e,630,75,641,86
 ,641,85,648,85
a,648,75,659,86
n,659,75,670,85
d,670,71,681,85
 ,681,85,688,85
s,688,74,698,85
n,698,75,709,85
o,709,74,720,85
w,720,75,735,85
",",735,83,741,88
 ,741,85,748,85
o,748,74,759,85
n,759,75,770,85
 ,770,85,777,85
t,777,73,786,85
h,786,71,797,85
e,797,75,808,86
 ,808,85,815,85
t,815,73,824,85
o,824,74,835,85
p,835,75,847,89
s,847,74,857,85
 ,857,85,864,85
o,864,74,875,85
f,875,71,883,85
h,112,102,123,116
i,123,103,128,117
g,128,106,139,121
h,139,102,150,116
 ,150,116,157,116
m,157,106,174,116
o,174,105,185,116
u,185,106,196,116
n,196,106,207,116
t,207,104,216,116
a,216,106,227,117
i,227,103,232,117
n,232,106,243,116
s,243,105,253,116
 ,253,116,260,116
a,260,106,271,117
n,271,106,282,116
d,282,102,293,116
 ,293,116,300,116
i,300,103,305,117
n,305,106,316,116
 ,316,116,323,116
d,323,102,334,116
e,334,106,345,117
s,345,105,355,116
e,355,106,366,117
r,366,106,374,116
t,374,104,383,116
s,383,105,393,116
.,393,113,398,116
 ,398,116,405,116
I,405,103,410,116
f,410,102,418,116
 ,418,116,425,116
a,425,106,436,117
n,436,106,447,116
 ,447,116,454,116
e,454,106,465,117
m,465,106,482,116
p,482,106,494,120
t,494,104,503,116
y,503,106,515,120
 ,515,116,522,116
p,522,106,534,120
i,534,103,539,117
e,539,106,550,117
c,550,105,560,116
e,560,106,571,117
 ,571,116,578,116
o,578,105,589,116
f,589,102,597,116
 ,597,116,604,116
l,604,103,610,116
a,610,106,621,117
n,621,106,632,116
d,632,102,643,116
 ,643,116,650,116
i,650,103,655,117
s,655,105,665,116
 ,665,116,672,116
l,672,103,678,116
e,678,106,689,117
f,689,102,697,116
t,697,104,706,116
 ,706,116,713,116
t,713,104,722,116
o,722,105,733,116
 ,733,116,740,116
i,740,103,745,117
t,745,104,754,116
s,754,105,764,116
e,764,106,775,117
l,775,103,781,116
f,781,102,789,116
 ,789,116,796,116
f,796,102,804,116
o,804,105,815,116
r,815,106,823,116
 ,823,116,830,116
l,830,103,836,116
o,836,105,847,116
n,847,106,858,116
g,858,106,869,121
e,112,137,123,148
n,123,137,134,147
o,134,136,145,147
u,145,137,156,147
g,156,137,167,152
h,167,133,178,147
",",178,145,184,150
 ,184,147,191,147
a,191,137,202,148
f,202,133,210,147
t,210,135,219,147
e,219,137,230,148
r,230,137,238,147
 ,238,147,245,147
s,245,136,255,147
o,255,136,266,147
m,266,137,283,147
e,283,137,294,148
 ,294,147,301,147
t,301,135,310,147
i,310,134,315,148
m,315,137,332,147
e,332,137,343,148
 ,343,147,350,147
t,350,135,359,147
r,359,137,367,147
e,367,137,378,148
e,378,137,389,148
s,389,136,399,147
 ,399,147,406,147
w,406,137,421,147
i,421,134,426,148
l,426,134,432,147
l,432,134,438,147
 ,438,147,445,147
s,445,136,455,147
t,455,135,464,147
a,464,137,475,148
r,475,137,483,147
t,483,135,492,147
 ,492,147,499,147
t,499,135,508,147
o,508,136,519,147
 ,519,147,526,147
g,526,137,537,152
r,537,137,545,147
o,545,136,556,147
w,556,137,571,147
.,571,144,576,147
 ,576,147,583,147
A,583,134,597,147
t,597,135,606,147
 ,606,147,613,147
f,613,133,621,147
i,621,134,626,148
r,626,137,634,147
s,634,136,644,147
t,644,135,653,147
",",653,145,659,150
 ,659,147,666,147
t,666,135,675,147
h,675,133,686,147
e,686,137,697,148
 ,697,147,704,147
g,704,137,715,152
r,715,137,723,147
o,723,136,734,147
u,734,137,745,147
n,745,137,756,147
