Character,Left,Top,Right,Bottom
T,112,69,124,81
h,124,68,134,81
e,134,72,142,81
 ,142,81,147,81
c,147,72,155,81
o,155,72,165,81
l,165,68,170,81
o,170,72,180,81
u,180,72,190,81
r,190,72,197,81
s,197,72,204,81
 ,204,81,209,81
o,209,72,219,81
f,219,68,228,81
 ,228,81,233,81
a,233,72,242,81
n,242,72,252,81
 ,252,81,257,81
a,257,72,266,81
n,266,72,276,81
i,276,68,281,81
m,281,72,296,81
a,296,72,305,81
l,305,68,310,81
 ,310,81,315,81
o,315,72,325,81
r,325,72,332,81
 ,332,81,337,81
a,337,72,346,81
 ,346,81,351,81
p,350,72,361,85
l,362,68,367,81
a,367,72,376,81
n,376,72,386,81
t,386,69,392,81
 ,392,81,397,81
a,397,72,406,81
r,406,72,413,81
e,413,72,421,81
 ,421,81,426,81
g,426,72,436,85
e,436,72,444,81
n,444,72,454,81
e,454,72,462,81
r,462,72,469,81
a,469,72,478,81
l,478,68,483,81
l,483,68,488,81
y,488,72,498,85
 ,498,81,503,81
t,503,69,509,81
h,509,68,519,81
e,519,72,527,81
r,527,72,534,81
e,534,72,542,81
 ,542,81,547,81
f,547,68,556,81
o,556,72,566,81
r,566,72,573,81
 ,573,81,578,81
s,578,72,585,81
o,585,72,595,81
m,595,72,610,81
e,610,72,618,81
 ,618,81,623,81
p,622,72,633,85
u,634,72,644,81
r,644,72,651,81
p,650,72,661,85
o,662,72,672,81
s,672,72,679,81
e,679,72,687,81
.,687,78,692,81
 ,692,81,697,81
T,697,69,709,81
h,709,68,719,81
e,719,72,727,81
v,112,95,122,104
i,122,91,127,104
s,127,95,134,104
u,134,95,144,104
a,144,95,153,104
l,153,91,158,104
 ,158,104,163,104
p,162,95,173,108
e,174,95,182,104
r,182,95,189,104
c,189,95,197,104
e,197,95,205,104
p,204,95,215,108
t,216,92,222,104
i,222,91,227,104
o,227,95,237,104
n,237,95,247,104
 ,247,104,252,104
o,252,95,262,104
f,262,91,271,104
 ,271,104,276,104
c,276,95,284,104
o,284,95,294,104
l,294,91,299,104
o,299,95,309,104
u,309,95,319,104
r,319,95,326,104
s,326,95,333,104
 ,333,104,338,104
i,338,91,343,104
s,343,95,350,104
 ,350,104,355,104
w,355,95,369,104
e,369,95,377,104
l,377,91,382,104
l,382,91,387,104
 ,387,104,392,104
d,392,91,402,104
e,402,95,410,104
v,410,95,420,104
e,420,95,428,104
l,428,91,433,104
o,433,95,443,104
p,442,95,453,108
e,454,95,462,104
d,462,91,472,104
 ,472,104,477,104
i,477,91,482,104
n,482,95,492,104
 ,492,104,497,104
t,497,92,503,104
h,503,91,513,104
e,513,95,521,104
 ,521,104,526,104
c,526,95,534,104
a,534,95,543,104
s,543,95,550,104
e,550,95,558,104
 ,558,104,563,104
o,563,95,573,104
f,573,91,582,104
 ,582,104,587,104
b,586,91,597,104
i,598,91,603,104
r,603,95,610,104
d,610,91,620,104
s,620,95,627,104
",",627,102,632,107
 ,632,104,637,104
a,637,95,646,104
n,646,95,656,104
d,656,91,666,104
 ,666,104,671,104
a,671,95,680,104
