Character,Left,Top,Right,Bottom
T,112,72,125,85
h,125,71,136,85
e,136,75,147,86
 ,147,85,154,85
b,154,71,165,86
e,165,75,176,86
a,176,75,187,86
v,187,75,199,85
e,199,75,210,86
r,210,75,218,85
 ,218,85,225,85
i,225,72,230,86
s,230,74,240,85
 ,240,85,247,85
a,247,75,258,86
n,258,75,269,85
 ,269,85,276,85
e,276,75,287,86
x,287,75,299,85
c,299,74,309,85
e,309,75,320,86
l,320,72,326,85
l,326,72,332,85
e,332,75,343,86
n,343,75,354,85
t,354,73,363,85
 ,363,85,370,85
s,370,74,380,85
w,380,75,395,85
i,395,72,400,86
m,400,75,417,85
m,417,75,434,85
e,434,75,445,86
r,445,75,453,85
.,453,82,458,85
 ,458,85,465,85
I,465,72,470,85
t,470,73,479,85
 ,479,85,486,85
c,486,74,496,85
a,496,75,507,86
n,507,75,518,85
 ,518,85,525,85
a,525,75,536,86
c,536,74,546,85
h,546,71,557,85
i,557,72,562,86
e,562,75,573,86
v,573,75,585,85
e,585,75,596,86
 ,596,85,603,85
a,603,75,614,86
 ,614,85,621,85
s,621,74,631,85
p,631,75,643,89
e,643,75,654,86
e,654,75,665,86
d,665,71,676,85
 ,676,85,683,85
o,683,74,694,85
f,694,71,702,85
 ,702,85,709,85
u,709,75,720,85
p,720,75,732,89
 ,732,85,739,85
t,739,73,748,85
o,748,74,759,85
 ,759,85,766,85
s,766,74,776,85
e,776,75,787,86
v,787,75,799,85
e,799,75,810,86
n,810,75,821,85
 ,821,85,828,85
m,828,75,845,85
i,845,72,850,86
l,850,72,856,85
e,856,75,867,86
s,867,74,877,85
p,112,106,124,120
e,124,106,135,117
r,135,106,143,116
 ,143,116,150,116
h,150,102,161,116
o,161,105,172,116
u,172,106,183,116
r,183,106,191,116
 ,191,116,198,116
i,198,103,203,117
n,203,106,214,116
 ,214,116,221,116
w,221,106,236,116
a,236,106,247,117
t,247,104,256,116
e,256,106,267,117
r,267,106,275,116
.,275,113,280,116
 ,280,116,287,116
I,287,103,292,116
t,292,104,301,116
s,301,105,311,116
 ,311,116,318,116
p,318,106,330,120
r,330,106,338,116
o,338,105,349,116
t,349,104,358,116
e,358,106,369,117
c,369,105,379,116
t,379,104,388,116
i,388,103,393,117
o,393,105,404,116
n,404,106,415,116
 ,415,116,422,116
a,422,106,433,117
g,433,106,444,121
a,444,106,455,117
i,455,103,460,117
n,460,106,471,116
s,471,105,481,116
t,481,104,490,116
 ,490,116,497,116
t,497,104,506,116
h,506,102,517,116
