Character,Left,Top,Right,Bottom
O,112,69,126,81
n,126,72,136,81
e,136,72,144,81
 ,144,81,149,81
o,149,72,159,81
f,159,68,168,81
 ,168,81,173,81
t,173,69,179,81
h,179,68,189,81
e,189,72,197,81
 ,197,81,202,81
m,202,72,217,81
a,217,72,226,81
n,226,72,236,81
y,236,72,246,85
 ,246,81,251,81
t,251,69,257,81
h,257,68,267,81
i,267,68,272,81
n,272,72,282,81
g,282,72,292,85
s,292,72,299,81
 ,299,81,304,81
t,304,69,310,81
h,310,68,320,81
a,320,72,329,81
t,329,69,335,81
 ,335,81,340,81
t,340,69,346,81
h,346,68,356,81
r,356,72,363,81
e,363,72,371,81
a,371,72,380,81
t,380,69,386,81
e,386,72,394,81
n,394,72,404,81
 ,404,81,409,81
a,409,72,418,81
n,418,72,428,81
i,428,68,433,81
m,433,72,448,81
a,448,72,457,81
l,457,68,462,81
s,462,72,469,81
 ,469,81,474,81
a,474,72,483,81
n,483,72,493,81
d,493,68,503,81
 ,503,81,508,81
p,507,72,518,85
l,519,68,524,81
a,524,72,533,81
n,533,72,543,81
t,543,69,549,81
s,549,72,556,81
 ,556,81,561,81
a,561,72,570,81
l,570,68,575,81
i,575,68,580,81
k,580,68,590,81
e,590,72,598,81
 ,598,81,603,81
i,603,68,608,81
s,608,72,615,81
 ,615,81,620,81
t,620,69,626,81
h,626,68,636,81
e,636,72,644,81
 ,644,81,649,81
d,649,68,659,81
a,659,72,668,81
n,668,72,678,81
g,678,72,688,85
e,688,72,696,81
r,696,72,703,81
 ,703,81,708,81
o,708,72,718,81
f,718,68,727,81
b,111,91,122,104
e,123,95,131,104
i,131,91,136,104
n,136,95,146,104
g,146,95,156,108
 ,156,104,161,104
e,161,95,169,104
a,169,95,178,104
t,178,92,184,104
e,184,95,192,104
n,192,95,202,104
.,202,101,207,104
 ,207,104,212,104
S,212,92,223,104
o,223,95,233,104
m,233,95,248,104
e,248,95,256,104
 ,256,104,261,104
a,261,95,270,104
n,270,95,280,104
i,280,91,285,104
m,285,95,300,104
a,300,95,309,104
l,309,91,314,104
s,314,95,321,104
 ,321,104,326,104
t,326,92,332,104
a,332,95,341,104
k,341,91,351,104
e,351,95,359,104
 ,359,104,364,104
r,364,95,371,104
e,371,95,379,104
c,379,95,387,104
o,387,95,397,104
u,397,95,407,104
r,407,95,414,104
s,414,95,421,104
e,421,95,429,104
 ,429,104,434,104
i,434,91,439,104
n,439,95,449,104
 ,449,104,454,104
c,454,95,462,104
