Character,Left,Top,Right,Bottom
I,112,69,118,81
n,118,72,128,81
 ,128,81,133,81
t,133,69,139,81
h,139,68,149,81
e,149,72,157,81
 ,157,81,162,81
p,161,72,172,85
a,173,72,182,81
s,182,72,189,81
t,189,69,195,81
",",195,79,200,84
 ,200,81,205,81
i,205,68,210,81
t,210,69,216,81
 ,216,81,221,81
w,221,72,235,81
a,235,72,244,81
s,244,72,251,81
 ,251,81,256,81
a,256,72,265,81
s,265,72,272,81
s,272,72,279,81
u,279,72,289,81
m,289,72,304,81
e,304,72,312,81
d,312,68,322,81
 ,322,81,327,81
t,327,69,333,81
h,333,68,343,81
a,343,72,352,81
t,352,69,358,81
 ,358,81,363,81
s,363,72,370,81
p,369,72,380,85
i,381,68,386,81
d,386,68,396,81
e,396,72,404,81
r,404,72,411,81
s,411,72,418,81
 ,418,81,423,81
w,423,72,437,81
e,437,72,445,81
r,445,72,452,81
e,452,72,460,81
 ,460,81,465,81
s,465,72,472,81
o,472,72,482,81
m,482,72,497,81
e,497,72,505,81
h,505,68,515,81
o,515,72,525,81
w,525,72,539,81
 ,539,81,544,81
a,544,72,553,81
b,552,68,563,81
l,564,68,569,81
e,569,72,577,81
 ,577,81,582,81
t,582,69,588,81
o,588,72,598,81
 ,598,81,603,81
p,602,72,613,85
r,614,72,621,81
o,621,72,631,81
t,631,69,637,81
e,637,72,645,81
c,645,72,653,81
t,653,69,659,81
t,112,92,118,104
h,118,91,128,104
e,128,95,136,104
m,136,95,151,104
s,151,95,158,104
e,158,95,166,104
l,166,91,171,104
v,171,95,181,104
e,181,95,189,104
s,189,95,196,104
 ,196,104,201,104
f,201,91,210,104
r,210,95,217,104
o,217,95,227,104
m,227,95,242,104
 ,242,104,247,104
t,247,92,253,104
h,253,91,263,104
e,263,95,271,104
 ,271,104,276,104
s,276,95,283,104
t,283,92,289,104
i,289,91,294,104
c,294,95,302,104
k,302,91,312,104
y,312,95,322,108
 ,322,104,327,104
s,327,95,334,104
u,334,95,344,104
b,343,91,354,104
s,355,95,362,104
t,362,92,368,104
a,368,95,377,104
n,377,95,387,104
c,387,95,395,104
e,395,95,403,104
 ,403,104,408,104
i,408,91,413,104
n,413,95,423,104
 ,423,104,428,104
t,428,92,434,104
h,434,91,444,104
e,444,95,452,104
i,452,91,457,104
r,457,95,464,104
 ,464,104,469,104
o,469,95,479,104
w,479,95,493,104
n,493,95,503,104
 ,503,104,508,104
n,508,95,518,104
e,518,95,526,104
t,526,92,532,104
s,532,95,539,104
",",539,102,544,107
 ,544,104,549,104
w,549,95,563,104
h,563,91,573,104
i,573,91,578,104
l,578,91,583,104
e,583,95,591,104
 ,591,104,596,104
f,596,91,605,104
l,605,91,610,104
i,610,91,615,104
e,615,95,623,104
s,623,95,630,104
 ,630,104,635,104
a,635,95,644,104
n,644,95,654,104
d,654,91,664,104
 ,664,104,669,104
o,669,95,679,104
t,679,92,685,104
h,685,91,695,104
e,695,95,703,104
r,703,95,710,104
i,112,114,117,127
n,117,118,127,127
s,127,118,134,127
e,134,118,142,127
c,142,118,150,127
t,150,115,156,127
s,156,118,163,127
 ,163,127,168,127
d,168,114,178,127
i,178,114,183,127
d,183,114,193,127
 ,193,127,198,127
n,198,118,208,127
o,208,118,218,127
t,218,115,224,127
 ,224,127,229,127
h,229,114,239,127
a,239,118,248,127
v,248,118,258,127
e,258,118,266,127
 ,266,127,271,127
t,271,115,277,127
h,277,114,287,127
i,287,114,292,127
s,292,118,299,127
 ,299,127,304,127
p,303,118,314,131
r,315,118,322,127
o,322,118,332,127
t,332,115,338,127
e,338,118,346,127
c,346,118,354,127
t,354,115,360,127
i,360,114,365,127
o,365,118,375,127
n,375,118,385,127
.,385,124,390,127
 ,390,127,395,127
B,395,115,408,127
u,408,118,418,127
t,418,115,424,127
 ,424,127,429,127
n,429,118,439,127
e,439,118,447,127
w,447,118,461,127
 ,461,127,466,127
s,466,118,473,127
c,473,118,481,127
i,481,114,486,127
e,486,118,494,127
n,494,118,504,127
t,504,115,510,127
i,510,114,515,127
f,515,114,524,127
i,524,114,529,127
c,529,118,537,127
 ,537,127,542,127
f,542,114,551,127
i,551,114,556,127
n,556,118,566,127
d,566,114,576,127
