Character,Left,Top,Right,Bottom
A,112,69,126,81
l,126,68,131,81
l,131,68,136,81
 ,136,81,141,81
a,141,72,150,81
n,150,72,160,81
i,160,68,165,81
m,165,72,180,81
a,180,72,189,81
l,189,68,194,81
s,194,72,201,81
 ,201,81,206,81
t,206,69,212,81
h,212,68,222,81
a,222,72,231,81
t,231,69,237,81
 ,237,81,242,81
l,242,68,247,81
i,247,68,252,81
v,252,72,262,81
e,262,72,270,81
 ,270,81,275,81
o,275,72,285,81
n,285,72,295,81
 ,295,81,300,81
o,300,72,310,81
t,310,69,316,81
h,316,68,326,81
e,326,72,334,81
r,334,72,341,81
 ,341,81,346,81
a,346,72,355,81
n,355,72,365,81
i,365,68,370,81
m,370,72,385,81
a,385,72,394,81
l,394,68,399,81
s,399,72,406,81
 ,406,81,411,81
f,411,68,420,81
a,420,72,429,81
c,429,72,437,81
e,437,72,445,81
 ,445,81,450,81
t,450,69,456,81
h,456,68,466,81
e,466,72,474,81
 ,474,81,479,81
p,478,72,489,85
r,490,72,497,81
o,497,72,507,81
b,506,68,517,81
l,518,68,523,81
e,523,72,531,81
m,531,72,546,81
 ,546,81,551,81
o,551,72,561,81
f,561,68,570,81
 ,570,81,575,81
h,575,68,585,81
o,585,72,595,81
w,595,72,609,81
 ,609,81,614,81
t,614,69,620,81
o,620,72,630,81
 ,630,81,635,81
g,635,72,645,85
e,645,72,653,81
t,653,69,659,81
 ,659,81,664,81
h,664,68,674,81
o,674,72,684,81
l,684,68,689,81
d,689,68,699,81
 ,699,81,704,81
o,704,72,714,81
f,714,68,723,81
t,112,92,118,104
h,118,91,128,104
e,128,95,136,104
i,136,91,141,104
r,141,95,148,104
 ,148,104,153,104
p,152,95,163,108
r,164,95,171,104
e,171,95,179,104
y,179,95,189,108
.,189,101,194,104
 ,194,104,199,104
M,199,92,216,104
a,216,95,225,104
n,225,95,235,104
y,235,95,245,108
 ,245,104,250,104
a,250,95,259,104
n,259,95,269,104
i,269,91,274,104
m,274,95,289,104
a,289,95,298,104
l,298,91,303,104
s,303,95,310,104
 ,310,104,315,104
s,315,95,322,104
e,322,95,330,104
e,330,95,338,104
k,338,91,348,104
 ,348,104,353,104
a,353,95,362,104
n,362,95,372,104
d,372,91,382,104
 ,382,104,387,104
h,387,91,397,104
u,397,95,407,104
n,407,95,417,104
t,417,92,423,104
 ,423,104,428,104
t,428,92,434,104
h,434,91,444,104
e,444,95,452,104
i,452,91,457,104
r,457,95,464,104
 ,464,104,469,104
p,468,95,479,108
r,480,95,487,104
e,487,95,495,104
y,495,95,505,108
",",505,102,510,107
 ,510,104,515,104
w,515,95,529,104
h,529,91,539,104
i,539,91,544,104
l,544,91,549,104
e,549,95,557,104
 ,557,104,562,104
o,562,95,572,104
t,572,92,578,104
h,578,91,588,104
e,588,95,596,104
r,596,95,603,104
s,603,95,610,104
 ,610,104,615,104
s,615,95,622,104
i,622,91,627,104
t,627,92,633,104
 ,633,104,638,104
s,638,95,645,104
t,645,92,651,104
i,651,91,656,104
l,656,91,661,104
l,661,91,666,104
 ,666,104,671,104
a,671,95,680,104
n,680,95,690,104
d,690,91,700,104
 ,700,104,705,104
w,705,95,719,104
a,719,95,728,104
i,728,91,733,104
t,733,92,739,104
f,112,114,121,127
o,121,118,131,127
r,131,118,138,127
 ,138,127,143,127
a,143,118,152,127
 ,152,127,157,127
h,157,114,167,127
a,167,118,176,127
r,176,118,183,127
m,183,118,198,127
l,198,114,203,127
e,203,118,211,127
s,211,118,218,127
s,218,118,225,127
 ,225,127,230,127
v,230,118,240,127
i,240,114,245,127
c,245,118,253,127
t,253,115,259,127
i,259,114,264,127
m,264,118,279,127
 ,279,127,284,127
t,284,115,290,127
o,290,118,300,127
 ,300,127,305,127
c,305,118,313,127
o,313,118,323,127
m,323,118,338,127
e,338,118,346,127
 ,346,127,351,127
c,351,118,359,127
l,359,114,364,127
o,364,118,374,127
s,374,118,381,127
e,381,118,389,127
 ,389,127,394,127
t,394,115,400,127
o,400,118,410,127
 ,410,127,415,127
t,415,115,421,127
h,421,114,431,127
e,431,118,439,127
m,439,118,454,127
.,454,124,459,127
 ,459,127,464,127
O,464,115,478,127
n,478,118,488,127
e,488,118,496,127
 ,496,127,501,127
w,501,118,515,127
i,515,114,520,127
d,520,114,530,127
e,530,118,538,127
l,538,114,543,127
y,543,118,553,131
 ,553,127,558,127
u,558,118,568,127
s,568,118,575,127
e,575,118,583,127
d,583,114,593,127
 ,593,127,598,127
w,598,118,612,127
a,612,118,621,127
y,621,118,631,131
 ,631,127,636,127
t,636,115,642,127
o,642,118,652,127
 ,652,127,657,127
g,657,118,667,131
e,667,118,675,127
t,675,115,681,127
 ,681,127,686,127
f,686,114,695,127
o,695,118,705,127
o,705,118,715,127
d,715,114,725,127
w,112,141,126,150
i,126,137,131,150
t,131,138,137,150
h,137,137,147,150
o,147,141,157,150
u,157,141,167,150
t,167,138,173,150
 ,173,150,178,150
t,178,138,184,150
o,184,141,194,150
o,194,141,204,150
 ,204,150,209,150
m,209,141,224,150
u,224,141,234,150
c,234,141,242,150
h,242,137,252,150
 ,252,150,257,150
t,257,138,263,150
r,263,141,270,150
o,270,141,280,150
u,280,141,290,150
b,289,137,300,150
l,301,137,306,150
e,306,141,314,150
 ,314,150,319,150
i,319,137,324,150
s,324,141,331,150
 ,331,150,336,150
t,336,138,342,150
o,342,141,352,150
 ,352,150,357,150
b,356,137,367,150
u,368,141,378,150
i,378,137,383,150
l,383,137,388,150
d,388,137,398,150
 ,398,150,403,150
a,403,141,412,150
 ,412,150,417,150
t,417,138,423,150
r,423,141,430,150
a,430,141,439,150
p,438,141,449,154
 ,450,150,455,150
o,455,141,465,150
r,465,141,472,150
 ,472,150,477,150
n,477,141,487,150
e,487,141,495,150
t,495,138,501,150
.,501,147,506,150
 ,506,150,511,150
T,511,138,523,150
h,523,137,533,150
e,533,141,541,150
 ,541,150,546,150
b,545,137,556,150
e,557,141,565,150
s,565,141,572,150
t,572,138,578,150
 ,578,150,583,150
k,583,137,593,150
n,593,141,603,150
o,603,141,613,150
w,613,141,627,150
n,627,141,637,150
 ,637,150,642,150
e,642,141,650,150
x,650,141,660,150
a,660,141,669,150
m,669,141,684,150
p,683,141,694,154
l,695,137,700,150
e,700,141,708,150
 ,708,150,713,150
f,713,137,722,150
o,722,141,732,150
r,732,141,739,150
a,112,164,121,173
n,121,164,131,173
i,131,160,136,173
m,136,164,151,173
a,151,164,160,173
l,160,160,165,173
s,165,164,172,173
 ,172,173,177,173
t,177,161,183,173
h,183,160,193,173
a,193,164,202,173
t,202,161,208,173
 ,208,173,213,173
c,213,164,221,173
a,221,164,230,173
t,230,161,236,173
c,236,164,244,173
h,244,160,254,173
 ,254,173,259,173
o,259,164,269,173
t,269,161,275,173
h,275,160,285,173
e,285,164,293,173
r,293,164,300,173
 ,300,173,305,173
a,305,164,314,173
n,314,164,324,173
i,324,160,329,173
m,329,164,344,173
a,344,164,353,173
l,353,160,358,173
s,358,164,365,173
 ,365,173,370,173
w,370,164,384,173
i,384,160,389,173
t,389,161,395,173
h,395,160,405,173
 ,405,173,410,173
t,410,161,416,173
h,416,160,426,173
e,426,164,434,173
 ,434,173,439,173
h,439,160,449,173
e,449,164,457,173
l,457,160,462,173
p,461,164,472,177
 ,473,173,478,173
o,478,164,488,173
f,488,160,497,173
 ,497,173,502,173
a,502,164,511,173
 ,511,173,516,173
n,516,164,526,173
e,526,164,534,173
t,534,161,540,173
 ,540,173,545,173
a,545,164,554,173
r,554,164,561,173
e,561,164,569,173
 ,569,173,574,173
s,574,164,581,173
p,580,164,591,177
i,592,160,597,173
d,597,160,607,173
e,607,164,615,173
r,615,164,622,173
s,622,164,629,173
.,629,170,634,173
 ,634,173,639,173
T,639,161,651,173
h,651,160,661,173
e,661,164,669,173
i,669,160,674,173
r,674,164,681,173
 ,681,173,686,173
s,686,164,693,173
t,693,161,699,173
i,699,160,704,173
c,704,164,712,173
k,712,160,722,173
y,722,164,732,177
n,112,187,122,196
e,122,187,130,196
t,130,184,136,196
s,136,187,143,196
 ,143,196,148,196
a,148,187,157,196
r,157,187,164,196
e,164,187,172,196
 ,172,196,177,196
s,177,187,184,196
p,183,187,194,200
u,195,187,205,196
n,205,187,215,196
 ,215,196,220,196
s,220,187,227,196
o,227,187,237,196
 ,237,196,242,196
f,242,183,251,196
i,251,183,256,196
n,256,187,266,196
e,266,187,274,196
 ,274,196,279,196
t,279,184,285,196
h,285,183,295,196
a,295,187,304,196
t,304,184,310,196
 ,310,196,315,196
t,315,184,321,196
h,321,183,331,196
e,331,187,339,196
y,339,187,349,200
 ,349,196,354,196
a,354,187,363,196
r,363,187,370,196
e,370,187,378,196
 ,378,196,383,196
h,383,183,393,196
a,393,187,402,196
r,402,187,409,196
d,409,183,419,196
 ,419,196,424,196
t,424,184,430,196
o,430,187,440,196
 ,440,196,445,196
s,445,187,452,196
e,452,187,460,196
e,460,187,468,196
",",468,194,473,199
 ,473,196,478,196
a,478,187,487,196
n,487,187,497,196
d,497,183,507,196
 ,507,196,512,196
u,512,187,522,196
s,522,187,529,196
u,529,187,539,196
a,539,187,548,196
l,548,183,553,196
l,553,183,558,196
y,558,187,568,200
 ,568,196,573,196
a,573,187,582,196
n,582,187,592,196
 ,592,196,597,196
i,597,183,602,196
n,602,187,612,196
s,612,187,619,196
e,619,187,627,196
c,627,187,635,196
t,635,184,641,196
 ,641,196,646,196
d,646,183,656,196
o,656,187,666,196
e,666,187,674,196
s,674,187,681,196
 ,681,196,686,196
n,686,187,696,196
o,696,187,706,196
t,706,184,712,196
n,112,210,122,219
o,122,210,132,219
t,132,207,138,219
i,138,206,143,219
c,143,210,151,219
e,151,210,159,219
 ,159,219,164,219
a,164,210,173,219
 ,173,219,178,219
n,178,210,188,219
e,188,210,196,219
t,196,207,202,219
 ,202,219,207,219
u,207,210,217,219
n,217,210,227,219
t,227,207,233,219
i,233,206,238,219
l,238,206,243,219
 ,243,219,248,219
i,248,206,253,219
t,253,207,259,219
 ,259,219,264,219
h,264,206,274,219
a,274,210,283,219
s,283,210,290,219
 ,290,219,295,219
c,295,210,303,219
a,303,210,312,219
u,312,210,322,219
g,322,210,332,223
h,332,206,342,219
t,342,207,348,219
 ,348,219,353,219
i,353,206,358,219
t,358,207,364,219
s,364,210,371,219
e,371,210,379,219
l,379,206,384,219
f,384,206,393,219
 ,393,219,398,219
i,398,206,403,219
n,403,210,413,219
 ,413,219,418,219
i,418,206,423,219
t,423,207,429,219
.,429,216,434,219
 ,434,219,439,219
T,439,207,451,219
h,451,206,461,219
e,461,210,469,219
 ,469,219,474,219
s,474,210,481,219
p,480,210,491,223
i,492,206,497,219
d,497,206,507,219
e,507,210,515,219
r,515,210,522,219
 ,522,219,527,219
t,527,207,533,219
h,533,206,543,219
e,543,210,551,219
n,551,210,561,219
 ,561,219,566,219
o,566,210,576,219
n,576,210,586,219
l,586,206,591,219
y,591,210,601,223
 ,601,219,606,219
n,606,210,616,219
e,616,210,624,219
e,624,210,632,219
d,632,206,642,219
s,642,210,649,219
 ,649,219,654,219
t,654,207,660,219
o,660,210,670,219
 ,670,219,675,219
g,675,210,685,223
o,685,210,695,219
 ,695,219,700,219
t,700,207,706,219
o,706,210,716,219
 ,716,219,721,219
t,721,207,727,219
h,727,206,737,219
e,737,210,745,219
p,111,233,122,246
l,123,229,128,242
a,128,233,137,242
c,137,233,145,242
e,145,233,153,242
 ,153,242,158,242
w,158,233,172,242
h,172,229,182,242
e,182,233,190,242
r,190,233,197,242
e,197,233,205,242
 ,205,242,210,242
t,210,230,216,242
h,216,229,226,242
e,226,233,234,242
 ,234,242,239,242
i,239,229,244,242
n,244,233,254,242
s,254,233,261,242
e,261,233,269,242
c,269,233,277,242
t,277,230,283,242
 ,283,242,288,242
i,288,229,293,242
s,293,233,300,242
.,300,239,305,242
 ,305,242,310,242
I,310,230,316,242
t,316,230,322,242
 ,322,242,327,242
i,327,229,332,242
s,332,233,339,242
 ,339,242,344,242
e,344,233,352,242
i,352,229,357,242
t,357,230,363,242
h,363,229,373,242
e,373,233,381,242
r,381,233,388,242
 ,388,242,393,242
e,393,233,401,242
a,401,233,410,242
t,410,230,416,242
e,416,233,424,242
n,424,233,434,242
 ,434,242,439,242
r,439,233,446,242
i,446,229,451,242
g,451,233,461,246
h,461,229,471,242
t,471,230,477,242
 ,477,242,482,242
o,482,233,492,242
n,492,233,502,242
 ,502,242,507,242
t,507,230,513,242
h,513,229,523,242
e,523,233,531,242
 ,531,242,536,242
s,536,233,543,242
p,542,233,553,246
o,554,233,564,242
t,564,230,570,242
 ,570,242,575,242
o,575,233,585,242
r,585,233,592,242
 ,592,242,597,242
o,597,233,607,242
t,607,230,613,242
h,613,229,623,242
e,623,233,631,242
r,631,233,638,242
w,638,233,652,242
i,652,229,657,242
s,657,233,664,242
e,664,233,672,242
 ,672,242,677,242
i,677,229,682,242
t,682,230,688,242
 ,688,242,693,242
i,693,229,698,242
s,698,233,705,242
w,112,256,126,265
r,126,256,133,265
a,133,256,142,265
p,141,256,152,269
p,152,256,163,269
e,164,256,172,265
d,172,252,182,265
 ,182,265,187,265
i,187,252,192,265
n,192,256,202,265
 ,202,265,207,265
s,207,256,214,265
t,214,253,220,265
i,220,252,225,265
c,225,256,233,265
k,233,252,243,265
y,243,256,253,269
 ,253,265,258,265
t,258,253,264,265
h,264,252,274,265
r,274,256,281,265
e,281,256,289,265
a,289,256,298,265
d,298,252,308,265
s,308,256,315,265
 ,315,265,320,265
f,320,252,329,265
o,329,256,339,265
r,339,256,346,265
 ,346,265,351,265
l,351,252,356,265
a,356,256,365,265
t,365,253,371,265
e,371,256,379,265
r,379,256,386,265
 ,386,265,391,265
c,391,256,399,265
o,399,256,409,265
n,409,256,419,265
s,419,256,426,265
u,426,256,436,265
m,436,256,451,265
p,450,256,461,269
t,462,253,468,265
i,468,252,473,265
o,473,256,483,265
n,483,256,493,265
.,493,262,498,265
 ,498,265,503,265
O,503,253,517,265
t,517,253,523,265
h,523,252,533,265
e,533,256,541,265
r,541,256,548,265
 ,548,265,553,265
l,553,252,558,265
i,558,252,563,265
v,563,256,573,265
i,573,252,578,265
n,578,256,588,265
g,588,256,598,269
 ,598,265,603,265
t,603,253,609,265
h,609,252,619,265
i,619,252,624,265
n,624,256,634,265
g,634,256,644,269
s,644,256,651,265
 ,651,265,656,265
t,656,253,662,265
h,662,252,672,265
a,672,256,681,265
t,681,253,687,265
 ,687,265,692,265
a,692,256,701,265
r,701,256,708,265
e,708,256,716,265
 ,716,265,721,265
s,721,256,728,265
t,728,253,734,265
u,734,256,744,265
c,744,256,752,265
k,752,252,762,265
o,112,279,122,288
n,122,279,132,288
 ,132,288,137,288
r,137,279,144,288
o,144,279,154,288
c,154,279,162,288
k,162,275,172,288
s,172,279,179,288
 ,179,288,184,288
o,184,279,194,288
r,194,279,201,288
 ,201,288,206,288
o,206,279,216,288
n,216,279,226,288
 ,226,288,231,288
t,231,276,237,288
h,237,275,247,288
e,247,279,255,288
 ,255,288,260,288
f,260,275,269,288
l,269,275,274,288
o,274,279,284,288
o,284,279,294,288
r,294,279,301,288
 ,301,288,306,288
o,306,279,316,288
f,316,275,325,288
 ,325,288,330,288
t,330,276,336,288
h,336,275,346,288
e,346,279,354,288
 ,354,288,359,288
s,359,279,366,288
e,366,279,374,288
a,374,279,383,288
 ,383,288,388,288
l,388,275,393,288
i,393,275,398,288
v,398,279,408,288
e,408,279,416,288
 ,416,288,421,288
o,421,279,431,288
n,431,279,441,288
 ,441,288,446,288
t,446,276,452,288
i,452,275,457,288
n,457,279,467,288
y,467,279,477,292
 ,477,288,482,288
a,482,279,491,288
n,491,279,501,288
i,501,275,506,288
m,506,279,521,288
a,521,279,530,288
l,530,275,535,288
s,535,279,542,288
 ,542,288,547,288
a,547,279,556,288
n,556,279,566,288
d,566,275,576,288
 ,576,288,581,288
p,580,279,591,292
l,592,275,597,288
a,597,279,606,288
n,606,279,616,288
t,616,276,622,288
s,622,279,629,288
 ,629,288,634,288
t,634,276,640,288
h,640,275,650,288
a,650,279,659,288
t,659,276,665,288
 ,665,288,670,288
t,670,276,676,288
h,676,275,686,288
e,686,279,694,288
y,694,279,704,292
 ,704,288,709,288
s,709,279,716,288
o,716,279,726,288
a,726,279,735,288
k,735,275,745,288
i,112,298,117,311
n,117,302,127,311
 ,127,311,132,311
w,132,302,146,311
i,146,298,151,311
t,151,299,157,311
h,157,298,167,311
 ,167,311,172,311
w,172,302,186,311
a,186,302,195,311
t,195,299,201,311
e,201,302,209,311
r,209,302,216,311
.,216,308,221,311
