Character,Left,Top,Right,Bottom
I,112,72,117,85
n,117,75,128,85
 ,128,85,135,85
t,135,73,144,85
h,144,71,155,85
e,155,75,166,86
 ,166,85,173,85
p,173,75,185,89
a,185,75,196,86
s,196,74,206,85
t,206,73,215,85
",",215,83,221,88
 ,221,85,228,85
i,228,72,233,86
t,233,73,242,85
 ,242,85,249,85
w,249,75,264,85
a,264,75,275,86
s,275,74,285,85
 ,285,85,292,85
a,292,75,303,86
s,303,74,313,85
s,313,74,323,85
u,323,75,334,85
m,334,75,351,85
e,351,75,362,86
d,362,71,373,85
 ,373,85,380,85
t,380,73,389,85
h,389,71,400,85
a,400,75,411,86
t,411,73,420,85
 ,420,85,427,85
s,427,74,437,85
p,437,75,449,89
i,449,72,454,86
d,454,71,465,85
e,465,75,476,86
r,476,75,484,85
s,484,74,494,85
 ,494,85,501,85
w,501,75,516,85
e,516,75,527,86
r,527,75,535,85
e,535,75,546,86
 ,546,85,553,85
s,553,74,563,85
o,563,74,574,85
m,574,75,591,85
e,591,75,602,86
h,602,71,613,85
o,613,74,624,85
w,624,75,639,85
 ,639,85,646,85
a,646,75,657,86
b,657,71,668,86
l,668,72,674,85
e,674,75,685,86
 ,685,85,692,85
t,692,73,701,85
o,701,74,712,85
 ,712,85,719,85
p,719,75,731,89
r,731,75,739,85
o,739,74,750,85
t,750,73,759,85
e,759,75,770,86
c,770,74,780,85
t,780,73,789,85
t,112,104,121,116
h,121,102,132,116
e,132,106,143,117
m,143,106,160,116
s,160,105,170,116
e,170,106,181,117
l,181,103,187,116
v,187,106,199,116
e,199,106,210,117
s,210,105,220,116
 ,220,116,227,116
f,227,102,235,116
r,235,106,243,116
o,243,105,254,116
m,254,106,271,116
 ,271,116,278,116
t,278,104,287,116
h,287,102,298,116
e,298,106,309,117
 ,309,116,316,116
s,316,105,326,116
t,326,104,335,116
i,335,103,340,117
c,340,105,350,116
k,350,102,361,116
y,361,106,373,120
 ,373,116,380,116
s,380,105,390,116
u,390,106,401,116
b,401,102,412,117
s,412,105,422,116
t,422,104,431,116
a,431,106,442,117
n,442,106,453,116
c,453,105,463,116
e,463,106,474,117
 ,474,116,481,116
i,481,103,486,117
n,486,106,497,116
 ,497,116,504,116
t,504,104,513,116
h,513,102,524,116
e,524,106,535,117
i,535,103,540,117
r,540,106,548,116
 ,548,116,555,116
o,555,105,566,116
w,566,106,581,116
n,581,106,592,116
 ,592,116,599,116
n,599,106,610,116
e,610,106,621,117
t,621,104,630,116
s,630,105,640,116
",",640,114,646,119
 ,646,116,653,116
w,653,106,668,116
h,668,102,679,116
i,679,103,684,117
l,684,103,690,116
e,690,106,701,117
 ,701,116,708,116
f,708,102,716,116
l,716,103,722,116
i,722,103,727,117
e,727,106,738,117
s,738,105,748,116
 ,748,116,755,116
a,755,106,766,117
n,766,106,777,116
d,777,102,788,116
 ,788,116,795,116
o,795,105,806,116
t,806,104,815,116
h,815,102,826,116
e,826,106,837,117
r,837,106,845,116
i,112,134,117,148
n,117,137,128,147
s,128,136,138,147
e,138,137,149,148
c,149,136,159,147
t,159,135,168,147
s,168,136,178,147
 ,178,147,185,147
d,185,133,196,147
i,196,134,201,148
d,201,133,212,147
 ,212,147,219,147
n,219,137,230,147
o,230,136,241,147
t,241,135,250,147
 ,250,147,257,147
h,257,133,268,147
a,268,137,279,148
v,279,137,291,147
e,291,137,302,148
 ,302,147,309,147
t,309,135,318,147
h,318,133,329,147
i,329,134,334,148
s,334,136,344,147
 ,344,147,351,147
p,351,137,363,151
r,363,137,371,147
o,371,136,382,147
t,382,135,391,147
e,391,137,402,148
c,402,136,412,147
t,412,135,421,147
i,421,134,426,148
o,426,136,437,147
n,437,137,448,147
.,448,144,453,147
 ,453,147,460,147
B,460,133,472,148
u,472,137,483,147
t,483,135,492,147
 ,492,147,499,147
n,499,137,510,147
e,510,137,521,148
w,521,137,536,147
 ,536,147,543,147
s,543,136,553,147
c,553,136,563,147
i,563,134,568,148
e,568,137,579,148
n,579,137,590,147
t,590,135,599,147
i,599,134,604,148
f,604,133,612,147
i,612,134,617,148
c,617,136,627,147
 ,627,147,634,147
f,634,133,642,147
i,642,134,647,148
n,647,137,658,147
d,658,133,669,147
i,669,134,674,148
n,674,137,685,147
g,685,137,696,152
s,696,136,706,147
 ,706,147,713,147
s,713,136,723,147
h,723,133,734,147
o,734,136,745,147
w,745,137,760,147
 ,760,147,767,147
t,767,135,776,147
h,776,133,787,147
a,787,137,798,148
t,798,135,807,147
 ,807,147,814,147
t,814,135,823,147
h,823,133,834,147
i,834,134,839,148
s,839,136,849,147
 ,849,147,856,147
i,856,134,861,148
s,861,136,871,147
n,112,168,123,178
o,123,167,134,178
t,134,166,143,178
 ,143,178,150,178
t,150,166,159,178
r,159,168,167,178
u,167,168,178,178
e,178,168,189,179
.,189,175,194,178
 ,194,178,201,178
A,201,165,215,178
 ,215,178,222,178
s,222,167,232,178
p,232,168,244,182
i,244,165,249,179
d,249,164,260,178
e,260,168,271,179
r,271,168,279,178
 ,279,178,286,178
w,286,168,301,178
o,301,167,312,178
u,312,168,323,178
l,323,165,329,178
d,329,164,340,178
 ,340,178,347,178
a,347,168,358,179
l,358,165,364,178
s,364,167,374,178
o,374,167,385,178
 ,385,178,392,178
g,392,168,403,183
e,403,168,414,179
t,414,166,423,178
 ,423,178,430,178
c,430,167,440,178
a,440,168,451,179
u,451,168,462,178
g,462,168,473,183
h,473,164,484,178
t,484,166,493,178
 ,493,178,500,178
i,500,165,505,179
n,505,168,516,178
 ,516,178,523,178
i,523,165,528,179
t,528,166,537,178
s,537,167,547,178
 ,547,178,554,178
n,554,168,565,178
e,565,168,576,179
t,576,166,585,178
 ,585,178,592,178
i,592,165,597,179
f,597,164,605,178
 ,605,178,612,178
i,612,165,617,179
t,617,166,626,178
 ,626,178,633,178
d,633,164,644,178
i,644,165,649,179
d,649,164,660,178
 ,660,178,667,178
n,667,168,678,178
o,678,167,689,178
t,689,166,698,178
 ,698,178,705,178
m,705,168,722,178
a,722,168,733,179
k,733,164,744,178
e,744,168,755,179
 ,755,178,762,178
u,762,168,773,178
s,773,167,783,178
e,783,168,794,179
 ,794,178,801,178
o,801,167,812,178
f,812,164,820,178
 ,820,178,827,178
a,827,168,838,179
c,112,198,122,209
l,122,196,128,209
e,128,199,139,210
v,139,199,151,209
e,151,199,162,210
r,162,199,170,209
 ,170,209,177,209
t,177,197,186,209
r,186,199,194,209
i,194,196,199,210
c,199,198,209,209
k,209,195,220,209
.,220,206,225,209
 ,225,209,232,209
S,232,195,244,209
p,244,199,256,213
i,256,196,261,210
d,261,195,272,209
e,272,199,283,210
r,283,199,291,209
s,291,198,301,209
 ,301,209,308,209
c,308,198,318,209
a,318,199,329,210
n,329,199,340,209
 ,340,209,347,209
p,347,199,359,213
r,359,199,367,209
o,367,198,378,209
d,378,195,389,209
u,389,199,400,209
c,400,198,410,209
e,410,199,421,210
 ,421,209,428,209
t,428,197,437,209
w,437,199,452,209
o,452,198,463,209
 ,463,209,470,209
d,470,195,481,209
i,481,196,486,210
f,486,195,494,209
f,494,195,502,209
e,502,199,513,210
r,513,199,521,209
e,521,199,532,210
n,532,199,543,209
t,543,197,552,209
 ,552,209,559,209
k,559,195,570,209
i,570,196,575,210
n,575,199,586,209
d,586,195,597,209
s,597,198,607,209
 ,607,209,614,209
o,614,198,625,209
f,625,195,633,209
 ,633,209,640,209
t,640,197,649,209
h,649,195,660,209
r,660,199,668,209
e,668,199,679,210
a,679,199,690,210
d,690,195,701,209
s,701,198,711,209
.,711,206,716,209
 ,716,209,723,209
T,723,196,736,209
h,736,195,747,209
u,747,199,758,209
s,758,198,768,209
",",768,207,774,212
 ,774,209,781,209
