Character,Left,Top,Right,Bottom
A,112,72,126,85
l,126,72,132,85
l,132,72,138,85
 ,138,85,145,85
a,145,75,156,86
n,156,75,167,85
i,167,72,172,86
m,172,75,189,85
a,189,75,200,86
l,200,72,206,85
s,206,74,216,85
 ,216,85,223,85
t,223,73,232,85
h,232,71,243,85
a,243,75,254,86
t,254,73,263,85
 ,263,85,270,85
l,270,72,276,85
i,276,72,281,86
v,281,75,293,85
e,293,75,304,86
 ,304,85,311,85
o,311,74,322,85
n,322,75,333,85
 ,333,85,340,85
o,340,74,351,85
t,351,73,360,85
h,360,71,371,85
e,371,75,382,86
r,382,75,390,85
 ,390,85,397,85
a,397,75,408,86
n,408,75,419,85
i,419,72,424,86
m,424,75,441,85
a,441,75,452,86
l,452,72,458,85
s,458,74,468,85
 ,468,85,475,85
f,475,71,483,85
a,483,75,494,86
c,494,74,504,85
e,504,75,515,86
 ,515,85,522,85
t,522,73,531,85
h,531,71,542,85
e,542,75,553,86
 ,553,85,560,85
p,560,75,572,89
r,572,75,580,85
o,580,74,591,85
b,591,71,602,86
l,602,72,608,85
e,608,75,619,86
m,619,75,636,85
 ,636,85,643,85
o,643,74,654,85
f,654,71,662,85
 ,662,85,669,85
h,669,71,680,85
o,680,74,691,85
w,691,75,706,85
 ,706,85,713,85
t,713,73,722,85
o,722,74,733,85
 ,733,85,740,85
g,740,75,751,90
e,751,75,762,86
t,762,73,771,85
 ,771,85,778,85
h,778,71,789,85
o,789,74,800,85
l,800,72,806,85
d,806,71,817,85
 ,817,85,824,85
o,824,74,835,85
f,835,71,843,85
t,112,104,121,116
h,121,102,132,116
e,132,106,143,117
i,143,103,148,117
r,148,106,156,116
 ,156,116,163,116
p,163,106,175,120
r,175,106,183,116
e,183,106,194,117
y,194,106,206,120
.,206,113,211,116
 ,211,116,218,116
M,218,103,233,116
a,233,106,244,117
n,244,106,255,116
y,255,106,267,120
 ,267,116,274,116
a,274,106,285,117
n,285,106,296,116
i,296,103,301,117
m,301,106,318,116
a,318,106,329,117
l,329,103,335,116
s,335,105,345,116
 ,345,116,352,116
s,352,105,362,116
e,362,106,373,117
e,373,106,384,117
k,384,102,395,116
 ,395,116,402,116
a,402,106,413,117
n,413,106,424,116
d,424,102,435,116
 ,435,116,442,116
h,442,102,453,116
u,453,106,464,116
n,464,106,475,116
t,475,104,484,116
 ,484,116,491,116
t,491,104,500,116
h,500,102,511,116
e,511,106,522,117
i,522,103,527,117
r,527,106,535,116
 ,535,116,542,116
p,542,106,554,120
r,554,106,562,116
e,562,106,573,117
y,573,106,585,120
",",585,114,591,119
 ,591,116,598,116
w,598,106,613,116
h,613,102,624,116
i,624,103,629,117
l,629,103,635,116
e,635,106,646,117
 ,646,116,653,116
o,653,105,664,116
t,664,104,673,116
h,673,102,684,116
e,684,106,695,117
r,695,106,703,116
s,703,105,713,116
 ,713,116,720,116
s,720,105,730,116
i,730,103,735,117
t,735,104,744,116
 ,744,116,751,116
s,751,105,761,116
t,761,104,770,116
i,770,103,775,117
l,775,103,781,116
l,781,103,787,116
 ,787,116,794,116
a,794,106,805,117
n,805,106,816,116
d,816,102,827,116
 ,827,116,834,116
w,834,106,849,116
a,849,106,860,117
i,860,103,865,117
t,865,104,874,116
f,112,133,120,147
o,120,136,131,147
r,131,137,139,147
 ,139,147,146,147
a,146,137,157,148
 ,157,147,164,147
h,164,133,175,147
a,175,137,186,148
r,186,137,194,147
m,194,137,211,147
l,211,134,217,147
e,217,137,228,148
s,228,136,238,147
s,238,136,248,147
 ,248,147,255,147
v,255,137,267,147
i,267,134,272,148
c,272,136,282,147
t,282,135,291,147
i,291,134,296,148
m,296,137,313,147
 ,313,147,320,147
t,320,135,329,147
o,329,136,340,147
 ,340,147,347,147
c,347,136,357,147
o,357,136,368,147
m,368,137,385,147
e,385,137,396,148
 ,396,147,403,147
c,403,136,413,147
l,413,134,419,147
o,419,136,430,147
s,430,136,440,147
e,440,137,451,148
 ,451,147,458,147
t,458,135,467,147
o,467,136,478,147
 ,478,147,485,147
t,485,135,494,147
h,494,133,505,147
e,505,137,516,148
m,516,137,533,147
.,533,144,538,147
 ,538,147,545,147
O,545,133,559,147
n,559,137,570,147
e,570,137,581,148
 ,581,147,588,147
w,588,137,603,147
i,603,134,608,148
d,608,133,619,147
e,619,137,630,148
l,630,134,636,147
y,636,137,648,151
 ,648,147,655,147
u,655,137,666,147
s,666,136,676,147
e,676,137,687,148
d,687,133,698,147
 ,698,147,705,147
w,705,137,720,147
a,720,137,731,148
y,731,137,743,151
 ,743,147,750,147
t,750,135,759,147
o,759,136,770,147
 ,770,147,777,147
g,777,137,788,152
e,788,137,799,148
t,799,135,808,147
 ,808,147,815,147
f,815,133,823,147
o,823,136,834,147
o,834,136,845,147
d,845,133,856,147
w,112,168,127,178
i,127,165,132,179
t,132,166,141,178
h,141,164,152,178
o,152,167,163,178
u,163,168,174,178
t,174,166,183,178
 ,183,178,190,178
t,190,166,199,178
o,199,167,210,178
o,210,167,221,178
 ,221,178,228,178
m,228,168,245,178
u,245,168,256,178
c,256,167,266,178
h,266,164,277,178
 ,277,178,284,178
t,284,166,293,178
r,293,168,301,178
o,301,167,312,178
u,312,168,323,178
b,323,164,334,179
l,334,165,340,178
e,340,168,351,179
 ,351,178,358,178
i,358,165,363,179
s,363,167,373,178
 ,373,178,380,178
t,380,166,389,178
o,389,167,400,178
 ,400,178,407,178
b,407,164,418,179
u,418,168,429,178
i,429,165,434,179
l,434,165,440,178
d,440,164,451,178
 ,451,178,458,178
a,458,168,469,179
 ,469,178,476,178
t,476,166,485,178
r,485,168,493,178
a,493,168,504,179
p,504,168,516,182
 ,516,178,523,178
o,523,167,534,178
r,534,168,542,178
 ,542,178,549,178
n,549,168,560,178
e,560,168,571,179
t,571,166,580,178
.,580,175,585,178
 ,585,178,592,178
T,592,165,605,178
h,605,164,616,178
e,616,168,627,179
 ,627,178,634,178
b,634,164,645,179
e,645,168,656,179
s,656,167,666,178
t,666,166,675,178
 ,675,178,682,178
k,682,164,693,178
n,693,168,704,178
o,704,167,715,178
w,715,168,730,178
n,730,168,741,178
 ,741,178,748,178
e,748,168,759,179
x,759,168,771,178
a,771,168,782,179
m,782,168,799,178
p,799,168,811,182
l,811,165,817,178
e,817,168,828,179
 ,828,178,835,178
f,835,164,843,178
o,843,167,854,178
r,854,168,862,178
a,112,199,123,210
n,123,199,134,209
i,134,196,139,210
m,139,199,156,209
a,156,199,167,210
l,167,196,173,209
s,173,198,183,209
 ,183,209,190,209
t,190,197,199,209
h,199,195,210,209
a,210,199,221,210
t,221,197,230,209
 ,230,209,237,209
c,237,198,247,209
a,247,199,258,210
t,258,197,267,209
c,267,198,277,209
h,277,195,288,209
 ,288,209,295,209
o,295,198,306,209
t,306,197,315,209
h,315,195,326,209
e,326,199,337,210
r,337,199,345,209
 ,345,209,352,209
a,352,199,363,210
n,363,199,374,209
i,374,196,379,210
m,379,199,396,209
a,396,199,407,210
l,407,196,413,209
s,413,198,423,209
 ,423,209,430,209
w,430,199,445,209
i,445,196,450,210
t,450,197,459,209
h,459,195,470,209
 ,470,209,477,209
t,477,197,486,209
h,486,195,497,209
e,497,199,508,210
 ,508,209,515,209
h,515,195,526,209
e,526,199,537,210
l,537,196,543,209
p,543,199,555,213
 ,555,209,562,209
o,562,198,573,209
f,573,195,581,209
 ,581,209,588,209
a,588,199,599,210
 ,599,209,606,209
n,606,199,617,209
e,617,199,628,210
t,628,197,637,209
 ,637,209,644,209
a,644,199,655,210
r,655,199,663,209
e,663,199,674,210
 ,674,209,681,209
s,681,198,691,209
p,691,199,703,213
i,703,196,708,210
d,708,195,719,209
e,719,199,730,210
r,730,199,738,209
s,738,198,748,209
.,748,206,753,209
 ,753,209,760,209
T,760,196,773,209
h,773,195,784,209
e,784,199,795,210
i,795,196,800,210
r,800,199,808,209
 ,808,209,815,209
s,815,198,825,209
t,825,197,834,209
i,834,196,839,210
c,839,198,849,209
k,849,195,860,209
y,860,199,872,213
n,112,230,123,240
e,123,230,134,241
t,134,228,143,240
s,143,229,153,240
 ,153,240,160,240
a,160,230,171,241
r,171,230,179,240
e,179,230,190,241
 ,190,240,197,240
s,197,229,207,240
p,207,230,219,244
u,219,230,230,240
n,230,230,241,240
 ,241,240,248,240
s,248,229,258,240
o,258,229,269,240
 ,269,240,276,240
f,276,226,284,240
i,284,227,289,241
n,289,230,300,240
e,300,230,311,241
 ,311,240,318,240
t,318,228,327,240
h,327,226,338,240
a,338,230,349,241
t,349,228,358,240
 ,358,240,365,240
t,365,228,374,240
h,374,226,385,240
e,385,230,396,241
y,396,230,408,244
 ,408,240,415,240
a,415,230,426,241
r,426,230,434,240
e,434,230,445,241
 ,445,240,452,240
h,452,226,463,240
a,463,230,474,241
r,474,230,482,240
d,482,226,493,240
 ,493,240,500,240
t,500,228,509,240
o,509,229,520,240
 ,520,240,527,240
s,527,229,537,240
e,537,230,548,241
e,548,230,559,241
",",559,238,565,243
 ,565,240,572,240
a,572,230,583,241
n,583,230,594,240
d,594,226,605,240
 ,605,240,612,240
u,612,230,623,240
s,623,229,633,240
u,633,230,644,240
a,644,230,655,241
l,655,227,661,240
l,661,227,667,240
y,667,230,679,244
 ,679,240,686,240
a,686,230,697,241
n,697,230,708,240
 ,708,240,715,240
i,715,227,720,241
n,720,230,731,240
s,731,229,741,240
e,741,230,752,241
c,752,229,762,240
t,762,228,771,240
 ,771,240,778,240
d,778,226,789,240
o,789,229,800,240
e,800,230,811,241
s,811,229,821,240
 ,821,240,828,240
n,828,230,839,240
o,839,229,850,240
t,850,228,859,240
n,112,261,123,271
o,123,260,134,271
t,134,259,143,271
i,143,258,148,272
c,148,260,158,271
e,158,261,169,272
 ,169,271,176,271
a,176,261,187,272
 ,187,271,194,271
n,194,261,205,271
e,205,261,216,272
t,216,259,225,271
 ,225,271,232,271
u,232,261,243,271
n,243,261,254,271
t,254,259,263,271
i,263,258,268,272
l,268,258,274,271
 ,274,271,281,271
i,281,258,286,272
t,286,259,295,271
 ,295,271,302,271
h,302,257,313,271
a,313,261,324,272
s,324,260,334,271
 ,334,271,341,271
c,341,260,351,271
a,351,261,362,272
u,362,261,373,271
g,373,261,384,276
h,384,257,395,271
t,395,259,404,271
 ,404,271,411,271
i,411,258,416,272
t,416,259,425,271
s,425,260,435,271
e,435,261,446,272
l,446,258,452,271
f,452,257,460,271
 ,460,271,467,271
i,467,258,472,272
n,472,261,483,271
 ,483,271,490,271
i,490,258,495,272
t,495,259,504,271
.,504,268,509,271
 ,509,271,516,271
T,516,258,529,271
h,529,257,540,271
e,540,261,551,272
 ,551,271,558,271
s,558,260,568,271
p,568,261,580,275
i,580,258,585,272
d,585,257,596,271
e,596,261,607,272
r,607,261,615,271
 ,615,271,622,271
t,622,259,631,271
h,631,257,642,271
e,642,261,653,272
n,653,261,664,271
 ,664,271,671,271
o,671,260,682,271
n,682,261,693,271
l,693,258,699,271
y,699,261,711,275
 ,711,271,718,271
n,718,261,729,271
e,729,261,740,272
e,740,261,751,272
d,751,257,762,271
s,762,260,772,271
 ,772,271,779,271
t,779,259,788,271
o,788,260,799,271
 ,799,271,806,271
g,806,261,817,276
o,817,260,828,271
 ,828,271,835,271
t,835,259,844,271
o,844,260,855,271
 ,855,271,862,271
t,862,259,871,271
h,871,257,882,271
e,882,261,893,272
p,112,292,124,306
l,124,289,130,302
a,130,292,141,303
c,141,291,151,302
e,151,292,162,303
 ,162,302,169,302
w,169,292,184,302
h,184,288,195,302
e,195,292,206,303
r,206,292,214,302
e,214,292,225,303
 ,225,302,232,302
t,232,290,241,302
h,241,288,252,302
e,252,292,263,303
 ,263,302,270,302
i,270,289,275,303
n,275,292,286,302
s,286,291,296,302
e,296,292,307,303
c,307,291,317,302
t,317,290,326,302
 ,326,302,333,302
i,333,289,338,303
s,338,291,348,302
.,348,299,353,302
 ,353,302,360,302
I,360,289,365,302
t,365,290,374,302
 ,374,302,381,302
i,381,289,386,303
s,386,291,396,302
 ,396,302,403,302
e,403,292,414,303
i,414,289,419,303
t,419,290,428,302
h,428,288,439,302
e,439,292,450,303
r,450,292,458,302
 ,458,302,465,302
e,465,292,476,303
a,476,292,487,303
t,487,290,496,302
e,496,292,507,303
n,507,292,518,302
 ,518,302,525,302
r,525,292,533,302
i,533,289,538,303
g,538,292,549,307
h,549,288,560,302
t,560,290,569,302
 ,569,302,576,302
o,576,291,587,302
n,587,292,598,302
 ,598,302,605,302
t,605,290,614,302
h,614,288,625,302
e,625,292,636,303
 ,636,302,643,302
s,643,291,653,302
p,653,292,665,306
o,665,291,676,302
t,676,290,685,302
 ,685,302,692,302
o,692,291,703,302
r,703,292,711,302
 ,711,302,718,302
o,718,291,729,302
t,729,290,738,302
h,738,288,749,302
e,749,292,760,303
r,760,292,768,302
w,768,292,783,302
i,783,289,788,303
s,788,291,798,302
e,798,292,809,303
 ,809,302,816,302
i,816,289,821,303
t,821,290,830,302
 ,830,302,837,302
i,837,289,842,303
s,842,291,852,302
w,112,323,127,333
r,127,323,135,333
a,135,323,146,334
p,146,323,158,337
p,158,323,170,337
e,170,323,181,334
d,181,319,192,333
 ,192,333,199,333
i,199,320,204,334
n,204,323,215,333
 ,215,333,222,333
s,222,322,232,333
t,232,321,241,333
i,241,320,246,334
c,246,322,256,333
k,256,319,267,333
y,267,323,279,337
 ,279,333,286,333
t,286,321,295,333
h,295,319,306,333
r,306,323,314,333
e,314,323,325,334
a,325,323,336,334
d,336,319,347,333
s,347,322,357,333
 ,357,333,364,333
f,364,319,372,333
o,372,322,383,333
r,383,323,391,333
 ,391,333,398,333
l,398,320,404,333
a,404,323,415,334
t,415,321,424,333
e,424,323,435,334
r,435,323,443,333
 ,443,333,450,333
c,450,322,460,333
o,460,322,471,333
n,471,323,482,333
s,482,322,492,333
u,492,323,503,333
m,503,323,520,333
p,520,323,532,337
t,532,321,541,333
i,541,320,546,334
o,546,322,557,333
n,557,323,568,333
.,568,330,573,333
 ,573,333,580,333
O,580,319,594,333
t,594,321,603,333
h,603,319,614,333
e,614,323,625,334
r,625,323,633,333
 ,633,333,640,333
l,640,320,646,333
i,646,320,651,334
v,651,323,663,333
i,663,320,668,334
n,668,323,679,333
g,679,323,690,338
 ,690,333,697,333
t,697,321,706,333
h,706,319,717,333
i,717,320,722,334
n,722,323,733,333
g,733,323,744,338
s,744,322,754,333
 ,754,333,761,333
t,761,321,770,333
h,770,319,781,333
a,781,323,792,334
t,792,321,801,333
 ,801,333,808,333
a,808,323,819,334
r,819,323,827,333
e,827,323,838,334
 ,838,333,845,333
s,845,322,855,333
t,855,321,864,333
u,864,323,875,333
c,875,322,885,333
k,885,319,896,333
o,112,353,123,364
n,123,354,134,364
 ,134,364,141,364
r,141,354,149,364
o,149,353,160,364
c,160,353,170,364
k,170,350,181,364
s,181,353,191,364
 ,191,364,198,364
o,198,353,209,364
r,209,354,217,364
 ,217,364,224,364
o,224,353,235,364
n,235,354,246,364
 ,246,364,253,364
t,253,352,262,364
h,262,350,273,364
e,273,354,284,365
 ,284,364,291,364
f,291,350,299,364
l,299,351,305,364
o,305,353,316,364
o,316,353,327,364
r,327,354,335,364
 ,335,364,342,364
o,342,353,353,364
f,353,350,361,364
 ,361,364,368,364
t,368,352,377,364
h,377,350,388,364
e,388,354,399,365
 ,399,364,406,364
s,406,353,416,364
e,416,354,427,365
a,427,354,438,365
 ,438,364,445,364
l,445,351,451,364
i,451,351,456,365
v,456,354,468,364
e,468,354,479,365
 ,479,364,486,364
o,486,353,497,364
n,497,354,508,364
 ,508,364,515,364
t,515,352,524,364
i,524,351,529,365
n,529,354,540,364
y,540,354,552,368
 ,552,364,559,364
a,559,354,570,365
n,570,354,581,364
i,581,351,586,365
m,586,354,603,364
a,603,354,614,365
l,614,351,620,364
s,620,353,630,364
 ,630,364,637,364
a,637,354,648,365
n,648,354,659,364
d,659,350,670,364
 ,670,364,677,364
p,677,354,689,368
l,689,351,695,364
a,695,354,706,365
n,706,354,717,364
t,717,352,726,364
s,726,353,736,364
 ,736,364,743,364
t,743,352,752,364
h,752,350,763,364
a,763,354,774,365
t,774,352,783,364
 ,783,364,790,364
t,790,352,799,364
h,799,350,810,364
e,810,354,821,365
y,821,354,833,368
 ,833,364,840,364
s,840,353,850,364
o,850,353,861,364
a,861,354,872,365
k,872,350,883,364
i,112,382,117,396
n,117,385,128,395
 ,128,395,135,395
w,135,385,150,395
i,150,382,155,396
t,155,383,164,395
h,164,381,175,395
 ,175,395,182,395
w,182,385,197,395
a,197,385,208,396
t,208,383,217,395
e,217,385,228,396
r,228,385,236,395
.,236,392,241,395
