Character,Left,Top,Right,Bottom
I,112,72,117,85
n,117,75,128,85
 ,128,85,135,85
a,135,75,146,86
r,146,75,154,85
e,154,75,165,86
a,165,75,176,86
s,176,74,186,85
 ,186,85,193,85
w,193,75,208,85
h,208,71,219,85
e,219,75,230,86
r,230,75,238,85
e,238,75,249,86
 ,249,85,256,85
i,256,72,261,86
t,261,73,270,85
 ,270,85,277,85
i,277,72,282,86
s,282,74,292,85
 ,292,85,299,85
v,299,75,311,85
e,311,75,322,86
r,322,75,330,85
y,330,75,342,89
 ,342,85,349,85
h,349,71,360,85
o,360,74,371,85
t,371,73,380,85
 ,380,85,387,85
a,387,75,398,86
n,398,75,409,85
d,409,71,420,85
 ,420,85,427,85
d,427,71,438,85
r,438,75,446,85
y,446,75,458,89
",",458,83,464,88
 ,464,85,471,85
p,471,75,483,89
l,483,72,489,85
a,489,75,500,86
n,500,75,511,85
t,511,73,520,85
s,520,74,530,85
 ,530,85,537,85
a,537,75,548,86
n,548,75,559,85
d,559,71,570,85
 ,570,85,577,85
a,577,75,588,86
n,588,75,599,85
i,599,72,604,86
m,604,75,621,85
a,621,75,632,86
l,632,72,638,85
s,638,74,648,85
 ,648,85,655,85
h,655,71,666,85
a,666,75,677,86
v,677,75,689,85
e,689,75,700,86
 ,700,85,707,85
t,707,73,716,85
o,716,74,727,85
 ,727,85,734,85
a,734,75,745,86
d,745,71,756,85
a,756,75,767,86
p,767,75,779,89
t,779,73,788,85
 ,788,85,795,85
t,795,73,804,85
o,804,74,815,85
 ,815,85,822,85
t,822,73,831,85
h,831,71,842,85
e,842,75,853,86
s,853,74,863,85
e,863,75,874,86
c,112,105,122,116
o,122,105,133,116
n,133,106,144,116
d,144,102,155,116
i,155,103,160,117
t,160,104,169,116
i,169,103,174,117
o,174,105,185,116
n,185,106,196,116
s,196,105,206,116
.,206,113,211,116
 ,211,116,218,116
M,218,103,233,116
a,233,106,244,117
n,244,106,255,116
y,255,106,267,120
 ,267,116,274,116
p,274,106,286,120
l,286,103,292,116
a,292,106,303,117
n,303,106,314,116
t,314,104,323,116
s,323,105,333,116
 ,333,116,340,116
s,340,105,350,116
u,350,106,361,116
r,361,106,369,116
v,369,106,381,116
i,381,103,386,117
v,386,106,398,116
e,398,106,409,117
 ,409,116,416,116
t,416,104,425,116
i,425,103,430,117
m,430,106,447,116
e,447,106,458,117
s,458,105,468,116
 ,468,116,475,116
o,475,105,486,116
f,486,102,494,116
 ,494,116,501,116
d,501,102,512,116
r,512,106,520,116
o,520,105,531,116
u,531,106,542,116
g,542,106,553,121
h,553,102,564,116
t,564,104,573,116
 ,573,116,580,116
i,580,103,585,117
n,585,106,596,116
 ,596,116,603,116
t,603,104,612,116
h,612,102,623,116
e,623,106,634,117
 ,634,116,641,116
f,641,102,649,116
o,649,105,660,116
r,660,106,668,116
m,668,106,685,116
 ,685,116,692,116
o,692,105,703,116
f,703,102,711,116
 ,711,116,718,116
s,718,105,728,116
e,728,106,739,117
e,739,106,750,117
d,750,102,761,116
s,761,105,771,116
 ,771,116,778,116
w,778,106,793,116
h,793,102,804,116
i,804,103,809,117
c,809,105,819,116
h,819,102,830,116
 ,830,116,837,116
o,837,105,848,116
f,848,102,856,116
t,856,104,865,116
e,865,106,876,117
n,876,106,887,116
l,112,134,118,147
i,118,134,123,148
e,123,137,134,148
 ,134,147,141,147
b,141,133,152,148
u,152,137,163,147
r,163,137,171,147
i,171,134,176,148
e,176,137,187,148
d,187,133,198,147
 ,198,147,205,147
i,205,134,210,148
n,210,137,221,147
 ,221,147,228,147
t,228,135,237,147
h,237,133,248,147
e,248,137,259,148
 ,259,147,266,147
g,266,137,277,152
r,277,137,285,147
o,285,136,296,147
u,296,137,307,147
n,307,137,318,147
d,318,133,329,147
 ,329,147,336,147
f,336,133,344,147
o,344,136,355,147
r,355,137,363,147
 ,363,147,370,147
s,370,136,380,147
e,380,137,391,148
v,391,137,403,147
e,403,137,414,148
r,414,137,422,147
a,422,137,433,148
l,433,134,439,147
 ,439,147,446,147
y,446,137,458,151
e,458,137,469,148
a,469,137,480,148
r,480,137,488,147
s,488,136,498,147
 ,498,147,505,147
a,505,137,516,148
n,516,137,527,147
d,527,133,538,147
 ,538,147,545,147
d,545,133,556,147
o,556,136,567,147
 ,567,147,574,147
n,574,137,585,147
o,585,136,596,147
t,596,135,605,147
 ,605,147,612,147
p,612,137,624,151
u,624,137,635,147
t,635,135,644,147
 ,644,147,651,147
o,651,136,662,147
u,662,137,673,147
t,673,135,682,147
 ,682,147,689,147
s,689,136,699,147
h,699,133,710,147
o,710,136,721,147
o,721,136,732,147
t,732,135,741,147
s,741,136,751,147
 ,751,147,758,147
b,758,133,769,148
e,769,137,780,148
f,780,133,788,147
o,788,136,799,147
r,799,137,807,147
e,807,137,818,148
 ,818,147,825,147
i,825,134,830,148
t,830,135,839,147
 ,839,147,846,147
r,846,137,854,147
a,854,137,865,148
i,865,134,870,148
n,870,137,881,147
s,881,136,891,147
.,891,144,896,147
W,112,165,131,178
h,131,164,142,178
e,142,168,153,179
n,153,168,164,178
 ,164,178,171,178
t,171,166,180,178
h,180,164,191,178
a,191,168,202,179
t,202,166,211,178
 ,211,178,218,178
h,218,164,229,178
a,229,168,240,179
p,240,168,252,182
p,252,168,264,182
e,264,168,275,179
n,275,168,286,178
s,286,167,296,178
",",296,176,302,181
 ,302,178,309,178
t,309,166,318,178
h,318,164,329,178
e,329,168,340,179
 ,340,178,347,178
p,347,168,359,182
l,359,165,365,178
a,365,168,376,179
n,376,168,387,178
t,387,166,396,178
s,396,167,406,178
 ,406,178,413,178
g,413,168,424,183
r,424,168,432,178
o,432,167,443,178
w,443,168,458,178
 ,458,178,465,178
v,465,168,477,178
e,477,168,488,179
r,488,168,496,178
y,496,168,508,182
 ,508,178,515,178
q,515,168,528,182
u,528,168,539,178
i,539,165,544,179
c,544,167,554,178
k,554,164,565,178
l,565,165,571,178
y,571,168,583,182
 ,583,178,590,178
a,590,168,601,179
n,601,168,612,178
d,612,164,623,178
 ,623,178,630,178
f,630,164,638,178
o,638,167,649,178
r,649,168,657,178
m,657,168,674,178
 ,674,178,681,178
f,681,164,689,178
l,689,165,695,178
o,695,167,706,178
w,706,168,721,178
e,721,168,732,179
r,732,168,740,178
s,740,167,750,178
 ,750,178,757,178
a,757,168,768,179
n,768,168,779,178
d,779,164,790,178
 ,790,178,797,178
s,797,167,807,178
e,807,168,818,179
e,818,168,829,179
d,829,164,840,178
s,840,167,850,178
",",850,176,856,181
w,112,199,127,209
h,127,195,138,209
i,138,196,143,210
c,143,198,153,209
h,153,195,164,209
 ,164,209,171,209
i,171,196,176,210
n,176,199,187,209
 ,187,209,194,209
d,194,195,205,209
u,205,199,216,209
e,216,199,227,210
 ,227,209,234,209
t,234,197,243,209
i,243,196,248,210
m,248,199,265,209
e,265,199,276,210
 ,276,209,283,209
d,283,195,294,209
e,294,199,305,210
v,305,199,317,209
e,317,199,328,210
l,328,196,334,209
o,334,198,345,209
p,345,199,357,213
 ,357,209,364,209
i,364,196,369,210
n,369,199,380,209
t,380,197,389,209
o,389,198,400,209
 ,400,209,407,209
t,407,197,416,209
h,416,195,427,209
e,427,199,438,210
 ,438,209,445,209
n,445,199,456,209
e,456,199,467,210
x,467,199,479,209
t,479,197,488,209
 ,488,209,495,209
g,495,199,506,214
e,506,199,517,210
n,517,199,528,209
e,528,199,539,210
r,539,199,547,209
a,547,199,558,210
t,558,197,567,209
i,567,196,572,210
o,572,198,583,209
n,583,199,594,209
.,594,206,599,209
 ,599,209,606,209
S,606,195,618,209
o,618,198,629,209
m,629,199,646,209
e,646,199,657,210
 ,657,209,664,209
a,664,199,675,210
