Character,Left,Top,Right,Bottom
A,112,72,126,85
n,126,75,137,85
i,137,72,142,86
m,142,75,159,85
a,159,75,170,86
l,170,72,176,85
s,176,74,186,85
 ,186,85,193,85
a,193,75,204,86
n,204,75,215,85
d,215,71,226,85
 ,226,85,233,85
p,233,75,245,89
l,245,72,251,85
a,251,75,262,86
n,262,75,273,85
t,273,73,282,85
s,282,74,292,85
 ,292,85,299,85
t,299,73,308,85
h,308,71,319,85
a,319,75,330,86
t,330,73,339,85
 ,339,85,346,85
l,346,72,352,85
i,352,72,357,86
v,357,75,369,85
e,369,75,380,86
 ,380,85,387,85
i,387,72,392,86
n,392,75,403,85
 ,403,85,410,85
a,410,75,421,86
r,421,75,429,85
e,429,75,440,86
a,440,75,451,86
s,451,74,461,85
 ,461,85,468,85
w,468,75,483,85
i,483,72,488,86
t,488,73,497,85
h,497,71,508,85
 ,508,85,515,85
a,515,75,526,86
 ,526,85,533,85
c,533,74,543,85
o,543,74,554,85
l,554,72,560,85
d,560,71,571,85
 ,571,85,578,85
o,578,74,589,85
r,589,75,597,85
 ,597,85,604,85
t,604,73,613,85
e,613,75,624,86
m,624,75,641,85
p,641,75,653,89
e,653,75,664,86
r,664,75,672,85
a,672,75,683,86
t,683,73,692,85
e,692,75,703,86
 ,703,85,710,85
c,710,74,720,85
l,720,72,726,85
i,726,72,731,86
m,731,75,748,85
a,748,75,759,86
t,759,73,768,85
e,768,75,779,86
 ,779,85,786,85
h,786,71,797,85
a,797,75,808,86
v,808,75,820,85
e,820,75,831,86
 ,831,85,838,85
t,838,73,847,85
o,847,74,858,85
 ,858,85,865,85
f,865,71,873,85
i,873,72,878,86
n,878,75,889,85
d,889,71,900,85
w,112,106,127,116
a,127,106,138,117
y,138,106,150,120
s,150,105,160,116
 ,160,116,167,116
a,167,106,178,117
n,178,106,189,116
d,189,102,200,116
 ,200,116,207,116
m,207,106,224,116
e,224,106,235,117
a,235,106,246,117
n,246,106,257,116
s,257,105,267,116
 ,267,116,274,116
t,274,104,283,116
o,283,105,294,116
 ,294,116,301,116
s,301,105,311,116
u,311,106,322,116
r,322,106,330,116
v,330,106,342,116
i,342,103,347,117
v,347,106,359,116
e,359,106,370,117
 ,370,116,377,116
t,377,104,386,116
h,386,102,397,116
e,397,106,408,117
 ,408,116,415,116
w,415,106,430,116
i,430,103,435,117
n,435,106,446,116
t,446,104,455,116
e,455,106,466,117
r,466,106,474,116
 ,474,116,481,116
m,481,106,498,116
o,498,105,509,116
n,509,106,520,116
t,520,104,529,116
h,529,102,540,116
s,540,105,550,116
.,550,113,555,116
 ,555,116,562,116
M,562,103,577,116
a,577,106,588,117
n,588,106,599,116
y,599,106,611,120
 ,611,116,618,116
p,618,106,630,120
l,630,103,636,116
a,636,106,647,117
n,647,106,658,116
t,658,104,667,116
s,667,105,677,116
 ,677,116,684,116
h,684,102,695,116
i,695,103,700,117
b,700,102,711,117
e,711,106,722,117
r,722,106,730,116
n,730,106,741,116
a,741,106,752,117
t,752,104,761,116
e,761,106,772,117
 ,772,116,779,116
i,779,103,784,117
n,784,106,795,116
 ,795,116,802,116
t,802,104,811,116
h,811,102,822,116
e,822,106,833,117
 ,833,116,840,116
f,840,102,848,116
o,848,105,859,116
r,859,106,867,116
m,867,106,884,116
o,112,136,123,147
