Character,Left,Top,Right,Bottom
I,112,69,119,82
n,119,73,129,82
 ,129,82,134,82
a,134,73,143,82
r,143,73,150,82
e,150,73,159,82
a,159,73,168,82
s,168,73,176,82
 ,176,82,181,82
w,181,73,196,82
h,196,68,206,82
e,206,73,215,82
r,215,73,222,82
e,222,73,231,82
 ,231,82,236,82
i,236,68,242,82
t,242,70,248,82
 ,248,82,253,82
i,253,68,259,82
s,259,73,267,82
 ,267,82,272,82
v,272,73,282,82
e,282,73,291,82
r,291,73,298,82
y,298,73,308,86
 ,308,82,313,82
h,313,68,323,82
o,323,73,333,82
t,333,70,339,82
 ,339,82,344,82
a,344,73,353,82
n,353,73,363,82
d,363,68,374,82
 ,374,82,379,82
d,379,68,390,82
r,390,73,397,82
y,397,73,407,86
",",407,80,412,85
 ,412,82,417,82
p,416,73,427,86
l,428,68,434,82
a,434,73,443,82
n,443,73,453,82
t,453,70,459,82
s,459,73,467,82
 ,467,82,472,82
a,472,73,481,82
n,481,73,491,82
d,491,68,502,82
 ,502,82,507,82
a,507,73,516,82
n,516,73,526,82
i,526,68,532,82
m,532,73,548,82
a,548,73,557,82
l,557,68,563,82
s,563,73,571,82
 ,571,82,576,82
h,576,68,586,82
a,586,73,595,82
v,595,73,605,82
e,605,73,614,82
 ,614,82,619,82
t,619,70,625,82
o,625,73,635,82
 ,635,82,640,82
a,640,73,649,82
d,649,68,660,82
a,660,73,669,82
p,668,73,679,86
t,680,70,686,82
 ,686,82,691,82
t,691,70,697,82
o,697,73,707,82
 ,707,82,712,82
t,712,70,718,82
h,718,68,728,82
e,728,73,737,82
s,737,73,745,82
e,745,73,754,82
c,112,98,121,107
o,121,98,131,107
n,131,98,141,107
d,141,93,152,107
i,152,93,158,107
t,158,95,164,107
i,164,93,170,107
o,170,98,180,107
n,180,98,190,107
s,190,98,198,107
.,198,104,203,107
 ,203,107,208,107
M,208,94,226,107
a,226,98,235,107
n,235,98,245,107
y,245,98,255,111
 ,255,107,260,107
p,259,98,270,111
l,271,93,277,107
a,277,98,286,107
n,286,98,296,107
t,296,95,302,107
s,302,98,310,107
 ,310,107,315,107
s,315,98,323,107
u,323,98,333,107
r,333,98,340,107
v,340,98,350,107
i,350,93,356,107
v,356,98,366,107
e,366,98,375,107
 ,375,107,380,107
t,380,95,386,107
i,386,93,392,107
m,392,98,408,107
e,408,98,417,107
s,417,98,425,107
 ,425,107,430,107
o,430,98,440,107
f,440,93,449,107
 ,449,107,454,107
d,454,93,465,107
r,465,98,472,107
o,472,98,482,107
u,482,98,492,107
g,492,98,502,111
h,502,93,512,107
t,512,95,518,107
 ,518,107,523,107
i,523,93,529,107
n,529,98,539,107
 ,539,107,544,107
t,544,95,550,107
h,550,93,560,107
e,560,98,569,107
 ,569,107,574,107
f,574,93,583,107
o,583,98,593,107
r,593,98,600,107
m,600,98,616,107
 ,616,107,621,107
